tradeDate,nav,change,changePercent
2022-08-31,37.4627,-0.7853,-2.05318
2022-08-30,38.248,-0.4,-1.03498
2022-08-29,38.648,0.1607,0.41754
2022-08-28,38.4873,-0.2351,-0.60714
2022-08-25,38.7224,0.0726,0.18784
2022-08-24,38.6498,0.5512,1.44677
2022-08-23,38.0986,-0.1898,-0.49571
2022-08-22,38.2884,0.0956,0.25031
2022-08-21,38.1928,-0.1713,-0.44651
2022-08-18,38.3641,-0.6739,-1.72627
2022-08-17,39.038,0.096,0.24652
2022-08-16,38.942,-0.384,-0.97645
2022-08-15,39.326,-0.4683,-1.1768
2022-08-14,39.7943,0.2577,0.6518
2022-08-11,39.5366,0.3626,0.92561
2022-08-10,39.174,-0.551,-1.38704
2022-08-09,39.725,0.0805,0.20305
2022-08-08,39.6445,-0.2079,-0.52167
2022-08-07,39.8524,0.506,1.28601
2022-08-04,39.3464,-0.8101,-2.01736
2022-08-03,40.1565,0.0482,0.12017
2022-08-02,40.1083,0.0406,0.10133
2022-08-01,40.0677,-0.4681,-1.15478
2022-07-31,40.5358,0.2682,0.66604
2022-07-28,40.2676,0.5594,1.40878
2022-07-27,39.7082,-0.0431,-0.10842
2022-07-26,39.7513,0.2257,0.57102
2022-07-25,39.5256,0.1484,0.37687
2022-07-24,39.3772,-0.5285,-1.32437
2022-07-21,39.9057,0.5128,1.30176
2022-07-20,39.3929,0.7336,1.8976
2022-07-19,38.6593,0.1454,0.37753
2022-07-18,38.5139,-0.2542,-0.65569
2022-07-17,38.7681,-0.0678,-0.17458
2022-07-14,38.8359,0.3441,0.89396
2022-07-13,38.4918,-0.1427,-0.36936
2022-07-12,38.6345,0.2529,0.65891
2022-07-11,38.3816,0.2503,0.65642
2022-07-10,38.1313,0.647,1.72606
2022-07-07,37.4843,-0.3118,-0.82495
2022-07-06,37.7961,-0.0494,-0.13053
2022-07-05,37.8455,-0.3001,-0.78672
2022-07-04,38.1456,0.4418,1.17177
2022-06-30,37.7038,0.0345,0.09159
2022-06-29,37.6693,0.3415,0.91487
2022-06-28,37.3278,0.5175,1.40586
2022-06-27,36.8103,-0.0976,-0.26444
2022-06-26,36.9079,-0.3685,-0.98856
2022-06-23,37.2764,-0.2559,-0.68181
