tradeDate,nav,change,changePercent
2022-01-27,9.2015,0.0161,0.17528
2022-01-26,9.1854,-0.0087,-0.09463
2022-01-25,9.1941,0.0353,0.38542
2022-01-24,9.1588,0.002,0.02184
2022-01-23,9.1568,0.0291,0.31881
2022-01-20,9.1277,0.0008,0.00877
2022-01-19,9.1269,0.0002,0.00219
2022-01-18,9.1267,0.0144,0.15803
2022-01-17,9.1123,-0.0001,-0.0011
2022-01-16,9.1124,0.002,0.02195
2022-01-13,9.1104,-0.0105,-0.11512
2022-01-12,9.1209,0.0033,0.03619
2022-01-11,9.1176,0.0162,0.17799
2022-01-10,9.1014,0.0114,0.12541
2022-01-09,9.09,0.0041,0.04512
2022-01-06,9.0859,-0.0339,-0.37172
2022-01-05,9.1198,-0.0137,-0.15
2022-01-04,9.1335,0.0062,0.06793
2022-01-03,9.1273,0.0002,0.00219
2022-01-02,9.1271,0.0115,0.12616
2021-12-29,9.1156,-0.0035,-0.03838
2021-12-28,9.1191,0.0035,0.0384
2021-12-27,9.1156,0.0038,0.0417
2021-12-26,9.1118,-0.0037,-0.04059
2021-12-23,9.1155,0.0112,0.12302
2021-12-22,9.1043,-0.0086,-0.09437
2021-12-21,9.1129,0.0063,0.06918
2021-12-20,9.1066,0.0086,0.09453
2021-12-19,9.098,-0.0048,-0.05273
2021-12-16,9.1028,0.0007,0.00769
2021-12-15,9.1021,0.0008,0.00879
2021-12-14,9.1013,-0.0026,-0.02856
2021-12-13,9.1039,-0.0161,-0.17654
2021-12-12,9.12,0.0039,0.04278
2021-12-09,9.1161,0.0119,0.13071
2021-12-08,9.1042,0.0059,0.06485
2021-12-07,9.0983,0.0066,0.07259
2021-12-06,9.0917,0.0068,0.07485
2021-12-05,9.0849,-0.0014,-0.01541
2021-12-02,9.0863,-0.0033,-0.03631
2021-12-01,9.0896,0.0169,0.18627
2021-11-30,9.0727,0.0054,0.05955
2021-11-29,9.0673,-0.0111,-0.12227
2021-11-28,9.0784,0.0025,0.02755
2021-11-25,9.0759,-0.0127,-0.13974
2021-11-24,9.0886,0.0001,0.0011
2021-11-23,9.0885,-0.0039,-0.04289
2021-11-22,9.0924,0.0072,0.07925
2021-11-21,9.0852,0.0051,0.05617
2021-11-18,9.0801,0.0107,0.11798
2021-11-17,9.0694,0.0058,0.06399
2021-11-16,9.0636,-0.0037,-0.04081
2021-11-15,9.0673,0.0077,0.08499
2021-11-14,9.0596,0.052,0.57729
2021-11-11,9.0076,0.0657,0.73474
2021-11-10,8.9419,0.0327,0.36704
2021-11-09,8.9092,0.0031,0.03481
2021-11-08,8.9061,-0.0207,-0.23189
2021-11-07,8.9268,-0.0185,-0.20681
2021-11-04,8.9453,-0.0864,-0.95663
2021-11-02,9.0317,0.0183,0.20303
2021-11-01,9.0134,-0.0348,-0.38461
2021-10-31,9.0482,-0.0264,-0.29092
2021-10-28,9.0746,-0.0199,-0.21881
2021-10-27,9.0945,-0.0298,-0.3266
2021-10-26,9.1243,0.0032,0.03508
2021-10-25,9.1211,-0.003,-0.03288
2021-10-24,9.1241,0.0069,0.07568
2021-10-21,9.1172,-0.0198,-0.2167
2021-10-20,9.137,-0.0328,-0.3577
2021-10-19,9.1698,0.0077,0.08404
2021-10-18,9.1621,-0.0208,-0.22651
2021-10-17,9.1829,0.1228,1.35539
2021-10-14,9.0601,0.0454,0.50362
2021-10-13,9.0147,-0.0016,-0.01775
2021-10-12,9.0163,0.0494,0.55092
2021-10-11,8.9669,-0.1402,-1.53946
2021-10-07,9.1071,-0.0545,-0.59487
2021-10-06,9.1616,-0.1222,-1.31627
2021-10-05,9.2838,-0.0221,-0.23748
2021-10-04,9.3059,-0.0528,-0.56418
2021-10-03,9.3587,-0.0075,-0.08008
2021-09-30,9.3662,0.0033,0.03525
2021-09-29,9.3629,0.0024,0.02564
2021-09-28,9.3605,-0.0044,-0.04698
2021-09-27,9.3649,-0.0042,-0.04483
2021-09-26,9.3691,0.0002,0.00213
2021-09-23,9.3689,-0.0024,-0.02561
2021-09-22,9.3713,0.011,0.11752
2021-09-21,9.3603,-0.0211,-0.22491
2021-09-16,9.3814,-0.017,-0.18088
2021-09-15,9.3984,-0.0167,-0.17737
2021-09-14,9.4151,-0.0042,-0.04459
2021-09-13,9.4193,-0.0039,-0.04139
2021-09-12,9.4232,0.0033,0.03503
2021-09-09,9.4199,-0.0055,-0.05835
2021-09-08,9.4254,0.0038,0.04033
2021-09-07,9.4216,0.0006,0.00637
2021-09-06,9.421,-0.0019,-0.02016
2021-09-05,9.4229,0.0053,0.05628
2021-09-02,9.4176,-0.0017,-0.01805
2021-09-01,9.4193,0.0017,0.01805
2021-08-31,9.4176,-0.0037,-0.03927
2021-08-30,9.4213,0.0,0.0
2021-08-29,9.4213,-0.0006,-0.00637
2021-08-26,9.4219,-0.0055,-0.05834
2021-08-25,9.4274,0.0065,0.069
2021-08-24,9.4209,0.0013,0.0138
