tradeDate,nav,change,changePercent
2022-08-30,8.105,-0.0147,-0.18104
2022-08-29,8.1197,-0.0012,-0.01478
2022-08-28,8.1209,-0.0312,-0.38272
2022-08-25,8.1521,0.0031,0.03804
2022-08-24,8.149,0.0392,0.48337
2022-08-23,8.1098,0.0211,0.26086
2022-08-22,8.0887,-0.0053,-0.06548
2022-08-21,8.094,-0.0308,-0.37909
2022-08-18,8.1248,-0.0216,-0.26515
2022-08-17,8.1464,0.0029,0.03561
2022-08-16,8.1435,-0.0396,-0.48392
2022-08-15,8.1831,0.0157,0.19223
2022-08-14,8.1674,0.0203,0.24917
2022-08-11,8.1471,0.0212,0.26089
2022-08-10,8.1259,0.0226,0.2789
2022-08-09,8.1033,0.0215,0.26603
2022-08-08,8.0818,-0.0591,-0.72596
2022-08-07,8.1409,0.0343,0.42311
2022-08-04,8.1066,-0.0274,-0.33686
2022-08-03,8.134,0.0385,0.47557
2022-08-02,8.0955,0.034,0.42176
2022-08-01,8.0615,-0.0362,-0.44704
2022-07-31,8.0977,0.0259,0.32087
2022-07-28,8.0718,0.0309,0.38429
2022-07-27,8.0409,0.0423,0.52884
2022-07-26,7.9986,0.0306,0.38404
2022-07-25,7.968,0.0108,0.13573
2022-07-24,7.9572,0.0147,0.18508
2022-07-21,7.9425,0.039,0.49345
2022-07-20,7.9035,0.0518,0.65973
2022-07-19,7.8517,0.0149,0.19013
2022-07-18,7.8368,-0.0252,-0.32053
2022-07-17,7.862,-0.0036,-0.04577
2022-07-14,7.8656,0.0021,0.02671
2022-07-13,7.8635,-0.0394,-0.49855
2022-07-12,7.9029,-0.0082,-0.10365
2022-07-11,7.9111,-0.0476,-0.59809
2022-07-10,7.9587,-0.0153,-0.19187
2022-07-07,7.974,-0.0141,-0.17651
2022-07-06,7.9881,-0.0132,-0.16497
2022-07-05,8.0013,-0.0315,-0.39214
2022-07-04,8.0328,-0.0187,-0.23225
2022-06-30,8.0515,0.0254,0.31647
2022-06-29,8.0261,-0.0274,-0.34022
2022-06-28,8.0535,-0.0257,-0.3181
2022-06-27,8.0792,-0.0236,-0.29126
2022-06-26,8.1028,0.0055,0.06792
2022-06-23,8.0973,-0.0049,-0.06048
2022-06-22,8.1022,-0.0085,-0.1048
2022-06-21,8.1107,,
2022-06-20,8.1087,-0.0103,-0.12686
2022-06-16,8.119,-0.021,-0.25799
2022-06-15,8.14,-0.0166,-0.20352
2022-06-14,8.1566,0.0378,0.46559
2022-06-13,8.1188,-0.0475,-0.58166
