tradeDate,nav,change,changePercent
2022-08-30,52.27,-0.63,-1.19093
2022-08-29,52.9,0.09,0.17042
2022-08-28,52.81,-0.19,-0.35849
2022-08-25,53.0,0.05,0.09443
2022-08-24,52.95,0.56,1.06891
2022-08-23,52.39,-0.08,-0.15247
2022-08-22,52.47,0.04,0.07629
2022-08-21,52.43,-0.27,-0.51233
2022-08-18,52.7,-0.77,-1.44006
2022-08-17,53.47,0.14,0.26252
2022-08-16,53.33,-1.18,-2.16474
2022-08-15,54.51,-0.03,-0.05501
2022-08-14,54.54,0.14,0.25735
2022-08-11,54.4,0.79,1.47361
2022-08-10,53.61,-0.65,-1.19794
2022-08-09,54.26,0.18,0.33284
2022-08-08,54.08,-0.31,-0.56996
2022-08-07,54.39,0.66,1.22836
2022-08-04,53.73,-1.08,-1.97044
2022-08-03,54.81,0.01,0.01825
2022-08-02,54.8,0.75,1.3876
2022-08-01,54.05,-0.87,-1.58412
2022-07-31,54.92,0.95,1.76024
2022-07-28,53.97,0.14,0.26008
2022-07-27,53.83,0.5,0.93756
2022-07-26,53.33,0.08,0.15023
2022-07-25,53.25,-0.05,-0.09381
2022-07-24,53.3,-0.5,-0.92937
2022-07-21,53.8,0.71,1.33735
2022-07-20,53.09,0.76,1.45232
2022-07-19,52.33,0.31,0.59592
2022-07-18,52.02,-0.12,-0.23015
2022-07-17,52.14,-0.22,-0.42017
2022-07-14,52.36,0.46,0.88632
2022-07-13,51.9,,
2022-07-12,52.11,,
2022-07-11,51.89,0.19,0.3675
2022-07-10,51.7,0.67,1.31295
2022-07-07,51.03,-0.19,-0.37095
2022-07-06,51.22,-0.09,-0.1754
2022-07-05,51.31,-0.43,-0.83108
2022-07-04,51.74,0.13,0.25189
2022-06-30,51.61,0.44,0.85988
2022-06-29,51.17,0.11,0.21543
2022-06-28,51.06,0.36,0.71006
2022-06-27,50.7,0.09,0.17783
2022-06-26,50.61,-0.54,-1.05572
2022-06-23,51.15,-0.45,-0.87209
2022-06-22,51.6,0.08,0.15528
2022-06-21,51.52,,
2022-06-20,50.8,-0.63,-1.22497
2022-06-16,51.43,0.13,0.25341
2022-06-15,51.3,0.12,0.23447
2022-06-14,51.18,0.89,1.76974
2022-06-13,50.29,-0.6,-1.17901
2022-06-12,50.89,-1.44,-2.75177
2022-06-09,52.33,-0.58,-1.0962
2022-06-08,52.91,0.01,0.0189
2022-06-07,52.9,-0.29,-0.54522
2022-06-06,53.19,0.63,1.19863
2022-06-05,52.56,-0.65,-1.22157
2022-06-01,53.21,0.37,0.70023
2022-05-31,52.84,0.34,0.64762
2022-05-30,52.5,-0.94,-1.75898
2022-05-26,53.44,0.04,0.07491
2022-05-25,53.4,0.3,0.56497
2022-05-24,53.1,0.32,0.60629
2022-05-23,52.78,0.85,1.63682
2022-05-22,51.93,-0.49,-0.93476
2022-05-19,52.42,0.1,0.19113
2022-05-18,52.32,-0.34,-0.64565
2022-05-17,52.66,0.6,1.15252
2022-05-16,52.06,-0.64,-1.21442
2022-05-15,52.7,-0.04,-0.07584
2022-05-12,52.74,-0.67,-1.25445
2022-05-11,53.41,0.12,0.22518
2022-05-10,53.29,0.57,1.08118
2022-05-09,52.72,0.23,0.43818
2022-05-08,52.49,0.28,0.5363
2022-05-05,52.21,-0.28,-0.53343
2022-05-04,52.49,-0.96,-1.79607
2022-05-03,53.45,0.44,0.83003
2022-05-02,53.01,-0.07,-0.13188
2022-04-28,53.08,-0.73,-1.35663
2022-04-27,53.81,0.2,0.37306
2022-04-26,53.61,-0.38,-0.70383
2022-04-25,53.99,0.38,0.70882
2022-04-24,53.61,0.45,0.8465
2022-04-21,53.16,-0.43,-0.80239
2022-04-20,53.59,-0.67,-1.2348
