tradeDate,nav,change,changePercent
2022-09-01,28.29,-0.33,-1.15304
2022-08-31,28.62,-0.63,-2.15385
2022-08-30,29.25,0.3,1.03627
2022-08-29,28.95,-0.02,-0.06904
2022-08-28,28.97,-0.72,-2.42506
2022-08-25,29.69,0.16,0.54182
2022-08-24,29.53,0.25,0.85383
2022-08-23,29.28,-0.08,-0.27248
2022-08-22,29.36,-0.34,-1.14478
2022-08-21,29.7,-0.34,-1.13182
2022-08-18,30.04,-0.02,-0.06653
2022-08-17,30.06,-0.21,-0.69376
2022-08-16,30.27,0.11,0.36472
2022-08-15,30.16,0.01,0.03317
2022-08-14,30.15,0.24,0.80241
2022-08-11,29.91,0.16,0.53782
2022-08-10,29.75,0.61,2.09334
2022-08-09,29.14,-0.27,-0.91806
2022-08-08,29.41,0.01,0.03401
2022-08-07,29.4,-0.07,-0.23753
2022-08-04,29.47,0.7,2.43309
2022-08-03,28.77,-0.09,-0.31185
2022-08-02,28.86,0.17,0.59254
2022-08-01,28.69,-0.47,-1.6118
2022-07-31,29.16,-0.06,-0.20534
2022-07-28,29.22,0.28,0.96752
2022-07-27,28.94,-0.01,-0.03454
2022-07-26,28.95,0.28,0.97663
2022-07-25,28.67,-0.2,-0.69276
2022-07-24,28.87,-0.06,-0.2074
2022-07-21,28.93,0.04,0.13846
2022-07-20,28.89,0.43,1.51089
2022-07-19,28.46,0.11,0.38801
2022-07-18,28.35,-0.07,-0.24631
2022-07-17,28.42,-1.22,-4.11606
2022-07-14,29.64,0.37,1.26409
2022-07-13,29.27,0.27,0.93103
2022-07-12,29.0,0.89,3.16613
2022-07-11,28.11,-0.73,-2.53121
2022-07-10,28.84,-0.28,-0.96154
2022-07-07,29.12,0.3,1.04094
2022-07-06,28.82,0.81,2.89182
2022-07-05,28.01,-0.67,-2.33612
2022-07-04,28.68,0.28,0.98592
2022-07-03,28.4,-0.32,-1.11421
2022-06-30,28.72,-0.94,-3.16925
2022-06-29,29.66,-0.78,-2.56242
2022-06-28,30.44,-0.31,-1.00813
2022-06-27,30.75,-0.15,-0.48544
2022-06-26,30.9,0.51,1.67818
2022-06-23,30.39,0.19,0.62914
2022-06-22,30.2,-0.32,-1.04849
2022-06-21,30.52,-0.72,-2.30474
2022-06-20,31.24,0.68,2.22513
2022-06-19,30.56,-0.36,-1.16429
