tradeDate,nav,change,changePercent
2022-08-31,8.34,-0.02,-0.23923
2022-08-30,8.36,-0.05,-0.59453
2022-08-29,8.41,-0.03,-0.35545
2022-08-28,8.44,0.0,0.0
2022-08-25,8.44,-0.03,-0.35419
2022-08-24,8.47,0.04,0.4745
2022-08-23,8.43,0.05,0.59666
2022-08-22,8.38,-0.08,-0.94563
2022-08-21,8.46,-0.05,-0.58754
2022-08-18,8.51,-0.03,-0.35129
2022-08-17,8.54,0.01,0.11723
2022-08-16,8.53,-0.05,-0.58275
2022-08-15,8.58,-0.01,-0.11641
2022-08-14,8.59,0.0,0.0
2022-08-11,8.59,0.04,0.46784
2022-08-10,8.55,-0.01,-0.11682
2022-08-09,8.56,0.05,0.58754
2022-08-08,8.51,-0.05,-0.58411
2022-08-07,8.56,0.02,0.23419
2022-08-04,8.54,-0.11,-1.27168
2022-08-03,8.65,0.01,0.11574
2022-08-02,8.64,0.05,0.58207
2022-08-01,8.59,0.1,1.17786
2022-07-31,8.49,0.02,0.23613
2022-07-28,8.47,0.07,0.83333
2022-07-27,8.4,0.05,0.5988
2022-07-26,8.35,0.02,0.2401
2022-07-25,8.33,-0.01,-0.1199
2022-07-24,8.34,0.02,0.24038
2022-07-21,8.32,0.03,0.36188
2022-07-20,8.29,0.01,0.12077
2022-07-19,8.28,0.03,0.36364
2022-07-18,8.25,0.03,0.36496
2022-07-17,8.22,0.0,0.0
2022-07-14,8.22,0.04,0.489
2022-07-13,8.18,0.01,0.1224
2022-07-12,8.17,-0.02,-0.2442
2022-07-11,8.19,-0.01,-0.12195
2022-07-10,8.2,0.03,0.3672
2022-07-07,8.17,0.0,0.0
2022-07-06,8.17,0.03,0.36855
2022-07-05,8.14,0.01,0.123
2022-07-04,8.13,-0.05,-0.61125
2022-06-30,8.18,0.07,0.86313
2022-06-29,8.11,-0.02,-0.246
2022-06-28,8.13,-0.01,-0.12285
2022-06-27,8.14,0.01,0.123
2022-06-26,8.13,-0.01,-0.12285
2022-06-23,8.14,0.04,0.49383
2022-06-22,8.1,0.0,0.0
2022-06-21,8.1,0.02,0.24752
2022-06-20,8.08,0.06,0.74813
2022-06-16,8.02,-0.03,-0.37267
2022-06-15,8.05,-0.11,-1.34804
2022-06-14,8.16,0.09,1.11524
2022-06-13,8.07,-0.03,-0.37037
2022-06-12,8.1,-0.18,-2.17391
2022-06-09,8.28,-0.11,-1.31108
2022-06-08,8.39,-0.05,-0.59242
2022-06-07,8.44,-0.05,-0.58893
2022-06-06,8.49,0.03,0.35461
2022-06-05,8.46,-0.01,-0.11806
2022-06-01,8.47,0.01,0.1182
2022-05-31,8.46,0.0,0.0
2022-05-30,8.46,-0.02,-0.23585
2022-05-26,8.48,0.08,0.95238
2022-05-25,8.4,0.06,0.71942
2022-05-24,8.34,0.07,0.84643
2022-05-23,8.27,0.03,0.36408
2022-05-22,8.24,0.01,0.12151
2022-05-19,8.23,-0.02,-0.24242
2022-05-18,8.25,0.02,0.24301
2022-05-17,8.23,-0.01,-0.12136
2022-05-16,8.24,-0.02,-0.24213
2022-05-15,8.26,0.02,0.24272
2022-05-12,8.24,0.03,0.36541
2022-05-11,8.21,-0.02,-0.24301
2022-05-10,8.23,0.01,0.12165
2022-05-09,8.22,0.0,0.0
2022-05-08,8.22,-0.13,-1.55689
2022-05-05,8.35,-0.05,-0.59524
2022-05-04,8.4,-0.06,-0.70922
2022-05-03,8.46,0.08,0.95465
2022-05-02,8.38,-0.1,-1.17925
2022-04-28,8.48,-0.03,-0.35253
2022-04-27,8.51,0.08,0.94899
2022-04-26,8.43,-0.07,-0.82353
2022-04-25,8.5,-0.05,-0.5848
2022-04-24,8.55,0.01,0.1171
2022-04-21,8.54,-0.04,-0.4662
2022-04-20,8.58,-0.05,-0.57937
2022-04-19,8.63,0.01,0.11601
2022-04-18,8.62,0.01,0.11614
2022-04-17,8.61,-0.01,-0.11601
2022-04-13,8.62,-0.01,-0.11587
2022-04-12,8.63,-0.02,-0.23121
2022-04-11,8.65,0.01,0.11574
2022-04-10,8.64,-0.08,-0.91743
2022-04-07,8.72,-0.01,-0.11455
2022-04-06,8.73,0.02,0.22962
2022-04-05,8.71,-0.07,-0.79727
2022-03-31,8.78,0.03,0.34286
2022-03-30,8.75,-0.01,-0.11416
2022-03-29,8.76,0.01,0.11429
2022-03-28,8.75,0.08,0.92272
2022-03-27,8.67,0.03,0.34722
2022-03-24,8.64,-0.03,-0.34602
2022-03-23,8.67,0.01,0.11547
2022-03-22,8.66,0.0,0.0
2022-03-21,8.66,-0.03,-0.34522
2022-03-20,8.69,0.01,0.11521
2022-03-17,8.68,-0.01,-0.11507
2022-03-16,8.69,0.04,0.46243
2022-03-15,8.65,0.07,0.81585
2022-03-14,8.58,0.05,0.58617
2022-03-13,8.53,-0.05,-0.58275
2022-03-10,8.58,-0.03,-0.34843
2022-03-09,8.61,-0.01,-0.11601
2022-03-08,8.62,0.04,0.4662
2022-03-07,8.58,0.0,0.0
2022-03-06,8.58,-0.08,-0.92379
2022-03-03,8.66,-0.03,-0.34522
2022-03-02,8.69,0.0,0.0
