tradeDate,nav,change,changePercent
2022-08-31,16.027,-0.0904,-0.56088
2022-08-29,16.1174,0.4663,2.97934
2022-08-28,15.6511,-0.2248,-1.41598
2022-08-25,15.8759,0.0547,0.34574
2022-08-24,15.8212,-0.0794,-0.49935
2022-08-23,15.9006,0.0577,0.3642
2022-08-22,15.8429,0.0923,0.58601
2022-08-21,15.7506,-0.2766,-1.72582
2022-08-18,16.0272,-0.2153,-1.32553
2022-08-17,16.2425,-0.0392,-0.24076
2022-08-16,16.2817,0.1239,0.76681
2022-08-15,16.1578,0.1047,0.65221
2022-08-11,16.0531,0.0074,0.04612
2022-08-10,16.0457,0.1457,0.91635
2022-08-09,15.9,0.0156,0.09821
2022-08-07,15.8844,0.0319,0.20123
2022-08-04,15.8525,0.1015,0.6444
2022-08-03,15.751,-0.1302,-0.81984
2022-08-02,15.8812,-0.0672,-0.42136
2022-08-01,15.9484,0.0837,0.52759
2022-07-31,15.8647,0.1946,1.24186
2022-07-28,15.6701,0.3269,2.13059
2022-07-27,15.3432,0.2486,1.64695
2022-07-26,15.0946,0.1232,0.8229
2022-07-25,14.9714,-0.1474,-0.97495
2022-07-24,15.1188,-0.0343,-0.22636
2022-07-21,15.1531,0.0625,0.41417
2022-07-20,15.0906,0.1038,0.69261
2022-07-19,14.9868,0.1329,0.89471
2022-07-18,14.8539,0.0851,0.57621
2022-07-17,14.7688,0.2106,1.44661
2022-07-14,14.5582,0.1145,0.79273
2022-07-13,14.4437,,
2022-07-12,14.5091,-0.0433,-0.29755
2022-07-11,14.5524,-0.1804,-1.22448
2022-07-10,14.7328,-0.0374,-0.25321
2022-07-07,14.7702,0.0576,0.3915
2022-07-06,14.7126,0.1605,1.10293
2022-07-05,14.5521,0.1253,0.86852
2022-07-04,14.4268,-0.0355,-0.24547
2022-07-03,14.4623,0.1,0.69627
2022-06-30,14.3623,-0.0738,-0.51122
2022-06-29,14.4361,-0.0458,-0.31626
2022-06-28,14.4819,-0.0743,-0.51044
2022-06-27,14.5562,-0.0613,-0.41936
2022-06-26,14.6175,0.1275,0.87992
2022-06-23,14.49,0.1458,1.01644
2022-06-22,14.3442,0.1553,1.09452
2022-06-21,14.1889,-0.2267,-1.5726
2022-06-20,14.4156,0.2792,1.97504
2022-06-19,14.1364,-0.0263,-0.1857
2022-06-16,14.1627,-0.099,-0.69417
2022-06-15,14.2617,-0.3456,-2.36594
2022-06-14,14.6073,-0.0087,-0.05952
2022-06-13,14.616,-0.0152,-0.10389
2022-06-12,14.6312,-0.4694,-3.10849
2022-06-09,15.1006,-0.2422,-1.57859
2022-06-08,15.3428,0.0879,0.57621
2022-06-07,15.2549,-0.0831,-0.54179
2022-06-06,15.338,-0.1466,-0.94675
2022-06-05,15.4846,-0.1204,-0.77155
2022-06-01,15.605,0.0701,0.45124
2022-05-31,15.5349,-0.0201,-0.12922
2022-05-30,15.555,0.0104,0.0669
2022-05-29,15.5446,0.3276,2.15286
2022-05-26,15.217,0.1403,0.93057
2022-05-25,15.0767,0.1185,0.79221
2022-05-24,14.9582,-0.114,-0.75636
2022-05-23,15.0722,-0.1024,-0.67481
2022-05-22,15.1746,-0.0911,-0.59676
2022-05-19,15.2657,0.3703,2.486
2022-05-18,14.8954,-0.3959,-2.58905
2022-05-17,15.2913,0.0062,0.04056
2022-05-16,15.2851,0.359,2.40518
2022-05-15,14.9261,0.0649,0.43671
