tradeDate,nav,change,changePercent
2022-08-31,9.747,-0.133,-1.34615
2022-08-30,9.88,-0.0857,-0.85995
2022-08-29,9.9657,-0.0445,-0.44455
2022-08-28,10.0102,-0.0446,-0.44357
2022-08-25,10.0548,-0.268,-2.59619
2022-08-24,10.3228,0.1561,1.5354
2022-08-23,10.1667,0.0568,0.56183
2022-08-22,10.1099,-0.0282,-0.27816
2022-08-21,10.1381,-0.1631,-1.58331
2022-08-18,10.3012,-0.1794,-1.71173
2022-08-17,10.4806,0.0091,0.0869
2022-08-16,10.4715,-0.1776,-1.66775
2022-08-15,10.6491,0.0147,0.13823
2022-08-14,10.6344,0.0587,0.55505
2022-08-11,10.5757,0.1304,1.24841
2022-08-10,10.4453,-0.0974,-0.92386
2022-08-09,10.5427,0.2733,2.6613
2022-08-08,10.2694,-0.0928,-0.89556
2022-08-07,10.3622,0.0101,0.09756
2022-08-04,10.3521,0.1224,1.19652
2022-08-03,10.2297,-0.0016,-0.01564
2022-08-02,10.2313,0.1724,1.71391
2022-08-01,10.0589,0.0338,0.33715
2022-07-31,10.0251,0.0797,0.80138
2022-07-28,9.9454,0.0881,0.89375
2022-07-27,9.8573,0.0777,0.79451
2022-07-26,9.7796,0.184,1.91755
2022-07-25,9.5956,-0.1419,-1.45725
2022-07-24,9.7375,-0.0166,-0.17018
2022-07-21,9.7541,-0.1306,-1.32123
2022-07-20,9.8847,0.0211,0.21392
2022-07-19,9.8636,0.1302,1.33766
2022-07-18,9.7334,0.1929,2.02191
2022-07-17,9.5405,-0.0616,-0.64153
2022-07-14,9.6021,0.183,1.94286
2022-07-13,9.4191,-0.1258,-1.31798
2022-07-12,9.5449,-0.0475,-0.49518
2022-07-11,9.5924,-0.0808,-0.8353
2022-07-10,9.6732,-0.1219,-1.2445
2022-07-07,9.7951,-0.0117,-0.1193
2022-07-06,9.8068,0.1797,1.86661
2022-07-05,9.6271,0.0197,0.20505
2022-07-04,9.6074,0.0465,0.48636
2022-06-30,9.5609,0.1236,1.3097
2022-06-29,9.4373,-0.1555,-1.62101
2022-06-28,9.5928,-0.0277,-0.28793
2022-06-27,9.6205,-0.1931,-1.96768
2022-06-26,9.8136,-0.0491,-0.49784
2022-06-23,9.8627,0.2816,2.93912
2022-06-22,9.5811,0.113,1.19348
2022-06-21,9.4681,0.0151,0.15974
2022-06-20,9.453,0.1944,2.09967
2022-06-16,9.2586,0.0747,0.81338
2022-06-15,9.1839,-0.3234,-3.4016
2022-06-14,9.5073,0.149,1.59217
2022-06-13,9.3583,-0.0607,-0.64444
2022-06-12,9.419,-0.4008,-4.08155
2022-06-09,9.8198,-0.3435,-3.37981
2022-06-08,10.1633,-0.2037,-1.96489
2022-06-07,10.367,-0.0096,-0.09252
2022-06-06,10.3766,0.086,0.83571
2022-06-05,10.2906,-0.111,-1.06714
2022-06-01,10.4016,0.1651,1.61286
2022-05-31,10.2365,-0.0624,-0.60589
2022-05-30,10.2989,-0.2085,-1.98432
2022-05-26,10.5074,0.2039,1.97894
2022-05-25,10.3035,0.2602,2.59078
2022-05-24,10.0433,0.1065,1.07177
2022-05-23,9.9368,-0.1158,-1.15194
2022-05-22,10.0526,0.1292,1.30197
2022-05-19,9.9234,-0.0573,-0.57411
2022-05-18,9.9807,0.0256,0.25715
2022-05-17,9.9551,-0.2168,-2.13136
2022-05-16,10.1719,0.0665,0.65806
2022-05-15,10.1054,-0.0654,-0.64302
2022-05-12,10.1708,0.2608,2.63169
2022-05-11,9.91,0.072,0.73186
2022-05-10,9.838,-0.0324,-0.32825
2022-05-09,9.8704,0.0389,0.39567
2022-05-08,9.8315,-0.2204,-2.19262
2022-05-05,10.0519,-0.0466,-0.46145
2022-05-04,10.0985,-0.2496,-2.41204
2022-05-03,10.3481,0.0983,0.95904
2022-05-02,10.2498,0.1186,1.17064
2022-04-28,10.1312,-0.2494,-2.40256
2022-04-27,10.3806,0.1419,1.38592
