tradeDate,nav,change,changePercent
2022-08-31,10.02,-0.1,-0.98814
2022-08-30,10.12,-0.09,-0.88149
2022-08-29,10.21,-0.1,-0.96993
2022-08-28,10.31,-0.03,-0.29014
2022-08-25,10.34,-0.15,-1.42993
2022-08-24,10.49,0.09,0.86538
2022-08-23,10.4,0.04,0.3861
2022-08-22,10.36,0.03,0.29042
2022-08-21,10.33,-0.07,-0.67308
2022-08-18,10.4,-0.09,-0.85796
2022-08-17,10.49,0.04,0.38278
2022-08-16,10.45,-0.08,-0.75973
2022-08-15,10.53,0.02,0.19029
2022-08-14,10.51,-0.03,-0.28463
2022-08-11,10.54,0.07,0.66858
2022-08-10,10.47,0.05,0.47985
2022-08-09,10.42,0.09,0.87125
2022-08-08,10.33,-0.01,-0.09671
2022-08-07,10.34,0.05,0.48591
2022-08-04,10.29,0.01,0.09728
2022-08-03,10.28,0.02,0.19493
2022-08-02,10.26,-0.02,-0.19455
2022-08-01,10.28,-0.03,-0.29098
2022-07-31,10.31,-0.04,-0.38647
2022-07-28,10.35,0.12,1.17302
2022-07-27,10.23,0.11,1.08696
2022-07-26,10.12,0.09,0.89731
2022-07-25,10.03,0.0,0.0
2022-07-24,10.03,0.03,0.3
2022-07-21,10.0,0.03,0.3009
2022-07-20,9.97,-0.01,-0.1002
2022-07-19,9.98,0.01,0.1003
2022-07-18,9.97,0.12,1.21827
2022-07-17,9.85,0.06,0.61287
2022-07-14,9.79,0.08,0.82389
2022-07-13,9.71,,
2022-07-12,9.85,0.0,0.0
2022-07-11,9.85,-0.03,-0.30364
2022-07-10,9.88,-0.05,-0.50352
2022-07-07,9.93,-0.01,-0.1006
2022-07-06,9.94,0.12,1.222
2022-07-05,9.82,-0.04,-0.40568
2022-07-04,9.86,-0.17,-1.69492
2022-07-03,10.03,0.02,0.1998
2022-06-30,10.01,0.05,0.50201
2022-06-29,9.96,-0.09,-0.89552
2022-06-28,10.05,-0.1,-0.98522
2022-06-27,10.15,0.01,0.09862
2022-06-26,10.14,0.04,0.39604
2022-06-23,10.1,0.12,1.2024
2022-06-22,9.98,-0.11,-1.09019
2022-06-21,10.09,,
2022-06-20,10.18,0.07,0.69238
