tradeDate,nav,change,changePercent
2022-08-30,9.4012,-0.047,-0.49745
2022-08-29,9.4482,-0.0119,-0.12579
2022-08-28,9.4601,-0.0235,-0.2478
2022-08-25,9.4836,-0.0713,-0.74621
2022-08-24,9.5549,0.0538,0.56625
2022-08-23,9.5011,0.0074,0.07795
2022-08-22,9.4937,0.0064,0.06746
2022-08-21,9.4873,-0.0707,-0.73969
2022-08-18,9.558,-0.0692,-0.7188
2022-08-17,9.6272,-0.0042,-0.04361
2022-08-16,9.6314,-0.0627,-0.64679
2022-08-15,9.6941,-0.0013,-0.01341
2022-08-14,9.6954,0.0206,0.21292
2022-08-11,9.6748,0.0453,0.47043
2022-08-10,9.6295,0.0057,0.05923
2022-08-09,9.6238,0.0549,0.57373
2022-08-08,9.5689,-0.0179,-0.18672
2022-08-07,9.5868,0.0269,0.28138
2022-08-04,9.5599,-0.0258,-0.26915
2022-08-03,9.5857,0.0186,0.19442
2022-08-02,9.5671,0.0224,0.23469
2022-08-01,9.5447,-0.0245,-0.25603
2022-07-31,9.5692,0.0191,0.2
2022-07-28,9.5501,0.0843,0.89057
2022-07-27,9.4658,0.0695,0.73965
2022-07-26,9.3963,0.0717,0.76893
2022-07-25,9.3246,-0.019,-0.20335
2022-07-24,9.3436,0.0114,0.12216
2022-07-21,9.3322,0.0241,0.25891
2022-07-20,9.3081,0.0365,0.39368
2022-07-19,9.2716,0.0387,0.41915
2022-07-18,9.2329,0.0588,0.64093
2022-07-17,9.1741,0.0043,0.04689
2022-07-14,9.1698,0.0599,0.65753
2022-07-13,9.1099,-0.0351,-0.38382
2022-07-12,9.145,-0.0247,-0.26937
2022-07-11,9.1697,-0.0131,-0.14266
2022-07-10,9.1828,-0.0014,-0.01524
2022-07-07,9.1842,-0.0001,-0.00109
2022-07-06,9.1843,0.0365,0.399
2022-07-05,9.1478,-0.002,-0.02186
2022-07-04,9.1498,0.0138,0.15105
2022-06-30,9.136,0.0282,0.30962
2022-06-29,9.1078,-0.0222,-0.24315
2022-06-28,9.13,-0.0044,-0.04817
2022-06-27,9.1344,-0.0456,-0.49673
2022-06-26,9.18,-0.0296,-0.3214
2022-06-23,9.2096,0.0694,0.75928
2022-06-22,9.1402,0.0294,0.32269
2022-06-21,9.1108,0.0115,0.12638
2022-06-20,9.0993,0.0214,0.23574
2022-06-16,9.0779,0.0197,0.21748
2022-06-15,9.0582,-0.0977,-1.06707
2022-06-14,9.1559,0.0558,0.61318
2022-06-13,9.1001,-0.0465,-0.50839
2022-06-12,9.1466,-0.183,-1.9615
2022-06-09,9.3296,-0.1236,-1.30749
2022-06-08,9.4532,-0.0713,-0.7486
2022-06-07,9.5245,-0.0418,-0.43695
2022-06-06,9.5663,0.0341,0.35773
2022-06-05,9.5322,-0.0343,-0.35854
2022-06-01,9.5665,0.0494,0.51907
2022-05-31,9.5171,0.0059,0.06203
2022-05-30,9.5112,-0.0672,-0.70158
2022-05-26,9.5784,0.0553,0.58069
2022-05-25,9.5231,0.0565,0.59684
2022-05-24,9.4666,0.0326,0.34556
2022-05-23,9.434,-0.019,-0.20099
2022-05-22,9.453,0.0245,0.25985
2022-05-19,9.4285,-0.0065,-0.06889
2022-05-18,9.435,-0.0166,-0.17563
2022-05-17,9.4516,-0.0724,-0.76018
2022-05-16,9.524,0.0199,0.20938
2022-05-15,9.5041,-0.006,-0.06309
2022-05-12,9.5101,0.0308,0.32492
2022-05-11,9.4793,0.0257,0.27185
2022-05-10,9.4536,-0.0034,-0.03595
2022-05-09,9.457,0.0288,0.30547
2022-05-08,9.4282,-0.0762,-0.80173
2022-05-05,9.5044,-0.0499,-0.52228
2022-05-04,9.5543,-0.0999,-1.03478
2022-05-03,9.6542,0.0496,0.51642
2022-05-02,9.6046,0.0002,0.00208
2022-04-28,9.6044,-0.0778,-0.80354
2022-04-27,9.6822,0.0537,0.55772
2022-04-26,9.6285,-0.0001,-0.00104
2022-04-25,9.6286,-0.0743,-0.76575
2022-04-24,9.7029,0.0062,0.06394
2022-04-21,9.6967,-0.0984,-1.00458
2022-04-20,9.7951,-0.0505,-0.51292
2022-04-19,9.8456,0.029,0.29542
2022-04-18,9.8166,0.0252,0.25737
2022-04-17,9.7914,0.0112,0.11452
2022-04-13,9.7802,-0.0437,-0.44483
2022-04-12,9.8239,0.034,0.3473
2022-04-11,9.7899,0.0061,0.06235
2022-04-10,9.7838,-0.0443,-0.45075
2022-04-07,9.8281,-0.0046,-0.04678
2022-04-06,9.8327,-0.0022,-0.02237
2022-04-05,9.8349,-0.1046,-1.05237
2022-03-31,9.9395,0.0089,0.08962
2022-03-30,9.9306,-0.0236,-0.23709
2022-03-29,9.9542,-0.014,-0.14045
2022-03-28,9.9682,0.0727,0.73468
2022-03-27,9.8955,0.0222,0.22485
2022-03-24,9.8733,-0.0122,-0.12341
2022-03-23,9.8855,0.0274,0.27794
2022-03-22,9.8581,-0.014,-0.14181
2022-03-21,9.8721,0.0216,0.21928
2022-03-20,9.8505,0.0029,0.02945
2022-03-17,9.8476,0.0338,0.34441
2022-03-16,9.8138,0.0451,0.46168
2022-03-15,9.7687,0.1003,1.0374
2022-03-14,9.6684,0.0211,0.21871
2022-03-13,9.6473,-0.0314,-0.32442
2022-03-10,9.6787,-0.0316,-0.32543
