tradeDate,nav,change,changePercent
2022-08-31,16.73,-0.16,-0.94731
2022-08-30,16.89,0.06,0.35651
2022-08-29,16.83,-0.1,-0.59067
2022-08-28,16.93,0.0,0.0
2022-08-25,16.93,-0.04,-0.23571
2022-08-24,16.97,0.31,1.86074
2022-08-23,16.66,-0.23,-1.36175
2022-08-22,16.89,-0.08,-0.47142
2022-08-21,16.97,0.14,0.83185
2022-08-18,16.83,0.02,0.11898
2022-08-17,16.81,-0.04,-0.23739
2022-08-16,16.85,0.07,0.41716
2022-08-15,16.78,-0.05,-0.29709
2022-08-14,16.83,0.01,0.05945
2022-08-11,16.82,0.07,0.41791
2022-08-10,16.75,0.24,1.45366
2022-08-09,16.51,-0.13,-0.78125
2022-08-08,16.64,0.01,0.06013
2022-08-07,16.63,0.07,0.42271
2022-08-04,16.56,0.16,0.97561
2022-08-03,16.4,0.09,0.55181
2022-08-02,16.31,-0.15,-0.9113
2022-08-01,16.46,-0.24,-1.43713
2022-07-31,16.7,0.0,0.0
2022-07-28,16.7,-0.24,-1.41677
2022-07-27,16.94,-0.02,-0.11792
2022-07-26,16.96,-0.07,-0.41104
2022-07-25,17.03,0.09,0.53129
2022-07-24,16.94,0.01,0.05907
2022-07-21,16.93,-0.05,-0.29446
2022-07-20,16.98,-0.17,-0.99125
2022-07-19,17.15,0.2,1.17994
2022-07-18,16.95,0.0,0.0
2022-07-17,16.95,0.15,0.89286
2022-07-14,16.8,-0.17,-1.00177
2022-07-13,16.97,-0.05,-0.29377
2022-07-12,17.02,-0.07,-0.4096
2022-07-11,17.09,-0.15,-0.87007
2022-07-10,17.24,-0.24,-1.373
2022-07-07,17.48,-0.05,-0.28523
2022-07-06,17.53,0.02,0.11422
2022-07-05,17.51,-0.31,-1.73962
2022-07-04,17.82,-0.06,-0.33557
2022-07-03,17.88,0.13,0.73239
2022-06-30,17.75,-0.12,-0.67152
2022-06-29,17.87,0.27,1.53409
2022-06-28,17.6,-0.17,-0.95667
2022-06-27,17.77,0.16,0.90857
