tradeDate,nav,change,changePercent
2022-03-13,10.3036,0.059,0.57591
2022-03-10,10.2446,0.0273,0.26719
2022-03-09,10.2173,-0.0559,-0.54413
2022-03-08,10.2732,0.0293,0.28602
2022-03-07,10.2439,0.0416,0.40775
2022-03-06,10.2023,0.0538,0.53013
2022-03-03,10.1485,0.0297,0.29351
2022-03-02,10.1188,-0.0502,-0.49366
2022-03-01,10.169,-0.0091,-0.08941
2022-02-28,10.1781,-0.045,-0.44018
2022-02-24,10.2231,-0.0144,-0.14066
2022-02-23,10.2375,0.0061,0.05962
2022-02-22,10.2314,0.0119,0.11644
2022-02-21,10.2195,0.0302,0.29639
2022-02-20,10.1893,-0.0363,-0.35499
2022-02-17,10.2256,0.0239,0.23427
2022-02-16,10.2017,-0.0777,-0.75588
2022-02-15,10.2794,0.0148,0.14418
2022-02-14,10.2646,0.038,0.37158
2022-02-13,10.2266,-0.051,-0.49622
2022-02-10,10.2776,-0.05,-0.48414
2022-02-09,10.3276,0.0122,0.11827
2022-02-08,10.3154,0.0413,0.40198
2022-02-07,10.2741,-0.0534,-0.51707
2022-02-06,10.3275,-0.0389,-0.37525
2022-01-27,10.3664,-0.0541,-0.51917
2022-01-26,10.4205,-0.1413,-1.33784
2022-01-25,10.5618,0.0688,0.65568
2022-01-24,10.493,-0.0604,-0.57233
2022-01-23,10.5534,0.0397,0.3776
2022-01-20,10.5137,0.0517,0.49417
2022-01-19,10.462,0.0337,0.32316
2022-01-18,10.4283,0.1318,1.28005
2022-01-17,10.2965,-0.022,-0.21321
2022-01-16,10.3185,0.0138,0.13392
2022-01-13,10.3047,-0.073,-0.70343
2022-01-12,10.3777,-0.1231,-1.17229
2022-01-11,10.5008,0.0016,0.01524
2022-01-10,10.4992,-0.0688,-0.65102
2022-01-09,10.568,0.0084,0.07955
2022-01-06,10.5596,0.0075,0.07108
2022-01-05,10.5521,-0.0886,-0.83265
2022-01-04,10.6407,-0.0696,-0.64984
2022-01-03,10.7103,-0.0903,-0.83606
2021-12-29,10.8006,0.0196,0.1818
2021-12-28,10.781,-0.0395,-0.36505
2021-12-27,10.8205,0.0184,0.17034
2021-12-26,10.8021,-0.0166,-0.15344
2021-12-23,10.8187,-0.0796,-0.73039
2021-12-22,10.8983,0.0182,0.16728
2021-12-21,10.8801,0.0391,0.36067
2021-12-20,10.841,0.0214,0.19779
2021-12-19,10.8196,-0.0433,-0.3986
2021-12-16,10.8629,-0.0796,-0.72744
2021-12-15,10.9425,0.0405,0.37149
2021-12-14,10.902,-0.0622,-0.5673
2021-12-13,10.9642,-0.0461,-0.4187
2021-12-12,11.0103,0.0451,0.4113
2021-12-09,10.9652,0.0289,0.26426
2021-12-08,10.9363,-0.0131,-0.11964
2021-12-07,10.9494,0.1333,1.23242
2021-12-06,10.8161,0.0563,0.52324
2021-12-05,10.7598,-0.014,-0.12994
2021-12-02,10.7738,-0.0246,-0.22781
2021-12-01,10.7984,-0.0191,-0.17657
2021-11-30,10.8175,-0.0829,-0.76052
2021-11-29,10.9004,0.039,0.35907
2021-11-28,10.8614,-0.0063,-0.05797
2021-11-25,10.8677,-0.0296,-0.27163
2021-11-24,10.8973,-0.0036,-0.03302
2021-11-23,10.9009,-0.0227,-0.20781
2021-11-22,10.9236,0.0088,0.08062
2021-11-21,10.9148,0.0431,0.39644
