tradeDate,nav,change,changePercent
2022-08-30,9.1451,0.0049,0.05361
2022-08-29,9.1402,0.004,0.04378
2022-08-28,9.1362,-0.0123,-0.13445
2022-08-25,9.1485,0.0206,0.22568
2022-08-24,9.1279,0.0052,0.057
2022-08-23,9.1227,0.0052,0.05703
2022-08-22,9.1175,0.0069,0.07574
2022-08-21,9.1106,-0.0048,-0.05266
2022-08-18,9.1154,0.0044,0.04829
2022-08-17,9.111,0.0173,0.19024
2022-08-16,9.0937,-0.0086,-0.09448
2022-08-15,9.1023,0.0325,0.35833
2022-08-14,9.0698,0.0251,0.27751
2022-08-11,9.0447,0.0039,0.04314
2022-08-10,9.0408,0.0219,0.24282
2022-08-09,9.0189,0.0004,0.00444
2022-08-08,9.0185,-0.0012,-0.0133
2022-08-07,9.0197,0.0016,0.01774
2022-08-04,9.0181,-0.0045,-0.04987
2022-08-03,9.0226,-0.0048,-0.05317
2022-08-02,9.0274,-0.0098,-0.10844
2022-08-01,9.0372,0.0088,0.09747
2022-07-31,9.0284,0.0073,0.08092
2022-07-28,9.0211,0.0214,0.23779
2022-07-27,8.9997,0.0221,0.24617
2022-07-26,8.9776,-0.0019,-0.02116
2022-07-25,8.9795,0.0109,0.12154
2022-07-24,8.9686,0.0113,0.12615
2022-07-21,8.9573,0.0137,0.15318
2022-07-20,8.9436,0.0132,0.14781
2022-07-19,8.9304,-0.0068,-0.07609
2022-07-18,8.9372,-0.0074,-0.08273
2022-07-17,8.9446,0.0079,0.0884
2022-07-14,8.9367,-0.016,-0.17872
2022-07-13,8.9527,-0.0062,-0.0692
2022-07-12,8.9589,,
2022-07-11,8.9792,-0.0286,-0.3175
2022-07-10,9.0078,-0.0017,-0.01887
2022-07-07,9.0095,-0.0004,-0.00444
2022-07-06,9.0099,-0.0121,-0.13412
2022-07-05,9.022,-0.0053,-0.05871
2022-07-04,9.0273,-0.0026,-0.02879
2022-06-30,9.0299,0.0157,0.17417
2022-06-29,9.0142,-0.0011,-0.0122
2022-06-28,9.0153,-0.0081,-0.08977
2022-06-27,9.0234,-0.0017,-0.01884
2022-06-26,9.0251,0.0016,0.01773
2022-06-23,9.0235,-0.0072,-0.07973
2022-06-22,9.0307,0.0117,0.12973
2022-06-21,9.019,,
2022-06-20,9.028,0.0102,0.11311
2022-06-19,9.0178,0.0051,0.05659
2022-06-16,9.0127,-0.0009,-0.00998
2022-06-15,9.0136,-0.0078,-0.08646
2022-06-14,9.0214,0.0029,0.03216
2022-06-13,9.0185,-0.0112,-0.12404
2022-06-12,9.0297,-0.0398,-0.43883
2022-06-09,9.0695,-0.0136,-0.14973
2022-06-08,9.0831,0.005,0.05508
2022-06-07,9.0781,0.0069,0.07606
2022-06-06,9.0712,0.0003,0.00331
2022-06-05,9.0709,0.0043,0.04743
2022-06-01,9.0666,0.0013,0.01434
2022-05-31,9.0653,-0.0001,-0.0011
2022-05-30,9.0654,0.0017,0.01876
2022-05-29,9.0637,0.0048,0.05299
2022-05-26,9.0589,0.0028,0.03092
2022-05-25,9.0561,0.0213,0.23576
2022-05-24,9.0348,0.0174,0.19296
2022-05-23,9.0174,0.0121,0.13437
2022-05-22,9.0053,0.006,0.06667
2022-05-19,8.9993,0.0148,0.16473
2022-05-18,8.9845,0.0072,0.0802
2022-05-17,8.9773,-0.0029,-0.03229
2022-05-16,8.9802,-0.0112,-0.12456
2022-05-15,8.9914,-0.0018,-0.02002
2022-05-12,8.9932,0.0061,0.06788
2022-05-11,8.9871,-0.0173,-0.19213
2022-05-10,9.0044,-0.0079,-0.08766
2022-05-09,9.0123,-0.0007,-0.00777
2022-05-08,9.013,-0.006,-0.06653
2022-05-05,9.019,-0.0147,-0.16272
2022-05-04,9.0337,0.0271,0.30089
2022-05-03,9.0066,-0.0154,-0.17069
2022-05-02,9.022,-0.0061,-0.06757
2022-04-28,9.0281,-0.0156,-0.1725
2022-04-27,9.0437,0.0053,0.05864
2022-04-26,9.0384,-0.0023,-0.02544
2022-04-25,9.0407,0.0094,0.10408
2022-04-24,9.0313,-0.0094,-0.10397
2022-04-21,9.0407,0.0017,0.01881
2022-04-20,9.039,0.0086,0.09523
2022-04-19,9.0304,0.0045,0.04986
2022-04-18,9.0259,0.0057,0.06319
2022-04-13,9.0202,0.0021,0.02329
2022-04-12,9.0181,0.0143,0.15882
2022-04-11,9.0038,-0.0142,-0.15746
2022-04-10,9.018,-0.0251,-0.27756
2022-04-07,9.0431,-0.0052,-0.05747
2022-04-06,9.0483,0.0015,0.01658
2022-04-05,9.0468,0.0191,0.21157
2022-03-31,9.0277,0.0134,0.14865
2022-03-30,9.0143,0.0177,0.19674
2022-03-29,8.9966,0.0141,0.15697
2022-03-28,8.9825,0.0391,0.43719
2022-03-27,8.9434,0.0092,0.10298
2022-03-24,8.9342,0.0006,0.00672
2022-03-23,8.9336,-0.0029,-0.03245
2022-03-22,8.9365,0.0042,0.04702
2022-03-21,8.9323,-0.0059,-0.06601
2022-03-20,8.9382,0.0108,0.12098
2022-03-17,8.9274,0.0096,0.10765
2022-03-16,8.9178,0.0215,0.24167
2022-03-15,8.8963,0.0095,0.1069
2022-03-14,8.8868,-0.019,-0.21334
2022-03-13,8.9058,-0.0194,-0.21736
2022-03-10,8.9252,0.0005,0.0056
2022-03-09,8.9247,-0.0039,-0.04368
2022-03-08,8.9286,-0.0096,-0.1074
2022-03-07,8.9382,-0.0426,-0.47435
2022-03-06,8.9808,-0.0223,-0.24769
2022-03-03,9.0031,-0.0056,-0.06216
2022-03-02,9.0087,-0.0379,-0.41894
