tradeDate,nav,change,changePercent
2022-08-31,12.73,-0.22,-1.69884
2022-08-30,12.95,-0.25,-1.89394
2022-08-29,13.2,-0.23,-1.71258
2022-08-28,13.43,-0.02,-0.1487
2022-08-25,13.45,0.12,0.90023
2022-08-24,13.33,0.13,0.98485
2022-08-23,13.2,-0.3,-2.22222
2022-08-22,13.5,-0.03,-0.22173
2022-08-21,13.53,0.14,1.04556
2022-08-18,13.39,-0.08,-0.59391
2022-08-17,13.47,0.03,0.22321
2022-08-16,13.44,-0.08,-0.59172
2022-08-15,13.52,0.03,0.22239
2022-08-14,13.49,0.06,0.44676
2022-08-11,13.43,-0.04,-0.29696
2022-08-10,13.47,0.24,1.81406
2022-08-09,13.23,-0.12,-0.89888
2022-08-08,13.35,0.18,1.36674
2022-08-07,13.17,0.08,0.61115
2022-08-04,13.09,0.13,1.00309
2022-08-03,12.96,0.0,0.0
2022-08-02,12.96,-0.11,-0.84162
2022-08-01,13.07,-0.34,-2.53542
2022-07-31,13.41,0.01,0.07463
2022-07-28,13.4,0.11,0.82769
2022-07-27,13.29,-0.04,-0.30008
2022-07-26,13.33,-0.01,-0.07496
2022-07-25,13.34,0.08,0.60332
2022-07-24,13.26,0.04,0.30257
2022-07-21,13.22,-0.14,-1.0479
2022-07-20,13.36,-0.17,-1.25647
2022-07-19,13.53,0.13,0.97015
2022-07-18,13.4,0.21,1.59212
2022-07-17,13.19,0.25,1.93199
2022-07-14,12.94,-0.07,-0.53805
2022-07-13,13.01,0.13,1.00932
2022-07-12,12.88,0.09,0.70367
2022-07-11,12.79,-0.24,-1.8419
2022-07-10,13.03,-0.2,-1.51172
2022-07-07,13.23,-0.1,-0.75019
2022-07-06,13.33,0.11,0.83207
2022-07-05,13.22,-0.29,-2.14656
2022-07-04,13.51,0.0,0.0
2022-07-03,13.51,0.08,0.59568
2022-06-30,13.43,0.1,0.75019
2022-06-29,13.33,-0.01,-0.07496
2022-06-28,13.34,-0.38,-2.76968
2022-06-27,13.72,0.15,1.10538
2022-06-26,13.57,0.17,1.26866
2022-06-23,13.4,0.19,1.4383
2022-06-22,13.21,-0.23,-1.71131
2022-06-21,13.44,-0.24,-1.75439
2022-06-20,13.68,0.07,0.51433
2022-06-19,13.61,-0.23,-1.66185
2022-06-16,13.84,0.12,0.87464
2022-06-15,13.72,-0.37,-2.62598
2022-06-14,14.09,-0.21,-1.46853
2022-06-13,14.3,0.19,1.34656
2022-06-12,14.11,0.16,1.14695
2022-06-09,13.95,0.18,1.30719
2022-06-08,13.77,-0.19,-1.36103
2022-06-07,13.96,0.06,0.43165
2022-06-06,13.9,-0.05,-0.35842
2022-06-05,13.95,0.22,1.60233
2022-06-01,13.73,-0.08,-0.57929
2022-05-31,13.81,0.08,0.58267
