tradeDate,nav,change,changePercent
2022-08-30,8.9,-0.04,-0.44743
2022-08-29,8.94,-0.01,-0.11173
2022-08-28,8.95,-0.03,-0.33408
2022-08-25,8.98,-0.06,-0.66372
2022-08-24,9.04,0.02,0.22173
2022-08-23,9.02,0.02,0.22222
2022-08-22,9.0,0.0,0.0
2022-08-21,9.0,-0.07,-0.77178
2022-08-18,9.07,-0.05,-0.54825
2022-08-17,9.12,0.0,0.0
2022-08-16,9.12,-0.04,-0.43668
2022-08-15,9.16,0.01,0.10929
2022-08-14,9.15,0.03,0.32895
2022-08-11,9.12,0.05,0.55127
2022-08-10,9.07,0.0,0.0
2022-08-09,9.07,0.09,1.00223
2022-08-08,8.98,-0.04,-0.44346
2022-08-07,9.02,0.03,0.3337
2022-08-04,8.99,-0.03,-0.33259
2022-08-03,9.02,0.02,0.22222
2022-08-02,9.0,0.04,0.44643
2022-08-01,8.96,-0.02,-0.22272
2022-07-31,8.98,0.02,0.22321
2022-07-28,8.96,0.05,0.56117
2022-07-27,8.91,0.05,0.56433
2022-07-26,8.86,0.06,0.68182
2022-07-25,8.8,-0.02,-0.22676
2022-07-24,8.82,-0.01,-0.11325
2022-07-21,8.83,0.02,0.22701
2022-07-20,8.81,0.02,0.22753
2022-07-19,8.79,0.02,0.22805
2022-07-18,8.77,0.04,0.45819
2022-07-17,8.73,-0.02,-0.22857
2022-07-14,8.75,0.05,0.57471
2022-07-13,8.7,,
2022-07-12,8.71,-0.03,-0.34325
2022-07-11,8.74,0.01,0.11455
2022-07-10,8.73,-0.02,-0.22857
2022-07-07,8.75,-0.01,-0.11416
2022-07-06,8.76,0.01,0.11429
2022-07-05,8.75,0.02,0.2291
2022-07-04,8.73,-0.01,-0.11442
2022-06-30,8.74,0.04,0.45977
2022-06-29,8.7,-0.03,-0.34364
2022-06-28,8.73,-0.02,-0.22857
2022-06-27,8.75,-0.03,-0.34169
2022-06-26,8.78,-0.01,-0.11377
2022-06-23,8.79,0.08,0.91848
2022-06-22,8.71,0.02,0.23015
2022-06-21,8.69,,
2022-06-20,8.69,0.05,0.5787
2022-06-16,8.64,0.0,0.0
2022-06-15,8.64,-0.09,-1.03093
