tradeDate,nav,change,changePercent
2022-08-30,9.471,0.0311,0.32945
2022-08-29,9.4399,0.0001,0.00106
2022-08-28,9.4398,-0.0379,-0.39989
2022-08-25,9.4777,-0.0117,-0.1233
2022-08-24,9.4894,0.0396,0.41906
2022-08-23,9.4498,0.0048,0.05082
2022-08-22,9.445,0.0376,0.39969
2022-08-21,9.4074,-0.0051,-0.05418
2022-08-18,9.4125,0.0056,0.05953
2022-08-17,9.4069,0.0116,0.12347
2022-08-16,9.3953,-0.038,-0.40283
2022-08-15,9.4333,0.0612,0.653
2022-08-11,9.3721,0.0165,0.17636
2022-08-10,9.3556,-0.024,-0.25587
2022-08-09,9.3796,0.0305,0.32623
2022-08-08,9.3491,-0.0063,-0.06734
2022-08-07,9.3554,-0.012,-0.1281
2022-08-04,9.3674,-0.0192,-0.20455
2022-08-03,9.3866,-0.0263,-0.2794
2022-08-02,9.4129,-0.0173,-0.18345
2022-08-01,9.4302,-0.0082,-0.08688
2022-07-31,9.4384,-0.035,-0.36946
2022-07-28,9.4734,-0.0018,-0.019
2022-07-27,9.4752,0.02,0.21152
2022-07-26,9.4552,-0.0066,-0.06975
2022-07-25,9.4618,0.0226,0.23943
2022-07-24,9.4392,0.0376,0.39993
2022-07-21,9.4016,0.0312,0.33296
2022-07-20,9.3704,0.0072,0.0769
2022-07-19,9.3632,-0.0183,-0.19506
2022-07-18,9.3815,-0.0331,-0.35158
2022-07-17,9.4146,-0.0082,-0.08702
2022-07-14,9.4228,0.0119,0.12645
2022-07-13,9.4109,-0.028,-0.29664
2022-07-12,9.4389,,
2022-07-11,9.4129,-0.0634,-0.66904
2022-07-10,9.4763,-0.0615,-0.6448
2022-07-07,9.5378,0.0014,0.01468
2022-07-06,9.5364,-0.0264,-0.27607
2022-07-05,9.5628,-0.0207,-0.216
2022-07-04,9.5835,-0.0073,-0.07611
2022-07-03,9.5908,-0.011,-0.11456
2022-06-30,9.6018,0.0068,0.07087
2022-06-29,9.595,0.0123,0.12836
2022-06-28,9.5827,-0.0116,-0.12091
2022-06-27,9.5943,-0.0148,-0.15402
2022-06-26,9.6091,-0.0045,-0.04681
2022-06-23,9.6136,0.0261,0.27223
2022-06-22,9.5875,0.0212,0.22161
2022-06-21,9.5663,,
2022-06-20,9.5363,-0.0373,-0.38961
