tradeDate,nav,change,changePercent
2022-08-30,9.0564,-0.0501,-0.55016
2022-08-29,9.1065,-0.0732,-0.79741
2022-08-28,9.1797,-0.0548,-0.59343
2022-08-25,9.2345,-0.1467,-1.56377
2022-08-24,9.3812,0.0803,0.86336
2022-08-23,9.3009,0.0108,0.11625
2022-08-22,9.2901,0.0033,0.03553
2022-08-21,9.2868,-0.1127,-1.199
2022-08-18,9.3995,-0.0719,-0.75913
2022-08-17,9.4714,0.0235,0.24873
2022-08-16,9.4479,-0.0534,-0.56203
2022-08-15,9.5013,-0.0524,-0.54815
2022-08-14,9.5594,0.0102,0.10682
2022-08-11,9.5492,0.0872,0.92158
2022-08-10,9.462,0.0062,0.06557
2022-08-09,9.4558,0.1083,1.1586
2022-08-08,9.3475,-0.0229,-0.24439
2022-08-07,9.3704,0.0104,0.11111
2022-08-04,9.36,-0.0199,-0.21216
2022-08-03,9.3799,0.0077,0.08216
2022-08-02,9.3722,0.0592,0.63567
2022-08-01,9.313,-0.0328,-0.35096
2022-07-31,9.3458,-0.0052,-0.05561
2022-07-28,9.351,0.0837,0.90318
2022-07-27,9.2673,0.06,0.65166
2022-07-26,9.2073,0.1312,1.44555
2022-07-25,9.0761,-0.0542,-0.59363
2022-07-24,9.1303,0.0262,0.28778
2022-07-21,9.1041,-0.0185,-0.20279
2022-07-20,9.1226,0.0556,0.61321
2022-07-19,9.067,0.038,0.42087
2022-07-18,9.029,0.1236,1.38792
2022-07-17,8.9054,-0.0759,-0.84509
2022-07-14,8.9813,0.0923,1.03836
2022-07-13,8.889,-0.0291,-0.3263
2022-07-12,8.9181,-0.0098,-0.10977
2022-07-11,8.9279,-0.0292,-0.326
2022-07-10,8.9571,-0.0529,-0.58713
2022-07-07,9.01,0.0047,0.05219
2022-07-06,9.0053,0.1055,1.18542
2022-07-05,8.8998,0.004,0.04497
2022-07-04,8.8958,-0.0081,-0.09097
2022-06-30,8.9039,0.0563,0.63633
2022-06-29,8.8476,-0.0529,-0.59435
2022-06-28,8.9005,-0.0403,-0.45074
