tradeDate,nav,change,changePercent
2022-08-30,7.8417,-0.0268,-0.3406
2022-08-29,7.8685,-0.0051,-0.06477
2022-08-28,7.8736,-0.0042,-0.05331
2022-08-25,7.8778,0.0264,0.33625
2022-08-24,7.8514,-0.0038,-0.04838
2022-08-23,7.8552,0.0176,0.22456
2022-08-22,7.8376,-0.0145,-0.18466
2022-08-21,7.8521,-0.0155,-0.19701
2022-08-18,7.8676,0.0022,0.02797
2022-08-17,7.8654,-0.0048,-0.06099
2022-08-16,7.8702,-0.0187,-0.23704
2022-08-15,7.8889,-0.0096,-0.12154
2022-08-14,7.8985,0.0206,0.26149
2022-08-11,7.8779,0.0053,0.06732
2022-08-10,7.8726,0.0372,0.47477
2022-08-09,7.8354,0.0015,0.01915
2022-08-08,7.8339,0.0067,0.0856
2022-08-07,7.8272,0.0143,0.18303
2022-08-04,7.8129,0.0078,0.09993
2022-08-03,7.8051,0.0077,0.09875
2022-08-02,7.7974,-0.0059,-0.07561
2022-08-01,7.8033,-0.0088,-0.11265
2022-07-31,7.8121,0.0628,0.8104
2022-07-28,7.7493,0.0345,0.44719
2022-07-27,7.7148,0.0563,0.73513
2022-07-26,7.6585,0.001,0.01306
2022-07-25,7.6575,0.0227,0.29732
2022-07-24,7.6348,0.0117,0.15348
2022-07-21,7.6231,0.0236,0.31055
2022-07-20,7.5995,0.0175,0.23081
2022-07-19,7.582,0.0207,0.27376
2022-07-18,7.5613,-0.016,-0.21116
2022-07-17,7.5773,-0.0174,-0.22911
2022-07-14,7.5947,-0.0348,-0.45612
2022-07-13,7.6295,-0.0031,-0.04062
2022-07-12,7.6326,-0.0348,-0.45387
2022-07-11,7.6674,-0.0127,-0.16536
2022-07-10,7.6801,0.0163,0.21269
2022-07-07,7.6638,-0.0076,-0.09907
2022-07-06,7.6714,-0.0204,-0.26522
2022-07-05,7.6918,-0.0294,-0.38077
2022-07-04,7.7212,-0.0017,-0.02201
2022-07-03,7.7229,-0.017,-0.21964
2022-06-30,7.7399,0.0097,0.12548
2022-06-29,7.7302,-0.0265,-0.34164
2022-06-28,7.7567,-0.016,-0.20585
2022-06-27,7.7727,-0.0043,-0.05529
2022-06-26,7.777,0.0044,0.05661
2022-06-23,7.7726,-0.0206,-0.26433
2022-06-22,7.7932,-0.0156,-0.19977
2022-06-21,7.8088,,
2022-06-20,7.8062,-0.0138,-0.17647
2022-06-19,7.82,-0.013,-0.16596
2022-06-16,7.833,0.0023,0.02937
2022-06-15,7.8307,-0.0439,-0.55749
2022-06-14,7.8746,-0.0383,-0.48402
2022-06-13,7.9129,-0.0577,-0.72391
2022-06-12,7.9706,-0.0567,-0.70634
2022-06-09,8.0273,-0.0144,-0.17907
2022-06-08,8.0417,-0.0123,-0.15272
2022-06-07,8.054,0.0108,0.13427
2022-06-06,8.0432,0.0132,0.16438
2022-06-05,8.03,-0.0055,-0.06845
2022-06-01,8.0355,-0.0196,-0.24332
2022-05-31,8.0551,0.0093,0.11559
2022-05-30,8.0458,0.0098,0.12195
2022-05-29,8.036,-0.0182,-0.22597
2022-05-26,8.0542,-0.0012,-0.0149
2022-05-25,8.0554,0.0472,0.5894
2022-05-24,8.0082,0.0574,0.72194
2022-05-23,7.9508,-0.0025,-0.03143
2022-05-22,7.9533,-0.0371,-0.46431
2022-05-19,7.9904,-0.0222,-0.27706
2022-05-18,8.0126,-0.0349,-0.43368
2022-05-17,8.0475,0.0029,0.03605
2022-05-16,8.0446,-0.094,-1.15499
2022-05-15,8.1386,-0.0138,-0.16928
2022-05-12,8.1524,-0.0192,-0.23496
2022-05-11,8.1716,0.0216,0.26503
