tradeDate,nav,change,changePercent
2022-08-31,9.23,-0.01,-0.10823
2022-08-30,9.24,-0.06,-0.64516
2022-08-29,9.3,-0.06,-0.64103
2022-08-28,9.36,-0.04,-0.42553
2022-08-25,9.4,-0.2,-2.08333
2022-08-24,9.6,0.11,1.15911
2022-08-23,9.49,0.02,0.21119
2022-08-22,9.47,0.0,0.0
2022-08-21,9.47,-0.13,-1.35417
2022-08-18,9.6,-0.1,-1.03093
2022-08-17,9.7,0.01,0.1032
2022-08-16,9.69,-0.08,-0.81883
2022-08-15,9.77,-0.02,-0.20429
2022-08-14,9.79,0.03,0.30738
2022-08-11,9.76,0.08,0.82645
2022-08-10,9.68,-0.03,-0.30896
2022-08-09,9.71,0.14,1.4629
2022-08-08,9.57,-0.07,-0.72614
2022-08-07,9.64,0.02,0.2079
2022-08-04,9.62,-0.01,-0.10384
2022-08-03,9.63,0.03,0.3125
2022-08-02,9.6,0.08,0.84034
2022-08-01,9.52,-0.02,-0.20964
2022-07-31,9.54,0.0,0.0
2022-07-28,9.54,0.02,0.21008
2022-07-27,9.52,0.1,1.06157
2022-07-26,9.42,0.15,1.61812
2022-07-25,9.27,-0.07,-0.74946
2022-07-24,9.34,0.0,0.0
2022-07-21,9.34,-0.04,-0.42644
2022-07-20,9.38,0.07,0.75188
2022-07-19,9.31,0.07,0.75758
2022-07-18,9.24,0.13,1.427
2022-07-17,9.11,-0.02,-0.21906
2022-07-14,9.13,0.11,1.21951
2022-07-13,9.02,-0.01,-0.11074
2022-07-12,9.03,,
2022-07-11,9.06,-0.04,-0.43956
2022-07-10,9.1,-0.06,-0.65502
2022-07-07,9.16,0.01,0.10929
2022-07-06,9.15,0.1,1.10497
2022-07-05,9.05,0.02,0.22148
2022-07-04,9.03,0.05,0.55679
2022-06-30,8.98,0.05,0.55991
2022-06-29,8.93,-0.08,-0.8879
2022-06-28,9.01,0.0,0.0
2022-06-27,9.01,-0.13,-1.42232
2022-06-26,9.14,-0.04,-0.43573
2022-06-23,9.18,0.15,1.66113
2022-06-22,9.03,0.09,1.00671
2022-06-21,8.94,0.0,0.0
2022-06-20,8.94,0.11,1.24575
2022-06-16,8.83,0.03,0.34091
2022-06-15,8.8,-0.2,-2.22222
2022-06-14,9.0,0.14,1.58014
2022-06-13,8.86,-0.01,-0.11274
2022-06-12,8.87,-0.33,-3.58696
2022-06-09,9.2,-0.21,-2.23167
2022-06-08,9.41,-0.12,-1.25918
2022-06-07,9.53,-0.06,-0.62565
2022-06-06,9.59,0.06,0.62959
2022-06-05,9.53,-0.08,-0.83247
2022-06-01,9.61,0.16,1.69312
2022-05-31,9.45,-0.06,-0.63091
2022-05-30,9.51,-0.07,-0.73069
