tradeDate,nav,change,changePercent
2022-08-31,8.6703,-0.0209,-0.24047
2022-08-30,8.6912,0.0037,0.04259
2022-08-29,8.6875,-0.0061,-0.07017
2022-08-28,8.6936,-0.0194,-0.22266
2022-08-25,8.713,0.0112,0.12871
2022-08-24,8.7018,0.0141,0.1623
2022-08-23,8.6877,0.0067,0.07718
2022-08-22,8.681,0.0239,0.27607
2022-08-21,8.6571,-0.039,-0.44848
2022-08-18,8.6961,-0.0303,-0.34722
2022-08-17,8.7264,-0.0068,-0.07786
2022-08-16,8.7332,-0.0244,-0.27862
2022-08-15,8.7576,0.0061,0.0697
2022-08-14,8.7515,0.0026,0.02972
2022-08-11,8.7489,0.0104,0.11901
2022-08-10,8.7385,0.0021,0.02404
2022-08-09,8.7364,0.0144,0.1651
2022-08-08,8.722,-0.0019,-0.02178
2022-08-07,8.7239,0.0218,0.25051
2022-08-04,8.7021,-0.009,-0.10332
2022-08-03,8.7111,0.0104,0.11953
2022-08-02,8.7007,0.0104,0.11967
2022-08-01,8.6903,-0.0115,-0.13216
2022-07-31,8.7018,0.0314,0.36215
2022-07-28,8.6704,0.0369,0.4274
2022-07-27,8.6335,0.0447,0.52045
2022-07-26,8.5888,0.0121,0.14108
2022-07-25,8.5767,0.0129,0.15063
2022-07-24,8.5638,0.022,0.25756
2022-07-21,8.5418,0.0264,0.31003
2022-07-20,8.5154,0.0349,0.41153
2022-07-19,8.4805,0.0178,0.21033
2022-07-18,8.4627,-0.0142,-0.16751
2022-07-17,8.4769,-0.0077,-0.09075
2022-07-14,8.4846,-0.0021,-0.02474
2022-07-13,8.4867,-0.0273,-0.32065
2022-07-12,8.514,-0.0329,-0.38493
2022-07-11,8.5469,-0.0483,-0.56194
2022-07-10,8.5952,-0.0162,-0.18812
2022-07-07,8.6114,-0.0118,-0.13684
2022-07-06,8.6232,-0.0126,-0.1459
2022-07-05,8.6358,-0.0349,-0.4025
2022-07-04,8.6707,-0.0215,-0.24735
2022-06-30,8.6922,0.0114,0.13132
2022-06-29,8.6808,-0.0141,-0.16216
2022-06-28,8.6949,-0.0175,-0.20086
2022-06-27,8.7124,-0.024,-0.27471
2022-06-26,8.7364,-0.0027,-0.0309
2022-06-23,8.7391,0.0021,0.02404
2022-06-22,8.737,-0.0087,-0.09948
2022-06-21,8.7457,-0.0066,-0.07541
2022-06-20,8.7523,-0.013,-0.14831
2022-06-16,8.7653,-0.0156,-0.17766
2022-06-15,8.7809,-0.0097,-0.11035
2022-06-14,8.7906,0.0166,0.1892
2022-06-13,8.774,-0.0394,-0.44705
2022-06-12,8.8134,-0.087,-0.97748
2022-06-09,8.9004,-0.0402,-0.44963
2022-06-08,8.9406,-0.013,-0.14519
2022-06-07,8.9536,-0.003,-0.03349
2022-06-06,8.9566,0.0045,0.05027
2022-06-05,8.9521,-0.0075,-0.08371
2022-06-01,8.9596,0.0059,0.06589
2022-05-31,8.9537,0.0007,0.00782
2022-05-30,8.953,-0.0042,-0.04689
2022-05-26,8.9572,0.0108,0.12072
2022-05-25,8.9464,0.0298,0.33421
2022-05-24,8.9166,0.0301,0.33872
2022-05-23,8.8865,0.0203,0.22896
2022-05-22,8.8662,0.0007,0.0079
2022-05-19,8.8655,-0.0059,-0.06651
2022-05-18,8.8714,-0.0108,-0.12159
2022-05-17,8.8822,-0.0037,-0.04164
2022-05-16,8.8859,-0.0186,-0.20888
2022-05-15,8.9045,0.0047,0.05281
2022-05-12,8.8998,0.0002,0.00225
2022-05-11,8.8996,-0.0138,-0.15482
2022-05-10,8.9134,-0.001,-0.01122
2022-05-09,8.9144,-0.0109,-0.12212
2022-05-08,8.9253,-0.0125,-0.13986
2022-05-05,8.9378,-0.0181,-0.2021
2022-05-04,8.9559,-0.0167,-0.18612
2022-05-03,8.9726,0.0177,0.19766
2022-05-02,8.9549,-0.0094,-0.10486
