tradeDate,nav,change,changePercent
2022-08-31,9.98,-0.01,-0.1001
2022-08-30,9.99,-0.06,-0.59701
2022-08-29,10.05,-0.12,-1.17994
2022-08-28,10.17,-0.1,-0.97371
2022-08-25,10.27,-0.3,-2.83822
2022-08-24,10.57,0.16,1.53698
2022-08-23,10.41,0.04,0.38573
2022-08-22,10.37,-0.12,-1.14395
2022-08-21,10.49,-0.23,-2.14552
2022-08-18,10.72,-0.14,-1.28913
2022-08-17,10.86,-0.03,-0.27548
2022-08-16,10.89,-0.08,-0.72926
2022-08-15,10.97,-0.06,-0.54397
2022-08-14,11.03,0.07,0.63869
2022-08-11,10.96,0.19,1.76416
2022-08-10,10.77,-0.07,-0.64576
2022-08-09,10.84,0.19,1.78404
2022-08-08,10.65,-0.01,-0.09381
2022-08-07,10.66,0.0,0.0
2022-08-04,10.66,-0.02,-0.18727
2022-08-03,10.68,0.05,0.47037
2022-08-02,10.63,0.12,1.14177
2022-08-01,10.51,-0.09,-0.84906
2022-07-31,10.6,-0.05,-0.46948
2022-07-28,10.65,0.05,0.4717
2022-07-27,10.6,0.32,3.11284
2022-07-26,10.28,0.12,1.1811
2022-07-25,10.16,-0.03,-0.29441
2022-07-24,10.19,-0.02,-0.19589
2022-07-21,10.21,-0.01,-0.09785
2022-07-20,10.22,0.11,1.08803
2022-07-19,10.11,0.01,0.09901
2022-07-18,10.1,0.27,2.74669
2022-07-17,9.83,-0.11,-1.10664
2022-07-14,9.94,0.15,1.53218
2022-07-13,9.79,-0.05,-0.50813
2022-07-12,9.84,0.01,0.10173
2022-07-11,9.83,-0.12,-1.20603
2022-07-10,9.95,-0.06,-0.5994
2022-07-07,10.01,-0.04,-0.39801
2022-07-06,10.05,0.08,0.80241
2022-07-05,9.97,0.04,0.40282
2022-07-04,9.93,0.01,0.10081
2022-06-30,9.92,0.1,1.01833
2022-06-29,9.82,-0.05,-0.50659
2022-06-28,9.87,-0.07,-0.70423
2022-06-27,9.94,-0.2,-1.97239
2022-06-26,10.14,-0.07,-0.6856
2022-06-23,10.21,0.24,2.40722
2022-06-22,9.97,0.16,1.63099
2022-06-21,9.81,0.11,1.13402
2022-06-20,9.7,0.16,1.67715
2022-06-16,9.54,0.04,0.42105
2022-06-15,9.5,-0.26,-2.66393
2022-06-14,9.76,0.21,2.19895
2022-06-13,9.55,-0.06,-0.62435
2022-06-12,9.61,-0.41,-4.09182
2022-06-09,10.02,-0.28,-2.71845
2022-06-08,10.3,-0.18,-1.71756
2022-06-07,10.48,-0.18,-1.68856
2022-06-06,10.66,0.09,0.85147
2022-06-05,10.57,-0.17,-1.58287
2022-06-01,10.74,0.21,1.9943
2022-05-31,10.53,-0.05,-0.47259
2022-05-30,10.58,-0.13,-1.21382
2022-05-26,10.71,0.27,2.58621
2022-05-25,10.44,0.06,0.57803
2022-05-24,10.38,0.05,0.48403
2022-05-23,10.33,0.04,0.38873
2022-05-22,10.29,0.13,1.27953
2022-05-19,10.16,0.09,0.89374
2022-05-18,10.07,0.0,0.0
2022-05-17,10.07,-0.32,-3.07988
2022-05-16,10.39,0.14,1.36585
2022-05-15,10.25,-0.11,-1.06178
2022-05-12,10.36,0.33,3.29013
2022-05-11,10.03,-0.01,-0.0996
2022-05-10,10.04,-0.05,-0.49554
2022-05-09,10.09,-0.04,-0.39487
2022-05-08,10.13,-0.47,-4.43396
2022-05-05,10.6,-0.14,-1.30354
2022-05-04,10.74,-0.34,-3.06859
2022-05-03,11.08,0.15,1.37237
2022-05-02,10.93,-0.08,-0.72661
2022-04-28,11.01,-0.5,-4.34405
2022-04-27,11.51,0.26,2.31111
2022-04-26,11.25,-0.02,-0.17746
2022-04-25,11.27,-0.26,-2.25499
2022-04-24,11.53,0.02,0.17376
2022-04-21,11.51,-0.2,-1.70794
2022-04-20,11.71,-0.16,-1.34794
2022-04-19,11.87,0.09,0.76401
2022-04-18,11.78,0.22,1.90311
2022-04-17,11.56,0.0,0.0
2022-04-13,11.56,-0.14,-1.19658
2022-04-12,11.7,0.09,0.77519
2022-04-11,11.61,-0.05,-0.42882
2022-04-10,11.66,-0.17,-1.43702
2022-04-07,11.83,-0.02,-0.16878
2022-04-06,11.85,-0.04,-0.33642
2022-04-05,11.89,0.03,0.25295
2022-03-31,11.86,0.13,1.10827
2022-03-30,11.73,-0.14,-1.17944
2022-03-29,11.87,-0.06,-0.50293
2022-03-28,11.93,0.25,2.14041
2022-03-27,11.68,0.15,1.30095
2022-03-24,11.53,0.04,0.34813
2022-03-23,11.49,0.15,1.32275
2022-03-22,11.34,-0.17,-1.47698
2022-03-21,11.51,0.06,0.52402
2022-03-20,11.45,-0.05,-0.43478
2022-03-17,11.5,0.09,0.78878
2022-03-16,11.41,0.14,1.24224
2022-03-15,11.27,0.22,1.99095
2022-03-14,11.05,0.16,1.46924
2022-03-13,10.89,-0.08,-0.72926
2022-03-10,10.97,-0.12,-1.08206
2022-03-09,11.09,-0.04,-0.35939
2022-03-08,11.13,0.27,2.48619
2022-03-07,10.86,-0.07,-0.64044
2022-03-06,10.93,-0.25,-2.23614
2022-03-03,11.18,-0.04,-0.35651
2022-03-02,11.22,0.0,0.0
2022-03-01,11.22,0.19,1.72257
2022-02-28,11.03,-0.18,-1.60571
2022-02-24,11.21,0.21,1.90909
2022-02-23,11.0,0.21,1.94625
2022-02-22,10.79,-0.17,-1.55109
2022-02-21,10.96,-0.04,-0.36364
