tradeDate,nav,change,changePercent
2022-08-31,11.28,0.0,0.0
2022-08-30,11.28,-0.07,-0.61674
2022-08-29,11.35,-0.08,-0.69991
2022-08-28,11.43,-0.05,-0.43554
2022-08-25,11.48,-0.26,-2.21465
2022-08-24,11.74,0.12,1.0327
2022-08-23,11.62,0.02,0.17241
2022-08-22,11.6,-0.02,-0.17212
2022-08-21,11.62,-0.18,-1.52542
2022-08-18,11.8,-0.12,-1.00671
2022-08-17,11.92,0.02,0.16807
2022-08-16,11.9,-0.08,-0.66778
2022-08-15,11.98,0.01,0.08354
2022-08-14,11.97,0.02,0.16736
2022-08-11,11.95,0.12,1.01437
2022-08-10,11.83,-0.03,-0.25295
2022-08-09,11.86,0.19,1.62811
2022-08-08,11.67,-0.05,-0.42662
2022-08-07,11.72,0.02,0.17094
2022-08-04,11.7,-0.04,-0.34072
2022-08-03,11.74,0.02,0.17065
2022-08-02,11.72,0.1,0.86059
2022-08-01,11.62,-0.07,-0.5988
2022-07-31,11.69,0.0,0.0
2022-07-28,11.69,0.07,0.60241
2022-07-27,11.62,0.07,0.60606
2022-07-26,11.55,0.13,1.13835
2022-07-25,11.42,-0.05,-0.43592
2022-07-24,11.47,0.0,0.0
2022-07-21,11.47,-0.03,-0.26087
2022-07-20,11.5,0.07,0.61242
2022-07-19,11.43,-0.02,-0.17467
2022-07-18,11.45,0.12,1.05914
2022-07-17,11.33,-0.04,-0.3518
2022-07-14,11.37,0.07,0.61947
2022-07-13,11.3,-0.05,-0.44053
2022-07-12,11.35,-0.02,-0.1759
2022-07-11,11.37,-0.04,-0.35057
2022-07-10,11.41,-0.03,-0.26224
2022-07-07,11.44,-0.03,-0.26155
2022-07-06,11.47,0.06,0.52585
2022-07-05,11.41,0.01,0.08772
2022-07-04,11.4,-0.08,-0.69686
2022-06-30,11.48,0.08,0.70175
2022-06-29,11.4,-0.02,-0.17513
2022-06-28,11.42,0.0,0.0
2022-06-27,11.42,-0.05,-0.43592
2022-06-26,11.47,0.0,0.0
2022-06-23,11.47,0.16,1.41468
2022-06-22,11.31,0.04,0.35492
2022-06-21,11.27,-0.01,-0.08865
2022-06-20,11.28,0.12,1.07527
2022-06-16,11.16,-0.01,-0.08953
2022-06-15,11.17,-0.16,-1.41218
2022-06-14,11.33,0.06,0.53239
2022-06-13,11.27,-0.07,-0.61728
2022-06-12,11.34,-0.21,-1.81818
2022-06-09,11.55,-0.12,-1.02828
2022-06-08,11.67,-0.15,-1.26904
2022-06-07,11.82,-0.09,-0.75567
2022-06-06,11.91,0.05,0.42159
2022-06-05,11.86,-0.05,-0.41982
2022-06-01,11.91,0.07,0.59122
2022-05-31,11.84,-0.05,-0.42052
2022-05-30,11.89,-0.05,-0.41876
2022-05-26,11.94,0.1,0.84459
2022-05-25,11.84,0.07,0.59473
2022-05-24,11.77,0.04,0.34101
2022-05-23,11.73,0.03,0.25641
2022-05-22,11.7,0.08,0.68847
2022-05-19,11.62,0.03,0.25884
2022-05-18,11.59,-0.03,-0.25818
2022-05-17,11.62,-0.18,-1.52542
2022-05-16,11.8,0.09,0.76857
2022-05-15,11.71,0.02,0.17109
2022-05-12,11.69,0.12,1.03717
2022-05-11,11.57,0.0,0.0
2022-05-10,11.57,-0.05,-0.43029
2022-05-09,11.62,-0.03,-0.25751
2022-05-08,11.65,-0.16,-1.35478
2022-05-05,11.81,-0.05,-0.42159
2022-05-04,11.86,-0.22,-1.82119
2022-05-03,12.08,0.18,1.51261
2022-05-02,11.9,0.05,0.42194
2022-04-28,11.85,-0.22,-1.8227
2022-04-27,12.07,0.12,1.00418
2022-04-26,11.95,0.04,0.33585
2022-04-25,11.91,-0.16,-1.3256
2022-04-24,12.07,-0.02,-0.16543
2022-04-21,12.09,-0.19,-1.54723
2022-04-20,12.28,-0.1,-0.80775
2022-04-19,12.38,0.06,0.48701
2022-04-18,12.32,0.08,0.65359
2022-04-17,12.24,-0.03,-0.2445
