tradeDate,nav,change,changePercent
2022-08-30,9.9932,-0.0678,-0.67389
2022-08-29,10.061,-0.0508,-0.50238
2022-08-28,10.1118,-0.0066,-0.06523
2022-08-25,10.1184,-0.1864,-1.80887
2022-08-24,10.3048,0.0789,0.77157
2022-08-23,10.2259,0.0364,0.35723
2022-08-22,10.1895,0.0196,0.19273
2022-08-21,10.1699,-0.1249,-1.21323
2022-08-18,10.2948,-0.0955,-0.91913
2022-08-17,10.3903,0.008,0.07705
2022-08-16,10.3823,-0.0849,-0.81111
2022-08-15,10.4672,-0.0069,-0.06588
2022-08-14,10.4741,0.039,0.37374
2022-08-11,10.4351,0.1196,1.15942
2022-08-10,10.3155,-0.0467,-0.45068
2022-08-09,10.3622,0.152,1.48871
2022-08-08,10.2102,-0.0443,-0.43201
2022-08-07,10.2545,0.0215,0.2101
2022-08-04,10.233,-0.1236,-1.19344
2022-08-03,10.3566,0.009,0.08698
2022-08-02,10.3476,0.1122,1.0962
2022-08-01,10.2354,-0.0249,-0.24268
2022-07-31,10.2603,0.0148,0.14445
2022-07-28,10.2455,0.0695,0.68298
2022-07-27,10.176,0.0753,0.74549
2022-07-26,10.1007,0.1416,1.42182
2022-07-25,9.9591,-0.068,-0.67816
2022-07-24,10.0271,-0.0047,-0.04685
2022-07-21,10.0318,-0.0392,-0.38924
2022-07-20,10.071,0.0528,0.52704
2022-07-19,10.0182,0.0336,0.33652
2022-07-18,9.9846,0.1116,1.13036
2022-07-17,9.873,-0.0555,-0.559
2022-07-14,9.9285,0.0992,1.00923
2022-07-13,9.8293,-0.0121,-0.12295
2022-07-12,9.8414,-0.0313,-0.31704
2022-07-11,9.8727,-0.0044,-0.04455
2022-07-10,9.8771,-0.0429,-0.43246
2022-07-07,9.92,-0.0913,-0.91197
2022-07-06,10.0113,0.0693,0.69704
2022-07-05,9.942,0.0022,0.02213
2022-07-04,9.9398,0.0193,0.19455
2022-06-30,9.9205,0.0652,0.66157
2022-06-29,9.8553,-0.0231,-0.23384
2022-06-28,9.8784,0.0118,0.1196
2022-06-27,9.8666,-0.0911,-0.91487
2022-06-26,9.9577,-0.0468,-0.46779
2022-06-23,10.0045,0.1,1.00964
2022-06-22,9.9045,0.0478,0.48495
2022-06-21,9.8567,,
2022-06-20,9.8404,0.0863,0.88476
2022-06-16,9.7541,0.0214,0.21988
