tradeDate,nav,change,changePercent
2022-08-30,8.3567,-0.0011,-0.01316
2022-08-29,8.3578,0.0373,0.44829
2022-08-28,8.3205,-0.0495,-0.5914
2022-08-25,8.37,0.009,0.10764
2022-08-24,8.361,0.0724,0.87349
2022-08-23,8.2886,0.0026,0.03138
2022-08-22,8.286,0.0313,0.37918
2022-08-21,8.2547,-0.0353,-0.42581
2022-08-18,8.29,-0.0547,-0.65551
2022-08-17,8.3447,-0.0186,-0.2224
2022-08-16,8.3633,-0.0069,-0.08244
2022-08-15,8.3702,0.0412,0.49466
2022-08-14,8.329,-0.0008,-0.0096
2022-08-11,8.3298,0.0218,0.2624
2022-08-10,8.308,0.0792,0.96247
2022-08-09,8.2288,0.0011,0.01337
2022-08-07,8.2277,-0.0005,-0.00608
2022-08-04,8.2282,-0.002,-0.0243
2022-08-03,8.2302,-0.0189,-0.22912
2022-08-02,8.2491,-0.0201,-0.24307
2022-08-01,8.2692,-0.0119,-0.1437
2022-07-31,8.2811,0.0036,0.04349
2022-07-28,8.2775,0.0413,0.50144
2022-07-27,8.2362,0.0122,0.14835
2022-07-26,8.224,0.0062,0.07545
2022-07-25,8.2178,0.0226,0.27577
2022-07-24,8.1952,0.0576,0.70783
2022-07-21,8.1376,0.052,0.64312
2022-07-20,8.0856,-0.0354,-0.43591
2022-07-19,8.121,-0.0333,-0.40837
2022-07-18,8.1543,-0.0153,-0.18728
2022-07-17,8.1696,0.0,0.0
2022-07-14,8.1696,-0.0121,-0.14789
2022-07-13,8.1817,-0.0515,-0.62552
2022-07-12,8.2332,0.0018,0.02187
2022-07-11,8.2314,-0.1621,-1.93126
2022-07-07,8.3935,0.0135,0.1611
2022-07-06,8.38,-0.0069,-0.08227
2022-07-05,8.3869,-0.0475,-0.56317
2022-07-04,8.4344,-0.1207,-1.41085
2022-07-03,8.5551,0.0461,0.54178
2022-06-30,8.509,-0.0241,-0.28243
2022-06-29,8.5331,-0.0198,-0.2315
2022-06-28,8.5529,-0.0453,-0.52685
2022-06-27,8.5982,-0.0044,-0.05115
2022-06-26,8.6026,-0.0009,-0.01046
2022-06-23,8.6035,0.0114,0.13268
2022-06-22,8.5921,-0.047,-0.54404
2022-06-21,8.6391,,
2022-06-20,8.726,-0.0152,-0.17389
2022-06-19,8.7412,0.0219,0.25117
2022-06-16,8.7193,0.0032,0.03671
2022-06-15,8.7161,-0.0048,-0.05504
2022-06-14,8.7209,0.0396,0.45615
2022-06-13,8.6813,-0.0535,-0.61249
2022-06-12,8.7348,-0.1212,-1.36856
2022-06-09,8.856,-0.0965,-1.07791
2022-06-08,8.9525,0.0135,0.15102
2022-06-07,8.939,-0.0079,-0.0883
2022-06-06,8.9469,-0.0461,-0.51262
2022-06-05,8.993,0.0634,0.71
2022-06-01,8.9296,0.0079,0.08855
2022-05-31,8.9217,-0.022,-0.24598
2022-05-30,8.9437,0.0161,0.18034
2022-05-29,8.9276,0.0341,0.38343
2022-05-26,8.8935,0.0421,0.47563
2022-05-25,8.8514,-0.0263,-0.29625
2022-05-24,8.8777,-0.0031,-0.03491
2022-05-23,8.8808,-0.0431,-0.48297
2022-05-22,8.9239,0.0759,0.85782
2022-05-19,8.848,0.0698,0.79515
2022-05-18,8.7782,0.0026,0.02963
2022-05-17,8.7756,-0.0352,-0.39951
2022-05-16,8.8108,0.0862,0.98801
2022-05-12,8.7246,0.0189,0.2171
2022-05-11,8.7057,-0.1479,-1.67051
2022-05-10,8.8536,-0.002,-0.02258
2022-05-09,8.8556,-0.0185,-0.20847
2022-05-08,8.8741,-0.1049,-1.16828
2022-05-05,8.979,-0.1155,-1.27
2022-05-04,9.0945,0.0642,0.71094
2022-05-03,9.0303,-0.0439,-0.48379
2022-04-28,9.0742,0.031,0.3428
2022-04-27,9.0432,-0.0875,-0.95831
2022-04-26,9.1307,-0.0267,-0.29157
2022-04-25,9.1574,0.0584,0.64183
2022-04-24,9.099,-0.1804,-1.94409
2022-04-21,9.2794,-0.1209,-1.28613
2022-04-20,9.4003,-0.0664,-0.70141
2022-04-19,9.4667,-0.097,-1.01425
2022-04-18,9.5637,-0.0316,-0.32933
2022-04-17,9.5953,-0.0086,-0.08955
2022-04-13,9.6039,0.0387,0.40459
2022-04-12,9.5652,0.0166,0.17385
2022-04-11,9.5486,-0.0322,-0.33609
2022-04-10,9.5808,-0.0646,-0.66975
2022-04-07,9.6454,0.0141,0.1464
2022-04-06,9.6313,0.0036,0.03739
2022-04-05,9.6277,0.0753,0.78828
2022-03-31,9.5524,-0.0213,-0.22248
2022-03-30,9.5737,0.0214,0.22403
2022-03-29,9.5523,0.0565,0.595
2022-03-28,9.4958,-0.0212,-0.22276
2022-03-27,9.517,-0.0089,-0.09343
2022-03-24,9.5259,0.0159,0.16719
2022-03-23,9.51,0.0177,0.18647
2022-03-22,9.4923,0.01,0.10546
2022-03-21,9.4823,0.0098,0.10346
2022-03-20,9.4725,0.033,0.34959
2022-03-17,9.4395,0.0586,0.62467
2022-03-16,9.3809,0.1045,1.12651
2022-03-15,9.2764,0.074,0.80414
2022-03-14,9.2024,-0.111,-1.19183
2022-03-13,9.3134,-0.1104,-1.1715
2022-03-10,9.4238,-0.1074,-1.12683
2022-03-09,9.5312,-0.0413,-0.43144
2022-03-08,9.5725,-0.0384,-0.39955
2022-03-07,9.6109,-0.1043,-1.07358
2022-03-06,9.7152,-0.0608,-0.62193
2022-03-03,9.776,-0.0287,-0.29272
2022-03-02,9.8047,-0.0041,-0.0418
2022-03-01,9.8088,0.0059,0.06019
2022-02-28,9.8029,-0.0465,-0.47211
2022-02-24,9.8494,0.0247,0.25141
2022-02-23,9.8247,-0.0551,-0.5577
2022-02-22,9.8798,0.0109,0.11045
2022-02-21,9.8689,-0.0018,-0.01824
2022-02-20,9.8707,-0.0032,-0.03241
2022-02-17,9.8739,0.0285,0.28948
2022-02-16,9.8454,0.0189,0.19234
2022-02-15,9.8265,0.0361,0.36873
2022-02-14,9.7904,0.0189,0.19342
2022-02-13,9.7715,-0.039,-0.39753
2022-02-10,9.8105,-0.0497,-0.50405
2022-02-09,9.8602,0.0071,0.07206
2022-02-08,9.8531,0.0359,0.36568
2022-02-07,9.8172,-0.0096,-0.09769
2022-02-06,9.8268,0.0096,0.09779
2022-01-27,9.8172,-0.0065,-0.06617
2022-01-26,9.8237,-0.0967,-0.97476
2022-01-25,9.9204,0.0435,0.44042
2022-01-24,9.8769,-0.0273,-0.27564
2022-01-23,9.9042,0.0081,0.08185
2022-01-20,9.8961,0.0325,0.32949
2022-01-19,9.8636,0.0129,0.13096
2022-01-18,9.8507,0.0003,0.00305
2022-01-17,9.8504,-0.0509,-0.51407
2022-01-16,9.9013,-0.0228,-0.22974
2022-01-13,9.9241,-0.0543,-0.54418
2022-01-12,9.9784,-0.0041,-0.04107
