tradeDate,nav,change,changePercent
2022-08-30,10.7154,0.0119,0.11118
2022-08-29,10.7035,0.0039,0.03645
2022-08-28,10.6996,-0.037,-0.34462
2022-08-25,10.7366,0.0085,0.07923
2022-08-24,10.7281,0.0144,0.13441
2022-08-23,10.7137,-0.0021,-0.0196
2022-08-22,10.7158,0.0058,0.05415
2022-08-21,10.71,-0.0476,-0.44248
2022-08-18,10.7576,-0.0208,-0.19298
2022-08-17,10.7784,-0.0077,-0.07139
2022-08-16,10.7861,-0.0113,-0.10465
2022-08-15,10.7974,-0.008,-0.07404
2022-08-14,10.8054,-0.0065,-0.06012
2022-08-11,10.8119,0.0014,0.01295
2022-08-10,10.8105,0.0252,0.23365
2022-08-09,10.7853,0.0118,0.10953
2022-08-08,10.7735,0.0033,0.03064
2022-08-07,10.7702,0.0121,0.11247
2022-08-04,10.7581,-0.0055,-0.0511
2022-08-03,10.7636,0.0196,0.18243
2022-08-02,10.744,0.0128,0.11928
2022-08-01,10.7312,-0.0126,-0.11728
2022-07-31,10.7438,0.0085,0.07918
2022-07-28,10.7353,0.029,0.27087
2022-07-27,10.7063,0.031,0.29039
2022-07-26,10.6753,0.0047,0.04405
2022-07-25,10.6706,-0.0026,-0.02436
2022-07-24,10.6732,0.028,0.26303
2022-07-21,10.6452,0.012,0.11285
2022-07-20,10.6332,0.006,0.05646
2022-07-19,10.6272,0.0081,0.07628
2022-07-18,10.6191,-0.0201,-0.18892
2022-07-17,10.6392,0.0126,0.11857
2022-07-14,10.6266,-0.013,-0.12219
2022-07-13,10.6396,-0.0251,-0.23536
2022-07-12,10.6647,-0.0135,-0.12643
2022-07-11,10.6782,-0.0314,-0.29319
2022-07-10,10.7096,-0.0084,-0.07837
2022-07-07,10.718,-0.0108,-0.10066
2022-07-06,10.7288,0.0054,0.05036
2022-07-05,10.7234,-0.0245,-0.22795
2022-07-04,10.7479,-0.0079,-0.07345
2022-07-03,10.7558,0.0068,0.06326
2022-06-30,10.749,0.0053,0.04933
2022-06-29,10.7437,-0.0076,-0.07069
2022-06-28,10.7513,-0.0186,-0.1727
2022-06-27,10.7699,-0.0134,-0.12427
2022-06-26,10.7833,0.0077,0.07146
2022-06-23,10.7756,0.0099,0.09196
2022-06-22,10.7657,0.006,0.05576
2022-06-21,10.7597,,
2022-06-20,10.7666,-0.0031,-0.02878
2022-06-19,10.7697,0.0098,0.09108
2022-06-16,10.7599,0.0026,0.02417
2022-06-15,10.7573,-0.0009,-0.00837
2022-06-14,10.7582,0.0236,0.21985
2022-06-13,10.7346,-0.0179,-0.16647
2022-06-12,10.7525,-0.0832,-0.76783
2022-06-09,10.8357,-0.0389,-0.35771
2022-06-08,10.8746,-0.0192,-0.17625
2022-06-07,10.8938,-0.0099,-0.09079
2022-06-06,10.9037,-0.0114,-0.10444
2022-06-05,10.9151,0.0074,0.06784
2022-06-01,10.9077,0.004,0.03668
2022-05-31,10.9037,-0.0027,-0.02476
2022-05-30,10.9064,0.0021,0.01926
2022-05-29,10.9043,0.0352,0.32385
2022-05-26,10.8691,0.019,0.17511
2022-05-25,10.8501,-0.014,-0.12886
2022-05-24,10.8641,0.0172,0.15857
2022-05-23,10.8469,0.0108,0.09967
2022-05-22,10.8361,0.0093,0.0859
2022-05-19,10.8268,0.0402,0.37268
2022-05-18,10.7866,-0.0135,-0.125
