tradeDate,nav,change,changePercent
2022-08-30,9.0623,-0.0023,-0.02537
2022-08-29,9.0646,0.0006,0.00662
2022-08-28,9.064,-0.001,-0.01103
2022-08-25,9.065,0.01,0.11044
2022-08-24,9.055,-0.0045,-0.04967
2022-08-23,9.0595,0.0081,0.08949
2022-08-22,9.0514,-0.008,-0.08831
2022-08-21,9.0594,0.0001,0.0011
2022-08-18,9.0593,0.0067,0.07401
2022-08-17,9.0526,-0.003,-0.03313
2022-08-16,9.0556,0.0033,0.03645
2022-08-15,9.0523,-0.0079,-0.08719
2022-08-14,9.0602,0.0215,0.23787
2022-08-11,9.0387,0.0046,0.05092
2022-08-10,9.0341,0.0106,0.11747
2022-08-09,9.0235,-0.0113,-0.12507
2022-08-08,9.0348,-0.0042,-0.04647
2022-08-07,9.039,0.0001,0.00111
2022-08-04,9.0389,0.0066,0.07307
2022-08-03,9.0323,-0.0055,-0.06086
2022-08-02,9.0378,0.0037,0.04096
2022-08-01,9.0341,-0.002,-0.02213
2022-07-31,9.0361,-0.0025,-0.02766
2022-07-28,9.0386,0.0082,0.0908
2022-07-27,9.0304,0.0079,0.08756
2022-07-26,9.0225,0.0051,0.05656
2022-07-25,9.0174,0.0032,0.0355
2022-07-24,9.0142,-0.0156,-0.17276
2022-07-21,9.0298,0.0187,0.20752
2022-07-20,9.0111,0.0308,0.34297
2022-07-19,8.9803,0.0131,0.14609
2022-07-18,8.9672,-0.0109,-0.12141
2022-07-17,8.9781,-0.0135,-0.15014
2022-07-14,8.9916,-0.003,-0.03335
2022-07-13,8.9946,0.0217,0.24184
2022-07-12,8.9729,-0.0259,-0.28782
2022-07-11,8.9988,-0.007,-0.07773
2022-07-10,9.0058,-0.0024,-0.02664
2022-07-07,9.0082,0.0038,0.0422
2022-07-06,9.0044,-0.0053,-0.05883
2022-07-05,9.0097,0.0024,0.02665
2022-07-04,9.0073,0.0053,0.05888
2022-06-29,9.002,0.0109,0.12123
2022-06-28,8.9911,-0.007,-0.07779
2022-06-27,8.9981,-0.0282,-0.31242
2022-06-26,9.0263,-0.0179,-0.19792
2022-06-23,9.0442,0.0068,0.07524
2022-06-22,9.0374,-0.0281,-0.30997
2022-06-21,9.0655,,
2022-06-20,9.0737,-0.0107,-0.11778
2022-06-16,9.0844,0.0091,0.10027
2022-06-15,9.0753,0.0028,0.03086
2022-06-14,9.0725,-0.0098,-0.1079
2022-06-13,9.0823,-0.0021,-0.02312
2022-06-12,9.0844,0.0013,0.01431
2022-06-09,9.0831,0.0105,0.11573
2022-06-08,9.0726,-0.0013,-0.01433
2022-06-07,9.0739,0.0032,0.03528
2022-06-06,9.0707,0.003,0.03308
2022-06-05,9.0677,0.0098,0.10819
2022-06-01,9.0579,0.0188,0.20799
