tradeDate,nav,change,changePercent
2022-08-30,9.4754,-0.001,-0.01055
2022-08-29,9.4764,-0.001,-0.01055
2022-08-28,9.4774,-0.0222,-0.23369
2022-08-25,9.4996,0.0048,0.05055
2022-08-24,9.4948,0.0111,0.11704
2022-08-23,9.4837,0.0016,0.01687
2022-08-22,9.4821,0.0199,0.21031
2022-08-21,9.4622,-0.0402,-0.42305
2022-08-18,9.5024,-0.031,-0.32517
2022-08-17,9.5334,-0.0148,-0.155
2022-08-16,9.5482,-0.0328,-0.34234
2022-08-15,9.581,0.005,0.05221
2022-08-14,9.576,-0.004,-0.04175
2022-08-11,9.58,0.0076,0.07939
2022-08-10,9.5724,0.0363,0.38066
2022-08-09,9.5361,0.0223,0.2344
2022-08-08,9.5138,0.0009,0.00946
2022-08-07,9.5129,0.0196,0.20646
2022-08-04,9.4933,0.0102,0.10756
2022-08-03,9.4831,0.0247,0.26114
2022-08-02,9.4584,0.022,0.23314
2022-08-01,9.4364,0.0006,0.00636
2022-07-31,9.4358,0.0271,0.28803
2022-07-28,9.4087,0.0364,0.38838
2022-07-27,9.3723,0.0349,0.37377
2022-07-26,9.3374,0.0116,0.12439
2022-07-25,9.3258,-0.0065,-0.06965
2022-07-24,9.3323,0.0207,0.2223
2022-07-21,9.3116,0.0313,0.33727
2022-07-20,9.2803,0.0159,0.17162
2022-07-19,9.2644,0.0077,0.08318
2022-07-18,9.2567,0.0044,0.04756
2022-07-17,9.2523,0.0035,0.03784
2022-07-14,9.2488,-0.0086,-0.0929
2022-07-13,9.2574,-0.0287,-0.30906
2022-07-12,9.2861,-0.0098,-0.10542
2022-07-11,9.2959,-0.0231,-0.24788
2022-07-10,9.319,-0.0169,-0.18102
2022-07-07,9.3359,-0.0027,-0.02891
2022-07-06,9.3386,0.0028,0.02999
2022-07-05,9.3358,-0.0177,-0.18923
2022-07-04,9.3535,-0.0096,-0.10253
2022-06-30,9.3631,0.0109,0.11655
2022-06-29,9.3522,-0.0144,-0.15374
2022-06-28,9.3666,-0.0287,-0.30547
2022-06-27,9.3953,-0.0072,-0.07658
2022-06-26,9.4025,0.0091,0.09688
2022-06-23,9.3934,-0.0071,-0.07553
2022-06-22,9.4005,-0.0017,-0.01808
2022-06-21,9.4022,,
2022-06-20,9.4222,0.0124,0.13178
2022-06-16,9.4098,-0.0203,-0.21527
2022-06-15,9.4301,-0.0177,-0.18735
2022-06-14,9.4478,0.0438,0.46576
2022-06-13,9.404,-0.0112,-0.11896
2022-06-12,9.4152,-0.1058,-1.11123
2022-06-09,9.521,-0.0418,-0.43711
2022-06-08,9.5628,-0.0206,-0.21496
2022-06-07,9.5834,-0.0164,-0.17084
2022-06-06,9.5998,-0.0073,-0.07599
2022-06-05,9.6071,0.0014,0.01457
2022-06-01,9.6057,0.01,0.10421
2022-05-31,9.5957,-0.0059,-0.06145
2022-05-30,9.6016,-0.0051,-0.05309
2022-05-26,9.6067,0.0125,0.13029
2022-05-25,9.5942,0.0098,0.10225
2022-05-24,9.5844,0.0045,0.04697
2022-05-23,9.5799,0.0062,0.06476
2022-05-22,9.5737,0.0334,0.35009
2022-05-19,9.5403,0.0264,0.27749
2022-05-18,9.5139,0.0033,0.0347
2022-05-17,9.5106,0.0003,0.00315
2022-05-16,9.5103,-0.0083,-0.0872
2022-05-15,9.5186,-0.0001,-0.00105
2022-05-12,9.5187,-0.0055,-0.05775
2022-05-11,9.5242,-0.043,-0.44945
2022-05-10,9.5672,-0.0112,-0.11693
2022-05-09,9.5784,-0.0308,-0.32053
2022-05-08,9.6092,-0.0211,-0.2191
2022-05-05,9.6303,-0.0376,-0.38892
2022-05-04,9.6679,-0.0121,-0.125
2022-05-03,9.68,0.0156,0.16142
2022-05-02,9.6644,-0.0128,-0.13227
2022-04-28,9.6772,0.0012,0.0124
2022-04-27,9.676,-0.0149,-0.15375
2022-04-26,9.6909,-0.0144,-0.14837
2022-04-25,9.7053,0.0166,0.17133
2022-04-24,9.6887,-0.0339,-0.34867
2022-04-21,9.7226,-0.0214,-0.21962
2022-04-20,9.744,-0.03,-0.30694
2022-04-19,9.774,-0.0156,-0.15935
2022-04-18,9.7896,-0.0279,-0.28419
2022-04-17,9.8175,0.0025,0.02547
2022-04-13,9.815,0.0143,0.14591
2022-04-12,9.8007,0.0089,0.09089
2022-04-11,9.7918,-0.0158,-0.1611
2022-04-10,9.8076,-0.0395,-0.40113
2022-04-07,9.8471,-0.0049,-0.04974
2022-04-06,9.852,-0.012,-0.12165
2022-04-05,9.864,0.0289,0.29385
2022-03-31,9.8351,-0.0236,-0.23938
2022-03-30,9.8587,0.0027,0.02739
2022-03-29,9.856,0.0492,0.50169
2022-03-28,9.8068,0.0385,0.39413
2022-03-27,9.7683,0.0353,0.36268
2022-03-24,9.733,0.0113,0.11623
2022-03-23,9.7217,-0.0131,-0.13457
2022-03-22,9.7348,0.0114,0.11724
2022-03-21,9.7234,-0.0094,-0.09658
2022-03-20,9.7328,0.0214,0.22036
2022-03-17,9.7114,-0.0041,-0.0422
2022-03-16,9.7155,0.1034,1.07573
2022-03-15,9.6121,0.053,0.55445
2022-03-14,9.5591,-0.0523,-0.54415
2022-03-13,9.6114,-0.0449,-0.46498
2022-03-10,9.6563,-0.0392,-0.40431
2022-03-09,9.6955,-0.0016,-0.0165
2022-03-08,9.6971,-0.038,-0.39034
2022-03-07,9.7351,-0.0519,-0.5303
2022-03-06,9.787,-0.0523,-0.53154
2022-03-03,9.8393,-0.0004,-0.00407
2022-03-02,9.8397,-0.0128,-0.12992
2022-03-01,9.8525,-0.0518,-0.52301
2022-02-28,9.9043,-0.0468,-0.4703
2022-02-24,9.9511,0.0084,0.08448
2022-02-23,9.9427,-0.0701,-0.7001
2022-02-22,10.0128,-0.0029,-0.02895
2022-02-21,10.0157,-0.0114,-0.11369
2022-02-17,10.0271,0.0275,0.27501
2022-02-16,9.9996,-0.0378,-0.37659
2022-02-15,10.0374,-0.0271,-0.26926
2022-02-14,10.0645,-0.0223,-0.22108
2022-02-13,10.0868,-0.0423,-0.41761
2022-02-10,10.1291,0.0133,0.13148
2022-02-09,10.1158,0.017,0.16834
2022-02-08,10.0988,0.0195,0.19347
