tradeDate,nav,change,changePercent
2022-08-30,9.0935,-0.0096,-0.10546
2022-08-29,9.1031,0.0166,0.18269
2022-08-28,9.0865,0.0349,0.38557
2022-08-25,9.0516,0.0211,0.23365
2022-08-24,9.0305,-0.012,-0.13271
2022-08-23,9.0425,0.0245,0.27168
2022-08-22,9.018,0.0357,0.39745
2022-08-21,8.9823,0.0147,0.16392
2022-08-18,8.9676,0.0065,0.07254
2022-08-17,8.9611,0.0096,0.10724
2022-08-16,8.9515,-0.0223,-0.2485
2022-08-15,8.9738,0.0342,0.38257
2022-08-14,8.9396,0.0212,0.23771
2022-08-11,8.9184,0.0128,0.14373
2022-08-10,8.9056,0.0037,0.04156
2022-08-09,8.9019,0.0114,0.12823
2022-08-08,8.8905,0.0007,0.00787
2022-08-07,8.8898,0.0164,0.18482
2022-08-04,8.8734,-0.0223,-0.25068
2022-08-03,8.8957,-0.0034,-0.03821
2022-08-02,8.8991,-0.0102,-0.11449
2022-08-01,8.9093,0.0036,0.04042
2022-07-31,8.9057,0.02,0.22508
2022-07-28,8.8857,0.0186,0.20976
2022-07-27,8.8671,0.0206,0.23286
2022-07-26,8.8465,0.007,0.07919
2022-07-25,8.8395,0.0075,0.08492
2022-07-24,8.832,0.0108,0.12243
2022-07-21,8.8212,0.0263,0.29904
2022-07-20,8.7949,0.0111,0.12637
2022-07-19,8.7838,-0.0104,-0.11826
2022-07-18,8.7942,-0.01,-0.11358
2022-07-17,8.8042,-0.003,-0.03406
2022-07-14,8.8072,0.0012,0.01363
2022-07-13,8.806,-0.0056,-0.06355
2022-07-12,8.8116,-0.028,-0.31676
2022-07-11,8.8396,-0.0046,-0.05201
2022-07-10,8.8442,-0.0006,-0.00678
2022-07-07,8.8448,-0.0095,-0.10729
2022-07-06,8.8543,-0.0177,-0.1995
2022-07-05,8.872,-0.0011,-0.0124
2022-07-04,8.8731,-0.0048,-0.05407
2022-06-30,8.8779,0.0207,0.23371
2022-06-29,8.8572,0.0063,0.07118
2022-06-28,8.8509,0.0012,0.01356
2022-06-27,8.8497,0.0022,0.02487
2022-06-26,8.8475,-0.0317,-0.35701
2022-06-23,8.8792,-0.0207,-0.23259
2022-06-22,8.8999,0.0048,0.05396
2022-06-21,8.8951,,
2022-06-20,8.8867,0.0029,0.03264
2022-06-19,8.8838,0.0092,0.10367
2022-06-16,8.8746,-0.0039,-0.04393
2022-06-15,8.8785,-0.0113,-0.12711
2022-06-14,8.8898,0.0097,0.10923
2022-06-13,8.8801,-0.0223,-0.25049
2022-06-12,8.9024,0.0007,0.00786
2022-06-09,8.9017,-0.0017,-0.01909
2022-06-08,8.9034,0.0009,0.01011
2022-06-07,8.9025,0.0074,0.08319
2022-06-06,8.8951,0.0257,0.28976
2022-06-05,8.8694,0.0096,0.10835
2022-06-01,8.8598,0.0306,0.34658
2022-05-31,8.8292,0.0527,0.60047
2022-05-30,8.7765,-0.0214,-0.24324
2022-05-29,8.7979,-0.0485,-0.54825
2022-05-26,8.8464,-0.0372,-0.41875
2022-05-25,8.8836,0.0034,0.03829
2022-05-24,8.8802,-0.002,-0.02252
2022-05-23,8.8822,0.0122,0.13754
2022-05-22,8.87,-0.0014,-0.01578
2022-05-19,8.8714,-0.0188,-0.21147
2022-05-18,8.8902,0.0216,0.24356
2022-05-17,8.8686,-0.0141,-0.15874
2022-05-16,8.8827,-0.0269,-0.30192
2022-05-15,8.9096,-0.0013,-0.01459
2022-05-12,8.9109,-0.0018,-0.0202
2022-05-11,8.9127,0.0149,0.16746
2022-05-10,8.8978,-0.0085,-0.09544
2022-05-09,8.9063,-0.0043,-0.04826
2022-05-08,8.9106,0.005,0.05614
2022-05-05,8.9056,0.0266,0.29958
2022-05-04,8.879,-0.0064,-0.07203
2022-05-03,8.8854,-0.0016,-0.018
2022-05-02,8.887,0.0082,0.09235
2022-04-28,8.8788,-0.0198,-0.22251
2022-04-27,8.8986,0.0325,0.36656
2022-04-26,8.8661,0.0211,0.23855
2022-04-25,8.845,-0.0149,-0.16817
2022-04-24,8.8599,0.0183,0.20698
2022-04-21,8.8416,0.004,0.04526
2022-04-20,8.8376,-0.0187,-0.21115
2022-04-19,8.8563,0.0066,0.07458
2022-04-18,8.8497,0.0504,0.57277
2022-04-13,8.7993,-0.0227,-0.25731
2022-04-12,8.822,-0.0078,-0.08834
2022-04-11,8.8298,0.0122,0.13836
2022-04-10,8.8176,0.0137,0.15561
2022-04-07,8.8039,0.0173,0.19689
2022-04-06,8.7866,0.0108,0.12307
2022-04-05,8.7758,0.0318,0.36368
2022-03-31,8.744,0.0316,0.3627
2022-03-30,8.7124,0.0197,0.22663
2022-03-29,8.6927,-0.0328,-0.37591
2022-03-28,8.7255,0.0356,0.40967
2022-03-27,8.6899,0.0399,0.46127
2022-03-24,8.65,0.0013,0.01503
2022-03-23,8.6487,0.0147,0.17026
2022-03-22,8.634,0.0065,0.07534
2022-03-21,8.6275,0.012,0.13928
2022-03-20,8.6155,0.0459,0.53561
2022-03-17,8.5696,-0.018,-0.2096
2022-03-16,8.5876,-0.0266,-0.30879
2022-03-15,8.6142,0.0173,0.20124
2022-03-14,8.5969,0.0026,0.03025
2022-03-13,8.5943,0.0116,0.13516
2022-03-10,8.5827,0.0148,0.17274
2022-03-09,8.5679,-0.0299,-0.34776
2022-03-08,8.5978,0.0154,0.17944
2022-03-07,8.5824,-0.0106,-0.12336
2022-03-06,8.593,0.0148,0.17253
2022-03-03,8.5782,0.0055,0.06416
2022-03-02,8.5727,-0.0386,-0.44825
2022-03-01,8.6113,-0.0135,-0.15653
2022-02-28,8.6248,-0.0699,-0.80394
2022-02-24,8.6947,-0.0381,-0.43629
2022-02-23,8.7328,-0.0548,-0.62361
2022-02-22,8.7876,-0.0275,-0.31196
2022-02-21,8.8151,-0.0066,-0.07482
2022-02-20,8.8217,-0.0198,-0.22394
2022-02-17,8.8415,-0.0028,-0.03166
2022-02-16,8.8443,-0.0139,-0.15692
2022-02-15,8.8582,-0.003,-0.03386
2022-02-14,8.8612,-0.0019,-0.02144
2022-02-13,8.8631,-0.0049,-0.05525
2022-02-10,8.868,-0.0196,-0.22053
2022-02-09,8.8876,-0.0096,-0.1079
2022-02-08,8.8972,-0.0032,-0.03595
2022-02-07,8.9004,-0.0127,-0.14249
2022-02-06,8.9131,-0.0108,-0.12102
2022-01-27,8.9239,-0.0038,-0.04256
2022-01-26,8.9277,0.001,0.0112
2022-01-25,8.9267,0.0114,0.12787
2022-01-24,8.9153,-0.0071,-0.07958
2022-01-23,8.9224,-0.0024,-0.02689
2022-01-20,8.9248,0.0292,0.32825
2022-01-19,8.8956,0.0142,0.15988
2022-01-18,8.8814,0.0156,0.17596
2022-01-17,8.8658,-0.0127,-0.14304
2022-01-16,8.8785,-0.0271,-0.3043
2022-01-13,8.9056,-0.0395,-0.44158
2022-01-12,8.9451,-0.0294,-0.32759
2022-01-11,8.9745,-0.0145,-0.16131
2022-01-10,8.989,0.001,0.01113
2022-01-09,8.988,-0.0175,-0.19433
2022-01-06,9.0055,0.0037,0.0411
2022-01-05,9.0018,-0.0161,-0.17853
2022-01-04,9.0179,-0.0126,-0.13953
2022-01-03,9.0305,0.0036,0.03988
2022-01-02,9.0269,-0.3196,-3.41946
2021-12-29,9.3465,0.0048,0.05138
2021-12-28,9.3417,0.0005,0.00535
2021-12-27,9.3412,-0.004,-0.0428
2021-12-26,9.3452,-0.0167,-0.17838
2021-12-22,9.3619,-0.0131,-0.13973
2021-12-21,9.375,-0.0003,-0.0032
2021-12-20,9.3753,-0.0089,-0.09484
2021-12-19,9.3842,0.0173,0.18469
2021-12-16,9.3669,-0.0186,-0.19818
2021-12-15,9.3855,0.0057,0.06077
2021-12-14,9.3798,-0.0155,-0.16498
2021-12-13,9.3953,0.0065,0.06923
2021-12-12,9.3888,0.0279,0.29805
2021-12-09,9.3609,0.0207,0.22162
2021-12-08,9.3402,0.0014,0.01499
2021-12-07,9.3388,-0.0026,-0.02783
2021-12-06,9.3414,0.0136,0.1458
2021-12-05,9.3278,0.0112,0.12022
2021-12-02,9.3166,-0.0134,-0.14362
2021-12-01,9.33,0.0079,0.08474
2021-11-30,9.3221,-0.0144,-0.15423
2021-11-29,9.3365,-0.0003,-0.00321
2021-11-28,9.3368,-0.0195,-0.20842
2021-11-25,9.3563,-0.0013,-0.01389
2021-11-23,9.3576,-0.0116,-0.12381
2021-11-22,9.3692,0.0002,0.00213
2021-11-21,9.369,-0.0074,-0.07892
2021-11-18,9.3764,-0.0001,-0.00107
2021-11-17,9.3765,0.0019,0.02027
2021-11-16,9.3746,0.0037,0.03948
2021-11-15,9.3709,-0.0017,-0.01814
2021-11-14,9.3726,0.0106,0.11322
2021-11-11,9.362,0.0246,0.26346
2021-11-10,9.3374,0.0317,0.34065
2021-11-09,9.3057,-0.0052,-0.05585
2021-11-08,9.3109,-0.0382,-0.4086
2021-11-07,9.3491,-0.0237,-0.25286
2021-11-04,9.3728,-0.0137,-0.14595
2021-11-03,9.3865,0.0038,0.0405
2021-11-02,9.3827,0.0005,0.00533
2021-11-01,9.3822,-0.0115,-0.12242
2021-10-31,9.3937,-0.0056,-0.05958
2021-10-28,9.3993,-0.0095,-0.10097
2021-10-27,9.4088,-0.0064,-0.06798
2021-10-26,9.4152,-0.0075,-0.0796
2021-10-25,9.4227,-0.0127,-0.1346
2021-10-24,9.4354,-0.0077,-0.08154
2021-10-21,9.4431,-0.0112,-0.11846
2021-10-20,9.4543,-0.0028,-0.02961
2021-10-19,9.4571,-0.007,-0.07396
2021-10-18,9.4641,-0.0048,-0.05069
2021-10-17,9.4689,0.0054,0.05706
2021-10-14,9.4635,-0.0129,-0.13613
2021-10-13,9.4764,-0.0068,-0.07171
2021-10-12,9.4832,-0.0061,-0.06428
2021-10-11,9.4893,-0.0009,-0.00948
2021-10-07,9.4902,0.0077,0.0812
2021-10-06,9.4825,-0.033,-0.3468
2021-10-05,9.5155,0.0017,0.01787
2021-10-04,9.5138,0.001,0.01051
2021-10-03,9.5128,-0.0082,-0.08613
2021-09-30,9.521,-0.0011,-0.01155
2021-09-29,9.5221,0.0081,0.08514
2021-09-28,9.514,0.0038,0.03996
2021-09-27,9.5102,0.0085,0.08946
2021-09-26,9.5017,-0.0128,-0.13453
2021-09-23,9.5145,-0.0252,-0.26416
2021-09-22,9.5397,-0.0028,-0.02934
2021-09-21,9.5425,-0.0062,-0.06493
2021-09-16,9.5487,-0.0038,-0.03978
2021-09-15,9.5525,-0.0125,-0.13068
2021-09-14,9.565,-0.0034,-0.03553
2021-09-13,9.5684,-0.0059,-0.06162
2021-09-12,9.5743,0.0214,0.22402
2021-09-09,9.5529,-0.0188,-0.19641
2021-09-08,9.5717,0.0034,0.03553
2021-09-07,9.5683,0.0223,0.23361
2021-09-06,9.546,-0.0068,-0.07118
2021-09-02,9.5528,-0.0152,-0.15886
2021-09-01,9.568,-0.0079,-0.0825
2021-08-31,9.5759,-0.0157,-0.16368
2021-08-30,9.5916,-0.0068,-0.07085
2021-08-29,9.5984,-0.0259,-0.26911
2021-08-26,9.6243,-0.0036,-0.03739
2021-08-25,9.6279,0.0041,0.0426
2021-08-24,9.6238,-0.0013,-0.01351
2021-08-23,9.6251,-0.0037,-0.03843
2021-08-22,9.6288,0.0,0.0
2021-08-19,9.6288,0.0155,0.16123
2021-08-18,9.6133,0.0266,0.27747
2021-08-17,9.5867,-0.0127,-0.1323
2021-08-16,9.5994,0.0032,0.03335
2021-08-15,9.5962,-0.0001,-0.00104
2021-08-12,9.5963,0.0166,0.17328
2021-08-11,9.5797,-0.0083,-0.08657
2021-08-10,9.588,0.0104,0.10859
2021-08-09,9.5776,0.0041,0.04283
2021-08-08,9.5735,0.0098,0.10247
2021-08-05,9.5637,-0.0026,-0.02718
2021-08-04,9.5663,-0.0139,-0.14509
2021-08-03,9.5802,-0.026,-0.27066
2021-08-02,9.6062,0.0054,0.05625
2021-08-01,9.6008,-0.0004,-0.00417
2021-07-29,9.6012,-0.0083,-0.08637
2021-07-28,9.6095,-0.0163,-0.16934
2021-07-27,9.6258,-0.025,-0.25905
2021-07-26,9.6508,-0.0189,-0.19546
2021-07-25,9.6697,0.0142,0.14707
2021-07-22,9.6555,-0.0034,-0.0352
2021-07-21,9.6589,-0.0247,-0.25507
2021-07-20,9.6836,-0.0041,-0.04232
2021-07-19,9.6877,-0.0013,-0.01342
2021-07-18,9.689,0.0107,0.11056
2021-07-15,9.6783,0.0365,0.37856
2021-07-14,9.6418,-0.0289,-0.29884
2021-07-13,9.6707,0.0084,0.08694
2021-07-12,9.6623,-0.0094,-0.09719
2021-07-11,9.6717,-0.0108,-0.11154
2021-07-08,9.6825,0.0137,0.14169
2021-07-07,9.6688,0.0117,0.12115
2021-07-06,9.6571,0.0238,0.24706
2021-07-05,9.6333,-0.0252,-0.26091
2021-07-01,9.6585,0.0293,0.30428
2021-06-30,9.6292,0.0085,0.08835
2021-06-29,9.6207,-0.0096,-0.09969
2021-06-28,9.6303,-0.002,-0.02076
2021-06-27,9.6323,0.0059,0.06129
2021-06-24,9.6264,-0.0213,-0.22078
2021-06-23,9.6477,-0.0047,-0.04869
2021-06-22,9.6524,0.0111,0.11513
2021-06-21,9.6413,0.0066,0.0685
2021-06-20,9.6347,0.0491,0.51223
2021-06-17,9.5856,0.0121,0.12639
2021-06-16,9.5735,0.019,0.19886
2021-06-15,9.5545,0.0074,0.07751
2021-06-14,9.5471,0.0055,0.05764
2021-06-10,9.5416,-0.0189,-0.19769
2021-06-09,9.5605,-0.0209,-0.21813
