tradeDate,nav,change,changePercent
2022-08-30,8.6327,-0.0028,-0.03242
2022-08-29,8.6355,-0.0696,-0.79953
2022-08-28,8.7051,0.0256,0.29495
2022-08-25,8.6795,0.0278,0.32132
2022-08-24,8.6517,0.0121,0.14005
2022-08-23,8.6396,0.0264,0.30651
2022-08-22,8.6132,0.0426,0.49705
2022-08-21,8.5706,-0.0103,-0.12003
2022-08-18,8.5809,-0.042,-0.48708
2022-08-17,8.6229,0.0,0.0
2022-08-16,8.6229,-0.028,-0.32367
2022-08-15,8.6509,-0.0024,-0.02774
2022-08-14,8.6533,-0.0191,-0.22024
2022-08-11,8.6724,0.0255,0.2949
2022-08-10,8.6469,0.0296,0.3435
2022-08-09,8.6173,-0.003,-0.0348
2022-08-08,8.6203,-0.0058,-0.06724
2022-08-07,8.6261,-0.004,-0.04635
2022-08-04,8.6301,-0.0156,-0.18044
2022-08-03,8.6457,0.0031,0.03587
2022-08-02,8.6426,-0.0279,-0.32178
2022-08-01,8.6705,-0.0136,-0.15661
2022-07-31,8.6841,0.0128,0.14761
2022-07-28,8.6713,0.0296,0.34253
2022-07-27,8.6417,0.0245,0.28432
2022-07-26,8.6172,0.0073,0.08479
2022-07-25,8.6099,0.0306,0.35667
2022-07-24,8.5793,0.0245,0.28639
2022-07-21,8.5548,0.0324,0.38017
2022-07-20,8.5224,0.0418,0.49289
2022-07-19,8.4806,0.0038,0.04483
2022-07-18,8.4768,-0.0424,-0.4977
2022-07-17,8.5192,-0.0075,-0.08796
2022-07-14,8.5267,0.0044,0.05163
2022-07-13,8.5223,-0.0058,-0.06801
2022-07-12,8.5281,-0.0218,-0.25497
2022-07-11,8.5499,-0.0474,-0.55134
2022-07-10,8.5973,-0.0303,-0.3512
2022-07-07,8.6276,-0.024,-0.27741
2022-07-06,8.6516,-0.0398,-0.45792
2022-07-05,8.6914,-0.0254,-0.29139
2022-07-04,8.7168,-0.0163,-0.18665
2022-07-03,8.7331,0.0155,0.1778
2022-06-29,8.7176,0.0143,0.16431
2022-06-28,8.7033,-0.0315,-0.36063
2022-06-27,8.7348,-0.017,-0.19425
2022-06-26,8.7518,-0.0351,-0.39946
2022-06-23,8.7869,-0.026,-0.29502
2022-06-22,8.8129,-0.0255,-0.28851
2022-06-21,8.8384,,
2022-06-20,8.8206,-0.0094,-0.10646
2022-06-19,8.83,0.0089,0.10089
2022-06-16,8.8211,-0.0167,-0.18896
2022-06-15,8.8378,-0.0276,-0.31132
2022-06-14,8.8654,0.0573,0.65054
2022-06-13,8.8081,-0.0523,-0.59027
2022-06-12,8.8604,-0.0569,-0.63809
2022-06-09,8.9173,-0.0354,-0.39541
2022-06-08,8.9527,-0.0319,-0.35505
2022-06-07,8.9846,-0.0058,-0.06451
2022-06-06,8.9904,0.0316,0.35273
2022-06-05,8.9588,0.0029,0.03238
2022-06-01,8.9559,0.0333,0.37321
2022-05-31,8.9226,0.0526,0.59301
2022-05-30,8.87,-0.0366,-0.41093
2022-05-29,8.9066,-0.0602,-0.67137
2022-05-26,8.9668,-0.0649,-0.71858
2022-05-25,9.0317,-0.018,-0.1989
2022-05-24,9.0497,-0.0159,-0.17539
2022-05-23,9.0656,-0.0003,-0.00331
2022-05-22,9.0659,0.0186,0.20559
2022-05-19,9.0473,0.0035,0.0387
2022-05-18,9.0438,0.0272,0.30167
2022-05-17,9.0166,-0.0043,-0.04767
2022-05-16,9.0209,-0.0356,-0.39309
2022-05-15,9.0565,0.0266,0.29458
2022-05-12,9.0299,-0.0199,-0.21989
2022-05-11,9.0498,0.0001,0.00111
2022-05-10,9.0497,-0.0032,-0.03535
2022-05-09,9.0529,-0.0504,-0.55365
2022-05-05,9.1033,-0.0034,-0.03734
2022-05-04,9.1067,-0.0146,-0.16006
2022-05-03,9.1213,0.0081,0.08888
