tradeDate,nav,change,changePercent
2022-08-30,10.2068,-0.0147,-0.14381
2022-08-29,10.2215,0.0039,0.03817
2022-08-28,10.2176,-0.0265,-0.25869
2022-08-25,10.2441,0.0243,0.23777
2022-08-24,10.2198,0.0252,0.24719
2022-08-23,10.1946,0.0246,0.24189
2022-08-22,10.17,0.0112,0.11025
2022-08-21,10.1588,-0.0223,-0.21903
2022-08-18,10.1811,-0.0107,-0.10499
2022-08-17,10.1918,-0.0467,-0.45612
2022-08-16,10.2385,-0.0373,-0.36299
2022-08-15,10.2758,0.0728,0.71352
2022-08-14,10.203,0.0477,0.46971
2022-08-11,10.1553,0.0269,0.26559
2022-08-10,10.1284,0.0539,0.53501
2022-08-09,10.0745,0.0158,0.15708
2022-08-07,10.0587,0.0031,0.03083
2022-08-04,10.0556,0.0029,0.02885
2022-08-03,10.0527,-0.0186,-0.18468
2022-08-02,10.0713,-0.009,-0.08928
2022-08-01,10.0803,-0.0405,-0.40017
2022-07-31,10.1208,0.0451,0.44761
2022-07-28,10.0757,0.027,0.26869
2022-07-27,10.0487,0.0379,0.37859
2022-07-26,10.0108,0.0031,0.03098
2022-07-25,10.0077,0.0284,0.28459
2022-07-24,9.9793,0.0414,0.41659
2022-07-21,9.9379,0.039,0.39398
2022-07-20,9.8989,0.0327,0.33143
2022-07-19,9.8662,-0.0007,-0.00709
2022-07-18,9.8669,-0.0268,-0.27088
2022-07-17,9.8937,-0.0157,-0.15844
2022-07-14,9.9094,0.0059,0.05957
2022-07-13,9.9035,-0.0334,-0.33612
2022-07-12,9.9369,-0.0239,-0.23994
2022-07-11,9.9608,-0.0721,-0.71864
2022-07-07,10.0329,0.0053,0.05285
2022-07-06,10.0276,-0.0374,-0.37158
2022-07-05,10.065,-0.0128,-0.12701
2022-07-04,10.0778,0.0102,0.10132
2022-07-03,10.0676,-0.0827,-0.81475
2022-06-30,10.1503,0.0289,0.28553
2022-06-29,10.1214,-0.0284,-0.27981
2022-06-28,10.1498,-0.0054,-0.05317
2022-06-27,10.1552,0.0031,0.03054
2022-06-26,10.1521,-0.0185,-0.1819
2022-06-23,10.1706,-0.0397,-0.38882
2022-06-22,10.2103,-0.0251,-0.24523
2022-06-21,10.2354,,
2022-06-20,10.2607,-0.0205,-0.19939
2022-06-19,10.2812,-0.0159,-0.15441
2022-06-16,10.2971,-0.0472,-0.45629
2022-06-15,10.3443,-0.0012,-0.0116
2022-06-14,10.3455,0.0329,0.31903
2022-06-13,10.3126,-0.0757,-0.7287
2022-06-12,10.3883,-0.1071,-1.02045
2022-06-09,10.4954,-0.0426,-0.40425
2022-06-08,10.538,-0.0018,-0.01708
2022-06-07,10.5398,0.0026,0.02467
2022-06-06,10.5372,-0.0106,-0.10049
2022-06-05,10.5478,-0.0021,-0.01991
2022-06-01,10.5499,-0.003,-0.02843
2022-05-31,10.5529,0.2069,1.99981
2022-05-30,10.346,0.0293,0.28401
2022-05-29,10.3167,-0.0029,-0.0281
2022-05-26,10.3196,0.0251,0.24382
2022-05-25,10.2945,0.0211,0.20538
2022-05-24,10.2734,0.0203,0.19799
2022-05-23,10.2531,0.0287,0.2807
2022-05-22,10.2244,0.0024,0.02348
2022-05-19,10.222,0.0076,0.0744
2022-05-18,10.2144,-0.0255,-0.24903
2022-05-17,10.2399,-0.0011,-0.01074
2022-05-16,10.241,-0.0455,-0.44233
2022-05-12,10.2865,0.0099,0.09634
2022-05-11,10.2766,-0.0797,-0.76958
2022-05-10,10.3563,0.0011,0.01062
2022-05-09,10.3552,-0.0522,-0.50157
2022-05-08,10.4074,0.0038,0.03653
2022-05-05,10.4036,-0.0266,-0.25503
2022-05-04,10.4302,-0.0135,-0.12926
2022-05-03,10.4437,0.0083,0.07954
2022-04-28,10.4354,-0.0229,-0.21896
2022-04-27,10.4583,0.0035,0.03348
2022-04-26,10.4548,-0.0299,-0.28518
2022-04-25,10.4847,0.006,0.05726
2022-04-24,10.4787,-0.0285,-0.27124
2022-04-21,10.5072,-0.0192,-0.1824
2022-04-20,10.5264,-0.0052,-0.04938
2022-04-19,10.5316,-0.0002,-0.0019
2022-04-18,10.5318,-0.0169,-0.16021
2022-04-17,10.5487,0.0091,0.08634
2022-04-13,10.5396,0.0049,0.04651
2022-04-12,10.5347,-0.0048,-0.04554
2022-04-11,10.5395,-0.0121,-0.11467
2022-04-10,10.5516,-0.0295,-0.2788
2022-04-07,10.5811,-0.0267,-0.2517
2022-04-06,10.6078,0.0166,0.15673
2022-04-05,10.5912,0.0059,0.05574
2022-03-31,10.5853,-0.011,-0.10381
2022-03-30,10.5963,0.007,0.0661
2022-03-29,10.5893,0.0226,0.21388
2022-03-28,10.5667,0.0335,0.31804
2022-03-27,10.5332,0.0261,0.2484
2022-03-24,10.5071,0.0038,0.03618
2022-03-23,10.5033,-0.0191,-0.18152
2022-03-22,10.5224,0.0484,0.4621
2022-03-21,10.474,0.0005,0.00477
2022-03-20,10.4735,0.0414,0.39685
2022-03-17,10.4321,0.0188,0.18054
2022-03-16,10.4133,0.0936,0.907
2022-03-15,10.3197,0.0018,0.01745
2022-03-14,10.3179,-0.0587,-0.5657
2022-03-13,10.3766,-0.0358,-0.34382
2022-03-10,10.4124,-0.0237,-0.2271
2022-03-09,10.4361,0.0158,0.15163
2022-03-08,10.4203,-0.0512,-0.48895
2022-03-07,10.4715,-0.0431,-0.40991
2022-03-06,10.5146,-0.0814,-0.76821
2022-03-03,10.596,-0.0293,-0.27576
2022-03-02,10.6253,-0.0028,-0.02635
2022-03-01,10.6281,-0.0691,-0.64596
2022-02-28,10.6972,-0.0137,-0.12791
2022-02-24,10.7109,0.0031,0.02895
2022-02-23,10.7078,-0.0362,-0.33693
2022-02-22,10.744,-0.027,-0.25067
2022-02-21,10.771,0.0063,0.05852
2022-02-20,10.7647,-0.037,-0.34254
2022-02-17,10.8017,0.0116,0.10751
2022-02-16,10.7901,-0.0105,-0.09722
2022-02-15,10.8006,0.0193,0.17901
2022-02-14,10.7813,-0.0026,-0.02411
2022-02-13,10.7839,-0.0457,-0.42199
2022-02-10,10.8296,0.0236,0.2184
2022-02-09,10.806,-0.0287,-0.26489
2022-02-08,10.8347,-0.0105,-0.09682
2022-02-07,10.8452,-0.037,-0.34
2022-02-06,10.8822,-0.0391,-0.35802
2022-01-27,10.9213,-0.007,-0.06405
2022-01-26,10.9283,0.003,0.02746
2022-01-25,10.9253,-0.0222,-0.20279
2022-01-24,10.9475,-0.0073,-0.06664
2022-01-23,10.9548,-0.027,-0.24586
2022-01-20,10.9818,0.0555,0.50795
2022-01-19,10.9263,0.017,0.15583
2022-01-18,10.9093,0.0128,0.11747
2022-01-17,10.8965,-0.0605,-0.55216
2022-01-16,10.957,-0.0231,-0.21038
2022-01-13,10.9801,-0.0295,-0.26795
2022-01-12,11.0096,-0.011,-0.09981
2022-01-11,11.0206,-0.0132,-0.11963
2022-01-10,11.0338,-0.0098,-0.08874
2022-01-09,11.0436,-0.0082,-0.0742
2022-01-06,11.0518,-0.0072,-0.06511
2022-01-05,11.059,-0.0456,-0.41064
2022-01-04,11.1046,-0.0185,-0.16632
2022-01-03,11.1231,0.0012,0.01079
2022-01-02,11.1219,-0.0069,-0.062
2021-12-29,11.1288,0.0047,0.04225
2021-12-28,11.1241,-0.0033,-0.02966
2021-12-27,11.1274,-0.006,-0.05389
2021-12-26,11.1334,0.0123,0.1106
2021-12-23,11.1211,-0.0022,-0.01978
2021-12-22,11.1233,-0.0143,-0.12839
2021-12-21,11.1376,-0.0137,-0.12286
2021-12-20,11.1513,0.0029,0.02601
2021-12-19,11.1484,-0.0042,-0.03766
2021-12-16,11.1526,0.0078,0.06999
2021-12-15,11.1448,0.003,0.02693
2021-12-14,11.1418,-0.0164,-0.14698
2021-12-13,11.1582,-0.0056,-0.05016
2021-12-12,11.1638,0.0002,0.00179
2021-12-09,11.1636,0.0031,0.02778
2021-12-08,11.1605,0.0064,0.05738
2021-12-07,11.1541,-0.005,-0.04481
