tradeDate,nav,change,changePercent
2022-08-30,8.7119,-0.0077,-0.08831
2022-08-29,8.7196,-0.0185,-0.21172
2022-08-28,8.7381,-0.0178,-0.20329
2022-08-25,8.7559,-0.0124,-0.14142
2022-08-24,8.7683,0.0103,0.11761
2022-08-23,8.758,-0.0057,-0.06504
2022-08-22,8.7637,0.0038,0.04338
2022-08-21,8.7599,-0.0283,-0.32202
2022-08-18,8.7882,-0.0106,-0.12047
2022-08-17,8.7988,0.0013,0.01478
2022-08-16,8.7975,-0.014,-0.15888
2022-08-15,8.8115,-0.0075,-0.08504
2022-08-14,8.819,0.0164,0.18631
2022-08-11,8.8026,0.0104,0.11829
2022-08-10,8.7922,0.0006,0.00682
2022-08-09,8.7916,0.0231,0.26344
2022-08-08,8.7685,-0.0164,-0.18668
2022-08-07,8.7849,0.0139,0.15848
2022-08-04,8.771,-0.0982,-1.1072
2022-08-03,8.8692,0.0245,0.277
2022-08-02,8.8447,0.0191,0.21642
2022-08-01,8.8256,-0.0272,-0.30725
2022-07-31,8.8528,0.006,0.06782
2022-07-28,8.8468,0.009,0.10184
2022-07-27,8.8378,0.0356,0.40444
2022-07-26,8.8022,0.0286,0.32598
2022-07-25,8.7736,-0.0079,-0.08996
2022-07-24,8.7815,-0.0075,-0.08533
2022-07-21,8.789,0.0101,0.11505
2022-07-20,8.7789,0.0395,0.45198
2022-07-19,8.7394,0.0115,0.13176
2022-07-18,8.7279,-0.007,-0.08014
2022-07-17,8.7349,0.003,0.03436
2022-07-14,8.7319,0.0099,0.11351
2022-07-13,8.722,-0.0057,-0.06531
2022-07-12,8.7277,-0.0102,-0.11673
2022-07-11,8.7379,0.0058,0.06642
2022-07-10,8.7321,0.0191,0.21921
2022-07-07,8.713,-0.0523,-0.59667
2022-07-06,8.7653,0.0113,0.12908
2022-07-05,8.754,-0.0153,-0.17447
2022-07-04,8.7693,0.0213,0.24348
2022-06-30,8.748,0.0415,0.47666
2022-06-29,8.7065,0.0226,0.26025
2022-06-28,8.6839,0.0048,0.05531
2022-06-27,8.6791,-0.0122,-0.14037
2022-06-26,8.6913,-0.013,-0.14935
2022-06-23,8.7043,-0.0006,-0.00689
2022-06-22,8.7049,0.0291,0.33542
2022-06-21,8.6758,,
2022-06-20,8.6537,-0.0163,-0.188
2022-06-16,8.67,0.001,0.01154
2022-06-15,8.669,-0.0183,-0.21065
2022-06-14,8.6873,0.0778,0.90365
2022-06-13,8.6095,-0.0427,-0.49352
2022-06-12,8.6522,-0.1078,-1.23059
2022-06-09,8.76,-0.0679,-0.76915
2022-06-08,8.8279,-0.0158,-0.17866
2022-06-07,8.8437,-0.081,-0.90759
2022-06-06,8.9247,0.0081,0.09084
2022-06-05,8.9166,-0.0487,-0.54321
2022-06-01,8.9653,0.0019,0.0212
2022-05-31,8.9634,-0.028,-0.31141
2022-05-30,8.9914,-0.0168,-0.1865
2022-05-26,9.0082,0.0167,0.18573
2022-05-25,8.9915,0.036,0.40199
2022-05-24,8.9555,0.0411,0.46105
2022-05-23,8.9144,0.0444,0.50056
2022-05-22,8.87,-0.0191,-0.21487
2022-05-19,8.8891,-0.0009,-0.01012
2022-05-18,8.89,0.0092,0.10359
2022-05-17,8.8808,0.0002,0.00225
2022-05-16,8.8806,-0.0376,-0.42161
2022-05-15,8.9182,0.0177,0.19887
2022-05-12,8.9005,-0.0235,-0.26333
2022-05-11,8.924,0.002,0.02242
2022-05-10,8.922,0.0153,0.17178
2022-05-09,8.9067,0.0092,0.1034
2022-05-08,8.8975,-0.043,-0.48096
2022-05-05,8.9405,-0.021,-0.23434
2022-05-04,8.9615,-0.0454,-0.50406
2022-05-03,9.0069,0.0354,0.39458
2022-05-02,8.9715,-0.0274,-0.30448
2022-04-28,8.9989,-0.0374,-0.41389
2022-04-27,9.0363,-0.0117,-0.12931
2022-04-26,9.048,-0.026,-0.28653
2022-04-25,9.074,0.0244,0.26963
2022-04-24,9.0496,0.0222,0.24592
2022-04-21,9.0274,-0.0171,-0.18907
2022-04-20,9.0445,-0.0329,-0.36244
2022-04-19,9.0774,0.0348,0.38485
2022-04-18,9.0426,-0.0382,-0.42067
2022-04-17,9.0808,-0.0098,-0.1078
2022-04-13,9.0906,-0.0383,-0.41955
2022-04-12,9.1289,0.0035,0.03835
2022-04-11,9.1254,0.0255,0.28022
2022-04-10,9.0999,-0.1001,-1.08804
2022-04-07,9.2,-0.0318,-0.34446
2022-04-06,9.2318,-0.0084,-0.09091
2022-04-05,9.2402,-0.0546,-0.58743
2022-03-31,9.2948,-0.0125,-0.1343
2022-03-30,9.3073,0.0084,0.09033
2022-03-29,9.2989,0.0123,0.13245
2022-03-28,9.2866,0.0467,0.50542
2022-03-27,9.2399,0.0154,0.16695
2022-03-24,9.2245,-0.0444,-0.47902
2022-03-23,9.2689,-0.0272,-0.2926
2022-03-22,9.2961,0.012,0.12925
2022-03-21,9.2841,-0.0186,-0.19994
2022-03-20,9.3027,-0.0499,-0.53354
2022-03-17,9.3526,0.016,0.17137
2022-03-16,9.3366,0.0416,0.44755
2022-03-15,9.295,0.0151,0.16272
2022-03-14,9.2799,-0.0048,-0.0517
2022-03-13,9.2847,-0.0628,-0.67184
2022-03-10,9.3475,-0.0094,-0.10046
2022-03-09,9.3569,-0.037,-0.39387
2022-03-08,9.3939,-0.0216,-0.22941
2022-03-07,9.4155,-0.0566,-0.59754
2022-03-06,9.4721,-0.0996,-1.04057
2022-03-03,9.5717,0.0113,0.1182
2022-03-02,9.5604,0.0085,0.08899
2022-03-01,9.5519,-0.0639,-0.66453
2022-02-28,9.6158,0.0995,1.04557
2022-02-24,9.5163,0.0328,0.34586
2022-02-23,9.4835,-0.0108,-0.11375
2022-02-22,9.4943,-0.0309,-0.3244
2022-02-21,9.5252,-0.0092,-0.09649
2022-02-17,9.5344,0.0063,0.06612
2022-02-16,9.5281,0.0089,0.0935
2022-02-15,9.5192,0.0048,0.05045
2022-02-14,9.5144,-0.0126,-0.13226
2022-02-13,9.527,-0.0443,-0.46284
2022-02-10,9.5713,-0.0249,-0.25948
2022-02-09,9.5962,-0.0753,-0.77858
2022-02-08,9.6715,0.0075,0.07761
2022-02-07,9.664,-0.0136,-0.14053
2022-02-06,9.6776,-0.051,-0.52423
2022-01-27,9.7286,0.0113,0.11629
2022-01-26,9.7173,0.0002,0.00206
2022-01-25,9.7171,-0.0398,-0.40792
2022-01-24,9.7569,-0.0069,-0.07067
2022-01-23,9.7638,-0.007,-0.07164
2022-01-20,9.7708,0.0119,0.12194
2022-01-19,9.7589,0.0013,0.01332
2022-01-18,9.7576,0.0149,0.15294
2022-01-17,9.7427,-0.0536,-0.54715
2022-01-13,9.7963,-0.0315,-0.32052
2022-01-12,9.8278,0.0021,0.02137
2022-01-11,9.8257,0.0041,0.04174
2022-01-10,9.8216,0.009,0.09172
2022-01-09,9.8126,-0.0122,-0.12418
