tradeDate,nav,change,changePercent
2022-08-30,10.82,-0.06,-0.55147
2022-08-29,10.88,-0.06,-0.54845
2022-08-28,10.94,0.03,0.27498
2022-08-25,10.91,-0.07,-0.63752
2022-08-24,10.98,0.02,0.18248
2022-08-23,10.96,0.02,0.18282
2022-08-22,10.94,0.01,0.09149
2022-08-21,10.93,-0.07,-0.63636
2022-08-18,11.0,-0.08,-0.72202
2022-08-17,11.08,0.0,0.0
2022-08-16,11.08,-0.08,-0.71685
2022-08-15,11.16,0.02,0.17953
2022-08-14,11.14,0.02,0.17986
2022-08-11,11.12,0.04,0.36101
2022-08-10,11.08,0.01,0.09033
2022-08-09,11.07,0.08,0.72793
2022-08-08,10.99,-0.03,-0.27223
2022-08-07,11.02,0.03,0.27298
2022-08-04,10.99,-0.04,-0.36265
2022-08-03,11.03,0.03,0.27273
2022-08-02,11.0,0.0,0.0
2022-08-01,11.0,-0.02,-0.18149
2022-07-31,11.02,0.05,0.45579
2022-07-28,10.97,0.07,0.6422
2022-07-27,10.9,0.07,0.64635
2022-07-26,10.83,0.06,0.5571
2022-07-25,10.77,-0.03,-0.27778
2022-07-24,10.8,0.02,0.18553
2022-07-21,10.78,0.05,0.46598
2022-07-20,10.73,0.03,0.28037
2022-07-19,10.7,0.04,0.37523
2022-07-18,10.66,0.07,0.661
2022-07-17,10.59,0.0,0.0
2022-07-14,10.59,0.09,0.85714
2022-07-13,10.5,-0.04,-0.37951
2022-07-12,10.54,-0.04,-0.37807
2022-07-11,10.58,0.03,0.28436
2022-07-10,10.55,-0.03,-0.28355
2022-07-07,10.58,0.01,0.09461
2022-07-06,10.57,0.05,0.47529
2022-07-05,10.52,0.03,0.28599
2022-07-04,10.49,-0.03,-0.28517
2022-07-03,10.52,0.01,0.09515
2022-06-30,10.51,0.04,0.38204
2022-06-29,10.47,-0.02,-0.19066
2022-06-28,10.49,-0.01,-0.09524
2022-06-27,10.5,-0.06,-0.56818
2022-06-26,10.56,-0.04,-0.37736
2022-06-23,10.6,0.09,0.85633
2022-06-22,10.51,0.01,0.09524
2022-06-21,10.5,,
2022-06-20,10.48,0.05,0.47939
2022-06-19,10.43,0.01,0.09597
2022-06-16,10.42,-0.01,-0.09588
2022-06-15,10.43,-0.1,-0.94967
2022-06-14,10.53,0.06,0.57307
2022-06-13,10.47,-0.08,-0.75829
2022-06-12,10.55,-0.17,-1.58582
2022-06-09,10.72,-0.13,-1.19816
2022-06-08,10.85,-0.09,-0.82267
2022-06-07,10.94,-0.03,-0.27347
2022-06-06,10.97,0.04,0.36597
2022-06-05,10.93,-0.02,-0.18265
2022-06-01,10.95,0.09,0.82873
2022-05-31,10.86,0.04,0.36969
2022-05-30,10.82,-0.07,-0.64279
2022-05-29,10.89,-0.06,-0.54795
2022-05-26,10.95,0.05,0.45872
2022-05-25,10.9,0.06,0.55351
2022-05-24,10.84,0.01,0.09234
2022-05-23,10.83,-0.02,-0.18433
2022-05-22,10.85,0.05,0.46296
2022-05-19,10.8,-0.04,-0.369
2022-05-18,10.84,0.0,0.0
2022-05-17,10.84,-0.12,-1.09489
2022-05-16,10.96,0.03,0.27447
2022-05-15,10.93,0.0,0.0
2022-05-12,10.93,0.08,0.73733
2022-05-11,10.85,0.03,0.27726
2022-05-10,10.82,0.0,0.0
2022-05-09,10.82,-0.01,-0.09234
2022-05-08,10.83,-0.11,-1.00548
2022-05-05,10.94,-0.01,-0.09132
2022-05-04,10.95,-0.09,-0.81522
2022-05-03,11.04,0.05,0.45496
2022-05-02,10.99,0.0,0.0
2022-04-28,10.99,-0.09,-0.81227
2022-04-27,11.08,0.09,0.81893
2022-04-26,10.99,0.02,0.18232
2022-04-25,10.97,-0.07,-0.63406
2022-04-24,11.04,-0.01,-0.0905
2022-04-21,11.05,-0.1,-0.89686
2022-04-20,11.15,-0.06,-0.53524
2022-04-19,11.21,0.02,0.17873
2022-04-18,11.19,0.08,0.72007
2022-04-13,11.11,-0.06,-0.53715
2022-04-12,11.17,0.02,0.17937
2022-04-11,11.15,0.02,0.17969
2022-04-10,11.13,-0.01,-0.08977
2022-04-07,11.14,0.03,0.27003
2022-04-06,11.11,0.02,0.18034
2022-04-05,11.09,-0.08,-0.7162
2022-03-31,11.17,0.03,0.2693
2022-03-30,11.14,-0.02,-0.17921
2022-03-29,11.16,-0.06,-0.53476
2022-03-28,11.22,0.06,0.53763
2022-03-27,11.16,0.04,0.35971
2022-03-24,11.12,0.01,0.09001
2022-03-23,11.11,0.04,0.36134
2022-03-22,11.07,-0.01,-0.09025
2022-03-21,11.08,0.03,0.27149
2022-03-20,11.05,0.05,0.45455
2022-03-17,11.0,0.02,0.18215
2022-03-16,10.98,0.0,0.0
2022-03-15,10.98,0.12,1.10497
2022-03-14,10.86,0.05,0.46253
2022-03-13,10.81,0.0,0.0
2022-03-10,10.81,-0.02,-0.18467
2022-03-09,10.83,-0.06,-0.55096
2022-03-08,10.89,0.1,0.92678
2022-03-07,10.79,0.0,0.0
2022-03-06,10.79,-0.07,-0.64457
2022-03-03,10.86,-0.03,-0.27548
