tradeDate,nav,change,changePercent
2022-08-30,9.67,-0.05,-0.5144
2022-08-29,9.72,-0.11,-1.11902
2022-08-25,9.83,-0.02,-0.20305
2022-08-24,9.85,0.03,0.3055
2022-08-23,9.82,0.01,0.10194
2022-08-22,9.81,-0.02,-0.20346
2022-08-21,9.83,-0.1,-1.00705
2022-08-18,9.93,-0.05,-0.501
2022-08-17,9.98,-0.02,-0.2
2022-08-16,10.0,-0.06,-0.59642
2022-08-15,10.06,-0.01,-0.0993
2022-08-14,10.07,0.01,0.0994
2022-08-11,10.06,0.01,0.0995
2022-08-10,10.05,0.04,0.3996
2022-08-09,10.01,0.06,0.60302
2022-08-08,9.95,-0.02,-0.2006
2022-08-07,9.97,0.03,0.30181
2022-08-04,9.94,0.0,0.0
2022-08-03,9.94,0.05,0.50556
2022-08-02,9.89,0.02,0.20263
2022-08-01,9.87,0.0,0.0
2022-07-31,9.87,0.04,0.40692
2022-07-28,9.83,0.08,0.82051
2022-07-27,9.75,0.06,0.6192
2022-07-26,9.69,0.02,0.20683
2022-07-25,9.67,-0.02,-0.2064
2022-07-24,9.69,0.03,0.31056
2022-07-21,9.66,0.06,0.625
2022-07-20,9.6,0.06,0.62893
2022-07-19,9.54,0.08,0.84567
2022-07-18,9.46,0.04,0.42463
2022-07-17,9.42,0.03,0.31949
2022-07-14,9.39,0.03,0.32051
2022-07-13,9.36,-0.04,-0.42553
2022-07-12,9.4,-0.01,-0.10627
2022-07-11,9.41,-0.01,-0.10616
2022-07-10,9.42,0.01,0.10627
2022-07-07,9.41,0.03,0.31983
2022-07-06,9.38,0.05,0.53591
2022-07-05,9.33,0.0,0.0
2022-07-04,9.33,-0.02,-0.2139
2022-06-30,9.35,0.01,0.10707
2022-06-29,9.34,-0.07,-0.74389
2022-06-28,9.41,-0.07,-0.7384
2022-06-27,9.48,-0.05,-0.52466
2022-06-26,9.53,0.0,0.0
2022-06-23,9.53,0.03,0.31579
2022-06-22,9.5,-0.01,-0.10515
2022-06-21,9.51,,
2022-06-20,9.55,0.01,0.10482
2022-06-16,9.54,0.0,0.0
2022-06-15,9.54,-0.1,-1.03734
2022-06-14,9.64,0.05,0.52138
2022-06-13,9.59,-0.05,-0.51867
2022-06-12,9.64,-0.25,-2.52781
2022-06-09,9.89,-0.1,-1.001
2022-06-08,9.99,-0.05,-0.49801
2022-06-07,10.04,-0.02,-0.19881
2022-06-06,10.06,-0.02,-0.19841
2022-06-05,10.08,-0.03,-0.29674
2022-05-31,10.11,-0.01,-0.09881
2022-05-30,10.12,0.02,0.19802
2022-05-26,10.1,0.07,0.69791
2022-05-25,10.03,0.1,1.00705
2022-05-24,9.93,0.08,0.81218
2022-05-23,9.85,0.0,0.0
2022-05-22,9.85,0.01,0.10163
2022-05-19,9.84,0.01,0.10173
2022-05-18,9.83,-0.03,-0.30426
2022-05-17,9.86,-0.04,-0.40404
2022-05-16,9.9,-0.01,-0.10091
2022-05-15,9.91,-0.01,-0.10081
2022-05-12,9.92,0.0,0.0
2022-05-11,9.92,-0.04,-0.40161
2022-05-10,9.96,0.0,0.0
2022-05-09,9.96,0.01,0.1005
2022-05-08,9.95,-0.1,-0.99502
2022-05-05,10.05,-0.08,-0.78973
2022-05-04,10.13,-0.03,-0.29528
2022-05-03,10.16,0.01,0.09852
2022-05-02,10.15,-0.05,-0.4902
2022-04-28,10.2,-0.04,-0.39063
2022-04-27,10.24,-0.02,-0.19493
2022-04-26,10.26,-0.04,-0.38835
2022-04-25,10.3,-0.01,-0.09699
2022-04-24,10.31,-0.03,-0.29014
2022-04-21,10.34,-0.04,-0.38536
2022-04-20,10.38,-0.02,-0.19231
2022-04-19,10.4,0.01,0.09625
2022-04-18,10.39,-0.04,-0.38351
2022-04-13,10.43,0.0,0.0
2022-04-12,10.43,0.0,0.0
2022-04-11,10.43,0.01,0.09597
2022-04-10,10.42,-0.08,-0.7619
2022-04-07,10.5,-0.02,-0.19011
2022-04-06,10.52,-0.04,-0.37879
2022-04-05,10.56,-0.04,-0.37736
2022-03-31,10.6,-0.01,-0.09425
2022-03-30,10.61,0.01,0.09434
2022-03-29,10.6,0.03,0.28382
2022-03-28,10.57,0.08,0.76263
2022-03-27,10.49,0.0,0.0
2022-03-24,10.49,-0.01,-0.09524
2022-03-23,10.5,0.0,0.0
2022-03-22,10.5,0.01,0.09533
2022-03-21,10.49,-0.01,-0.09524
2022-03-20,10.5,0.01,0.09533
2022-03-17,10.49,0.03,0.28681
2022-03-16,10.46,0.09,0.86789
2022-03-15,10.37,0.07,0.67961
2022-03-14,10.3,-0.02,-0.1938
2022-03-13,10.32,-0.08,-0.76923
2022-03-10,10.4,-0.02,-0.19194
