tradeDate,nav,change,changePercent
2022-09-01,14.51,0.07,0.48476
2022-08-31,14.44,-0.25,-1.70184
2022-08-30,14.69,0.0,0.0
2022-08-29,14.69,0.19,1.31034
2022-08-28,14.5,-0.17,-1.15883
2022-08-25,14.67,-0.04,-0.27192
2022-08-24,14.71,0.12,0.82248
2022-08-23,14.59,0.04,0.27491
2022-08-22,14.55,-0.04,-0.27416
2022-08-21,14.59,-0.19,-1.28552
2022-08-18,14.78,0.02,0.1355
2022-08-17,14.76,0.14,0.95759
2022-08-16,14.62,-0.03,-0.20478
2022-08-15,14.65,-0.01,-0.06821
2022-08-14,14.66,0.13,0.8947
2022-08-11,14.53,-0.02,-0.13746
2022-08-10,14.55,-0.02,-0.13727
2022-08-09,14.57,-0.06,-0.41012
2022-08-08,14.63,0.07,0.48077
2022-08-07,14.56,0.15,1.04094
2022-08-04,14.41,0.23,1.622
2022-08-03,14.18,0.07,0.4961
2022-08-02,14.11,-0.01,-0.07082
2022-08-01,14.12,-0.13,-0.91228
2022-07-31,14.25,-0.07,-0.48883
2022-07-28,14.32,0.14,0.98731
2022-07-27,14.18,-0.02,-0.14085
2022-07-26,14.2,0.2,1.42857
2022-07-25,14.0,-0.11,-0.77959
2022-07-24,14.11,0.08,0.57021
2022-07-21,14.03,-0.06,-0.42583
2022-07-20,14.09,0.11,0.78684
2022-07-19,13.98,0.09,0.64795
2022-07-18,13.89,-0.17,-1.2091
2022-07-17,14.06,0.06,0.42857
2022-07-14,14.0,0.0,0.0
2022-07-13,14.0,0.17,1.22921
2022-07-12,13.83,0.12,0.87527
2022-07-11,13.71,-0.11,-0.79595
2022-07-10,13.82,-0.06,-0.43228
2022-07-07,13.88,0.05,0.36153
2022-07-06,13.83,0.24,1.766
2022-07-05,13.59,-0.13,-0.94752
2022-07-04,13.72,0.05,0.36576
2022-07-03,13.67,0.04,0.29347
2022-06-30,13.63,-0.41,-2.92023
2022-06-29,14.04,-0.4,-2.77008
2022-06-28,14.44,-0.03,-0.20733
2022-06-27,14.47,-0.04,-0.27567
2022-06-26,14.51,0.21,1.46853
2022-06-23,14.3,0.11,0.77519
2022-06-22,14.19,0.0,0.0
2022-06-21,14.19,-0.3,-2.07039
2022-06-20,14.49,0.25,1.75562
2022-06-19,14.24,-0.28,-1.92837
2022-06-16,14.52,-0.11,-0.75188
2022-06-15,14.63,-0.29,-1.9437
2022-06-14,14.92,-0.16,-1.06101
2022-06-13,15.08,-0.05,-0.33047
2022-06-12,15.13,-0.16,-1.04644
2022-06-09,15.29,0.04,0.2623
2022-06-08,15.25,0.02,0.13132
2022-06-07,15.23,0.09,0.59445
2022-06-06,15.14,-0.05,-0.32916
2022-06-05,15.19,0.01,0.06588
2022-06-01,15.18,-0.03,-0.19724
2022-05-31,15.21,0.0,0.0
2022-05-30,15.21,0.04,0.26368
2022-05-29,15.17,0.16,1.06596
2022-05-26,15.01,0.15,1.00942
2022-05-25,14.86,-0.13,-0.86724
2022-05-24,14.99,0.19,1.28378
2022-05-23,14.8,-0.22,-1.46471
2022-05-22,15.02,-0.02,-0.13298
2022-05-19,15.04,0.01,0.06653
2022-05-18,15.03,-0.05,-0.33156
2022-05-17,15.08,0.17,1.14017
2022-05-16,14.91,0.06,0.40404
2022-05-15,14.85,0.05,0.33784
2022-05-12,14.8,0.24,1.64835
2022-05-11,14.56,-0.24,-1.62162
2022-05-10,14.8,-0.07,-0.47075
2022-05-09,14.87,0.07,0.47297
2022-05-08,14.8,-0.21,-1.39907
2022-05-05,15.01,-0.18,-1.18499
2022-05-04,15.19,0.03,0.19789
2022-05-03,15.16,0.01,0.06601
2022-05-02,15.15,-0.09,-0.59055
2022-04-28,15.24,0.14,0.92715
2022-04-27,15.1,-0.06,-0.39578
2022-04-26,15.16,-0.06,-0.39422
2022-04-25,15.22,0.06,0.39578
2022-04-24,15.16,-0.37,-2.38249
2022-04-21,15.53,-0.09,-0.57618
2022-04-20,15.62,0.07,0.45016
2022-04-19,15.55,0.12,0.77771
2022-04-18,15.43,0.14,0.91563
2022-04-17,15.29,-0.07,-0.45573
2022-04-14,15.36,-0.2,-1.28535
2022-04-13,15.56,-0.03,-0.19243
2022-04-12,15.59,0.17,1.10246
2022-04-11,15.42,0.0,0.0
2022-04-10,15.42,-0.25,-1.59541
2022-04-07,15.67,0.12,0.7717
2022-04-06,15.55,-0.22,-1.39505
2022-04-05,15.77,-0.16,-1.00439
2022-03-31,15.93,0.06,0.37807
2022-03-30,15.87,-0.07,-0.43915
2022-03-29,15.94,0.13,0.82226
2022-03-28,15.81,0.02,0.12666
2022-03-27,15.79,-0.03,-0.18963
2022-03-24,15.82,0.01,0.06325
2022-03-23,15.81,0.03,0.19011
2022-03-22,15.78,0.14,0.89514
2022-03-21,15.64,0.09,0.57878
2022-03-20,15.55,0.11,0.71244
2022-03-17,15.44,-0.04,-0.2584
2022-03-16,15.48,0.37,2.44871
2022-03-15,15.11,-0.1,-0.65746
2022-03-14,15.21,-0.31,-1.99742
2022-03-13,15.52,-0.05,-0.32113
2022-03-10,15.57,-0.12,-0.76482
2022-03-09,15.69,0.31,2.0156
2022-03-08,15.38,0.19,1.25082
2022-03-07,15.19,-0.29,-1.87339
2022-03-06,15.48,-0.63,-3.91061
2022-03-03,16.11,-0.14,-0.86154
2022-03-02,16.25,0.07,0.43263
2022-03-01,16.18,-0.01,-0.06177
2022-02-28,16.19,0.18,1.1243
2022-02-24,16.01,0.14,0.88217
2022-02-23,15.87,-0.38,-2.33846
2022-02-22,16.25,0.19,1.18306
2022-02-21,16.06,-0.22,-1.35135
2022-02-20,16.28,-0.06,-0.3672
2022-02-17,16.34,0.08,0.492
2022-02-16,16.26,0.0,0.0
2022-02-15,16.26,0.24,1.49813
2022-02-14,16.02,-0.02,-0.12469
2022-02-13,16.04,-0.33,-2.01588
2022-02-10,16.37,-0.02,-0.12203
2022-02-09,16.39,0.07,0.42892
2022-02-08,16.32,0.18,1.11524
2022-02-07,16.14,0.12,0.74906
2022-02-06,16.02,0.16,1.00883
2022-01-25,15.86,-0.02,-0.12594
2022-01-24,15.88,-0.26,-1.6109
2022-01-23,16.14,0.1,0.62344
2022-01-20,16.04,-0.44,-2.6699
2022-01-19,16.48,0.01,0.06072
2022-01-18,16.47,-0.13,-0.78313
2022-01-17,16.6,0.03,0.18105
2022-01-16,16.57,0.11,0.66829
2022-01-13,16.46,0.03,0.18259
2022-01-12,16.43,0.02,0.12188
2022-01-11,16.41,0.08,0.4899
2022-01-10,16.33,-0.12,-0.72948
2022-01-09,16.45,-0.13,-0.78408
2022-01-06,16.58,-0.28,-1.66074
2022-01-05,16.86,-0.17,-0.99824
2022-01-04,17.03,-0.1,-0.58377
2022-01-03,17.13,0.0,0.0
2022-01-02,17.13,-0.08,-0.46485
2021-12-29,17.21,0.04,0.23296
2021-12-28,17.17,-0.07,-0.40603
2021-12-27,17.24,0.17,0.9959
2021-12-26,17.07,0.02,0.1173
2021-12-23,17.05,-0.01,-0.05862
2021-12-22,17.06,0.16,0.94675
2021-12-21,16.9,0.07,0.41592
2021-12-20,16.83,0.25,1.50784
2021-12-19,16.58,-0.25,-1.48544
2021-12-16,16.83,-0.08,-0.47309
2021-12-15,16.91,0.33,1.99035
2021-12-14,16.58,0.19,1.15924
2021-12-13,16.39,-0.3,-1.79748
2021-12-12,16.69,-0.04,-0.23909
2021-12-09,16.73,-0.06,-0.35736
2021-12-08,16.79,-0.12,-0.70964
2021-12-07,16.91,0.09,0.53508
2021-12-06,16.82,-0.04,-0.23725
2021-12-05,16.86,-0.07,-0.41347
2021-12-02,16.93,0.11,0.65398
2021-12-01,16.82,-0.01,-0.05942
2021-11-30,16.83,-0.15,-0.88339
2021-11-29,16.98,0.46,2.7845
2021-11-28,16.52,0.23,1.41191
2021-11-25,16.29,-0.21,-1.27273
2021-11-24,16.5,0.24,1.47601
2021-11-23,16.26,-0.07,-0.42866
2021-11-22,16.33,-0.25,-1.50784
2021-11-21,16.58,0.19,1.15924
2021-11-18,16.39,0.14,0.86154
2021-11-17,16.25,0.1,0.6192
2021-11-16,16.15,0.06,0.3729
2021-11-15,16.09,0.09,0.5625
2021-11-14,16.0,0.21,1.32996
2021-11-11,15.79,0.19,1.21795
2021-11-10,15.6,-0.08,-0.5102
2021-11-09,15.68,0.07,0.44843
2021-11-08,15.61,0.18,1.16656
2021-11-07,15.43,-0.06,-0.38735
2021-11-04,15.49,0.25,1.64042
2021-11-03,15.24,-0.09,-0.58708
2021-11-02,15.33,-0.06,-0.38986
2021-11-01,15.39,-0.02,-0.12979
2021-10-31,15.41,0.23,1.51515
2021-10-28,15.18,0.16,1.06525
2021-10-27,15.02,-0.05,-0.33179
2021-10-26,15.07,0.33,2.23881
2021-10-25,14.74,0.01,0.06789
2021-10-24,14.73,0.12,0.82136
2021-10-21,14.61,0.14,0.96752
2021-10-20,14.47,-0.1,-0.68634
2021-10-19,14.57,0.08,0.5521
2021-10-18,14.49,0.35,2.47525
2021-10-17,14.14,-0.05,-0.35236
2021-10-14,14.19,0.34,2.45487
2021-10-13,13.85,0.07,0.50798
2021-10-12,13.78,-0.25,-1.7819
2021-10-11,14.03,-0.31,-2.16179
2021-10-07,14.34,-0.03,-0.20877
2021-10-06,14.37,0.39,2.7897
2021-10-05,13.98,-0.14,-0.9915
2021-10-04,14.12,0.16,1.14613
2021-10-03,13.96,-0.36,-2.51397
2021-09-30,14.32,-0.42,-2.84939
2021-09-29,14.74,0.2,1.37552
2021-09-28,14.54,-0.6,-3.96301
2021-09-27,15.14,-0.24,-1.56047
2021-09-26,15.38,-0.21,-1.34702
2021-09-23,15.59,0.23,1.4974
2021-09-22,15.36,0.22,1.4531
2021-09-21,15.14,-0.35,-2.25952
2021-09-16,15.49,0.12,0.78074
2021-09-15,15.37,-0.06,-0.38885
2021-09-14,15.43,-0.1,-0.64392
2021-09-13,15.53,-0.08,-0.51249
2021-09-12,15.61,-0.31,-1.94724
2021-09-09,15.92,0.3,1.92061
2021-09-08,15.62,0.24,1.56047
2021-09-07,15.38,-0.45,-2.8427
2021-09-06,15.83,-0.09,-0.56533
2021-09-05,15.92,-0.16,-0.99502
2021-09-02,16.08,0.22,1.38714
2021-09-01,15.86,-0.15,-0.93691
2021-08-31,16.01,0.08,0.5022
2021-08-30,15.93,-0.03,-0.18797
2021-08-29,15.96,0.15,0.94877
2021-08-26,15.81,0.09,0.57252
2021-08-25,15.72,0.02,0.12739
2021-08-24,15.7,0.24,1.55239
2021-08-23,15.46,-0.04,-0.25806
2021-08-22,15.5,0.47,3.12708
2021-08-19,15.03,0.21,1.417
2021-08-18,14.82,-0.42,-2.75591
2021-08-17,15.24,0.53,3.60299
2021-08-16,14.71,-0.35,-2.32404
2021-08-15,15.06,-0.11,-0.72512
2021-08-12,15.17,-0.43,-2.75641
2021-08-11,15.6,0.21,1.36452
2021-08-10,15.39,-0.34,-2.16147
2021-08-09,15.73,-0.15,-0.94458
2021-08-08,15.88,-0.28,-1.73267
2021-08-05,16.16,-0.11,-0.67609
2021-08-04,16.27,0.04,0.24646
2021-08-03,16.23,0.06,0.37106
2021-08-02,16.17,0.26,1.63419
2021-08-01,15.91,0.11,0.6962
2021-07-29,15.8,-0.36,-2.22772
2021-07-28,16.16,0.53,3.39091
2021-07-27,15.63,-0.27,-1.69811
2021-07-26,15.9,-0.42,-2.57353
2021-07-25,16.32,0.19,1.17793
2021-07-22,16.13,-0.11,-0.67734
2021-07-21,16.24,0.09,0.55728
2021-07-20,16.15,-0.11,-0.67651
2021-07-19,16.26,-0.41,-2.45951
2021-07-18,16.67,0.1,0.6035
2021-07-15,16.57,0.14,0.8521
2021-07-14,16.43,0.23,1.41975
2021-07-13,16.2,-0.08,-0.4914
2021-07-12,16.28,-0.25,-1.5124
2021-07-11,16.53,0.13,0.79268
2021-07-08,16.4,-0.27,-1.61968
2021-07-07,16.67,0.11,0.66425
2021-07-06,16.56,-0.03,-0.18083
2021-07-05,16.59,0.2,1.22026
2021-07-04,16.39,0.36,2.24579
2021-07-01,16.03,0.09,0.56462
2021-06-30,15.94,0.02,0.12563
2021-06-29,15.92,0.36,2.31362
2021-06-28,15.56,-0.05,-0.32031
2021-06-27,15.61,0.3,1.9595
2021-06-24,15.31,0.03,0.19634
2021-06-23,15.28,0.2,1.32626
2021-06-22,15.08,-0.06,-0.3963
2021-06-21,15.14,0.03,0.19854
2021-06-20,15.11,-0.01,-0.06614
2021-06-17,15.12,0.01,0.06618
2021-06-16,15.11,0.3,2.02566
2021-06-15,14.81,-0.18,-1.2008
2021-06-14,14.99,0.32,2.18132
2021-06-10,14.67,0.07,0.47945
2021-06-09,14.6,0.01,0.06854
2021-06-08,14.59,-0.17,-1.15176
2021-06-07,14.76,0.1,0.68213
2021-06-06,14.66,-0.03,-0.20422
2021-06-03,14.69,-0.15,-1.01078
2021-06-02,14.84,0.19,1.29693
2021-06-01,14.65,-0.05,-0.34014
2021-05-31,14.7,0.19,1.30944
2021-05-30,14.51,0.21,1.46853
2021-05-27,14.3,0.3,2.14286
2021-05-26,14.0,0.08,0.57471
2021-05-25,13.92,0.09,0.65076
2021-05-24,13.83,0.04,0.29007
2021-05-23,13.79,0.1,0.73046
2021-05-20,13.69,0.32,2.39342
2021-05-19,13.37,-0.19,-1.40118
2021-05-18,13.56,0.2,1.49701
2021-05-17,13.36,0.69,5.44594
2021-05-16,12.67,-0.5,-3.79651
2021-05-13,13.17,-0.14,-1.05184
2021-05-12,13.31,-0.25,-1.84366
2021-05-11,13.56,-0.65,-4.57424
2021-05-10,14.21,-0.56,-3.79147
2021-05-09,14.77,0.02,0.13559
2021-05-06,14.75,0.3,2.07612
2021-05-05,14.45,0.11,0.76709
2021-05-04,14.34,-0.17,-1.17161
2021-05-03,14.51,-0.48,-3.20213
2021-05-02,14.99,-0.39,-2.53576
2021-04-28,15.38,0.09,0.58862
2021-04-27,15.29,0.24,1.59468
2021-04-26,15.05,0.17,1.14247
2021-04-25,14.88,0.4,2.76243
2021-04-22,14.48,0.25,1.75685
2021-04-21,14.23,-0.14,-0.97425
2021-04-20,14.37,0.21,1.48305
2021-04-19,14.16,0.16,1.14286
2021-04-18,14.0,0.14,1.0101
2021-04-15,13.86,0.18,1.31579
2021-04-14,13.68,0.22,1.63447
2021-04-13,13.46,-0.05,-0.3701
2021-04-12,13.51,-0.05,-0.36873
2021-04-11,13.56,0.06,0.44444
2021-04-08,13.5,-0.06,-0.44248
2021-04-07,13.56,0.11,0.81784
2021-04-06,13.45,0.12,0.90023
2021-04-05,13.33,0.18,1.36882
2021-03-31,13.15,0.06,0.45837
2021-03-30,13.09,-0.09,-0.68285
2021-03-29,13.18,0.16,1.22888
2021-03-28,13.02,0.1,0.77399
2021-03-25,12.92,0.25,1.97316
2021-03-24,12.67,-0.05,-0.39308
2021-03-23,12.72,-0.01,-0.07855
2021-03-22,12.73,-0.06,-0.46912
2021-03-21,12.79,0.11,0.86751
2021-03-18,12.68,-0.19,-1.4763
2021-03-17,12.87,0.12,0.94118
2021-03-16,12.75,0.05,0.3937
2021-03-15,12.7,0.02,0.15773
2021-03-14,12.68,-0.02,-0.15748
2021-03-11,12.7,0.03,0.23678
2021-03-10,12.67,0.3,2.42522
2021-03-09,12.37,0.07,0.56911
2021-03-08,12.3,-0.08,-0.6462
2021-03-07,12.38,-0.09,-0.72173
2021-03-04,12.47,-0.07,-0.55821
2021-03-03,12.54,-0.27,-2.10773
2021-03-02,12.81,0.02,0.15637
2021-03-01,12.79,-0.09,-0.69876
2021-02-25,12.88,-0.39,-2.93896
2021-02-24,13.27,0.11,0.83587
2021-02-23,13.16,-0.15,-1.12697
2021-02-22,13.31,-0.18,-1.33432
2021-02-21,13.49,0.12,0.89753
2021-02-18,13.37,-0.06,-0.44676
2021-02-17,13.43,0.02,0.14914
2021-02-16,13.41,0.53,4.11491
2021-02-04,12.88,0.13,1.01961
2021-02-03,12.75,-0.14,-1.08611
2021-02-02,12.89,0.01,0.07764
2021-02-01,12.88,0.36,2.8754
2021-01-31,12.52,0.2,1.62338
2021-01-28,12.32,-0.32,-2.53165
2021-01-27,12.64,-0.38,-2.91859
2021-01-26,13.02,0.11,0.85205
2021-01-25,12.91,-0.2,-1.52555
2021-01-24,13.11,-0.09,-0.68182
2021-01-21,13.2,0.21,1.61663
2021-01-20,12.99,0.33,2.60664
2021-01-19,12.66,-0.04,-0.31496
2021-01-18,12.7,0.26,2.09003
2021-01-17,12.44,-0.01,-0.08032
2021-01-14,12.45,-0.11,-0.8758
2021-01-13,12.56,-0.07,-0.55424
2021-01-12,12.63,0.3,2.43309
2021-01-11,12.33,-0.09,-0.72464
2021-01-10,12.42,0.18,1.47059
2021-01-07,12.24,0.17,1.40845
2021-01-06,12.07,0.19,1.59933
2021-01-05,11.88,0.1,0.8489
2021-01-04,11.78,0.11,0.94259
2021-01-03,11.67,0.18,1.56658
2020-12-30,11.49,0.02,0.17437
2020-12-29,11.47,0.11,0.96831
2020-12-28,11.36,-0.04,-0.35088
2020-12-27,11.4,0.17,1.5138
2020-12-24,11.23,0.04,0.35746
2020-12-23,11.19,0.02,0.17905
2020-12-22,11.17,0.18,1.63785
