tradeDate,nav,change,changePercent
2022-08-31,10.508,0.0018,0.01713
2022-08-30,10.5062,0.0121,0.1153
2022-08-29,10.4941,-0.0274,-0.26042
2022-08-28,10.5215,-0.0093,-0.08831
2022-08-25,10.5308,0.0191,0.1817
2022-08-24,10.5117,0.0016,0.01522
2022-08-23,10.5101,0.0058,0.05522
2022-08-22,10.5043,0.0149,0.14205
2022-08-21,10.4894,-0.0247,-0.23492
2022-08-18,10.5141,-0.0128,-0.12159
2022-08-17,10.5269,0.0117,0.11127
2022-08-16,10.5152,-0.0073,-0.06938
2022-08-15,10.5225,0.0132,0.1256
2022-08-14,10.5093,0.006,0.05712
2022-08-11,10.5033,0.0119,0.11343
2022-08-10,10.4914,0.0254,0.24269
2022-08-09,10.466,0.0072,0.06884
2022-08-08,10.4588,-0.0051,-0.04874
2022-08-07,10.4639,0.0211,0.20205
2022-08-04,10.4428,-0.0066,-0.06316
2022-08-03,10.4494,0.0066,0.0632
2022-08-02,10.4428,0.0161,0.15441
2022-08-01,10.4267,0.0139,0.13349
2022-07-31,10.4128,0.0136,0.13078
2022-07-28,10.3992,0.0087,0.08373
2022-07-27,10.3905,0.0463,0.44759
2022-07-26,10.3442,0.0033,0.03191
2022-07-25,10.3409,0.0031,0.02999
2022-07-24,10.3378,0.007,0.06776
2022-07-21,10.3308,0.0149,0.14444
2022-07-20,10.3159,0.0312,0.30336
2022-07-19,10.2847,0.0282,0.27495
2022-07-18,10.2565,-0.009,-0.08767
2022-07-17,10.2655,0.002,0.01949
2022-07-14,10.2635,0.0097,0.0946
2022-07-13,10.2538,-0.0562,-0.5451
2022-07-12,10.31,-0.0371,-0.35855
2022-07-11,10.3471,-0.0453,-0.4359
2022-07-10,10.3924,-0.0155,-0.14893
2022-07-07,10.4079,-0.0046,-0.04418
2022-07-06,10.4125,-0.0089,-0.0854
2022-07-05,10.4214,-0.0862,-0.82036
2022-07-04,10.5076,-0.0457,-0.43304
2022-06-30,10.5533,0.0237,0.22508
2022-06-29,10.5296,-0.0091,-0.08635
2022-06-28,10.5387,-0.01,-0.0948
2022-06-27,10.5487,-0.0197,-0.1864
2022-06-26,10.5684,0.0016,0.01514
2022-06-23,10.5668,-0.0004,-0.00379
2022-06-22,10.5672,-0.0253,-0.23885
2022-06-21,10.5925,0.0262,0.24796
2022-06-20,10.5663,-0.0156,-0.14742
2022-06-16,10.5819,-0.0277,-0.26108
2022-06-15,10.6096,-0.009,-0.08476
2022-06-14,10.6186,0.0221,0.20856
2022-06-13,10.5965,-0.0289,-0.27199
2022-06-12,10.6254,-0.0451,-0.42266
2022-06-09,10.6705,-0.0204,-0.19082
2022-06-08,10.6909,-0.0191,-0.17834
2022-06-07,10.71,0.0123,0.11498
2022-06-06,10.6977,0.002,0.0187
2022-06-05,10.6957,0.0131,0.12263
2022-06-01,10.6826,0.0038,0.03558
2022-05-31,10.6788,-0.0149,-0.13933
2022-05-30,10.6937,0.0052,0.04865
2022-05-26,10.6885,0.0015,0.01404
2022-05-25,10.687,0.0172,0.1612
2022-05-24,10.6698,0.0234,0.21979
2022-05-23,10.6464,0.0125,0.11755
2022-05-22,10.6339,0.0501,0.47336
2022-05-19,10.5838,0.0012,0.01134
2022-05-18,10.5826,0.0011,0.0104
2022-05-17,10.5815,-0.0048,-0.04534
2022-05-16,10.5863,-0.0162,-0.15279
2022-05-15,10.6025,0.0063,0.05946
2022-05-12,10.5962,-0.0041,-0.03868
2022-05-11,10.6003,-0.0146,-0.13754
2022-05-10,10.6149,0.0187,0.17648
2022-05-09,10.5962,-0.0119,-0.11218
2022-05-08,10.6081,-0.0041,-0.03863
2022-05-05,10.6122,-0.0085,-0.08003
2022-05-04,10.6207,-0.0158,-0.14855
2022-05-03,10.6365,0.0145,0.13651
2022-05-02,10.622,-0.0118,-0.11097
2022-04-28,10.6338,-0.0122,-0.1146
2022-04-27,10.646,-0.0019,-0.01784
2022-04-26,10.6479,-0.0018,-0.0169
2022-04-25,10.6497,0.007,0.06577
2022-04-24,10.6427,-0.006,-0.05634
2022-04-21,10.6487,0.0011,0.01033
2022-04-20,10.6476,-0.0848,-0.79013
2022-04-19,10.7324,0.0076,0.07086
2022-04-18,10.7248,-0.0123,-0.11456
2022-04-17,10.7371,-0.001,-0.00931
2022-04-13,10.7381,0.006,0.05591
2022-04-12,10.7321,0.0034,0.03169
