tradeDate,nav,change,changePercent
2022-08-30,7.83,-0.04,-0.50826
2022-08-29,7.87,-0.03,-0.37975
2022-08-28,7.9,-0.01,-0.12642
2022-08-25,7.91,-0.03,-0.37783
2022-08-24,7.94,0.06,0.76142
2022-08-23,7.88,0.02,0.25445
2022-08-22,7.86,-0.1,-1.25628
2022-08-21,7.96,-0.06,-0.74813
2022-08-18,8.02,-0.04,-0.49628
2022-08-17,8.06,0.01,0.12422
2022-08-16,8.05,-0.06,-0.73983
2022-08-15,8.11,0.0,0.0
2022-08-14,8.11,0.01,0.12346
2022-08-11,8.1,0.02,0.24752
2022-08-10,8.08,-0.02,-0.24691
2022-08-09,8.1,0.04,0.49628
2022-08-08,8.06,-0.05,-0.61652
2022-08-07,8.11,-0.01,-0.12315
2022-08-04,8.12,-0.06,-0.7335
2022-08-03,8.18,0.0,0.0
2022-08-02,8.18,0.02,0.2451
2022-08-01,8.16,0.08,0.9901
2022-07-31,8.08,-0.04,-0.49261
2022-07-28,8.12,0.06,0.74442
2022-07-27,8.06,0.05,0.62422
2022-07-26,8.01,0.01,0.125
2022-07-25,8.0,0.0,0.0
2022-07-24,8.0,0.01,0.12516
2022-07-21,7.99,0.04,0.50314
2022-07-20,7.95,0.02,0.25221
2022-07-19,7.93,0.04,0.50697
2022-07-18,7.89,0.01,0.1269
2022-07-17,7.88,0.01,0.12706
2022-07-14,7.87,0.04,0.51086
2022-07-13,7.83,-0.02,-0.25478
2022-07-12,7.85,-0.02,-0.25413
2022-07-11,7.87,0.0,0.0
2022-07-10,7.87,0.01,0.12723
2022-07-07,7.86,0.03,0.38314
2022-07-06,7.83,0.02,0.25608
2022-07-05,7.81,-0.03,-0.38265
2022-07-04,7.84,-0.01,-0.12739
2022-06-30,7.85,0.02,0.25543
2022-06-29,7.83,-0.03,-0.38168
2022-06-28,7.86,0.02,0.2551
2022-06-27,7.84,-0.01,-0.12739
2022-06-26,7.85,0.0,0.0
2022-06-23,7.85,0.02,0.25543
2022-06-22,7.83,0.02,0.25608
2022-06-21,7.81,0.03,0.3856
2022-06-20,7.78,0.06,0.7772
2022-06-16,7.72,-0.01,-0.12937
2022-06-15,7.73,-0.09,-1.1509
2022-06-14,7.82,0.08,1.03359
2022-06-13,7.74,-0.02,-0.25773
2022-06-12,7.76,-0.17,-2.14376
2022-06-09,7.93,-0.1,-1.24533
2022-06-08,8.03,-0.05,-0.61881
2022-06-07,8.08,-0.01,-0.12361
2022-06-06,8.09,0.02,0.24783
2022-06-05,8.07,-0.03,-0.37037
2022-06-01,8.1,0.0,0.0
2022-05-31,8.1,-0.06,-0.73529
2022-05-30,8.16,-0.02,-0.2445
2022-05-26,8.18,0.1,1.23762
