tradeDate,nav,change,changePercent
2022-08-30,8.73,-0.04,-0.4561
2022-08-29,8.77,-0.03,-0.34091
2022-08-28,8.8,-0.04,-0.45249
2022-08-25,8.84,-0.05,-0.56243
2022-08-24,8.89,0.09,1.02273
2022-08-23,8.8,0.04,0.45662
2022-08-22,8.76,-0.15,-1.6835
2022-08-21,8.91,-0.08,-0.88988
2022-08-18,8.99,-0.05,-0.5531
2022-08-17,9.04,0.02,0.22173
2022-08-16,9.02,-0.09,-0.98793
2022-08-15,9.11,-0.01,-0.10965
2022-08-14,9.12,0.02,0.21978
2022-08-11,9.1,0.03,0.33076
2022-08-10,9.07,-0.01,-0.11013
2022-08-09,9.08,0.04,0.44248
2022-08-08,9.04,-0.1,-1.09409
2022-08-07,9.14,-0.02,-0.21834
2022-08-04,9.16,-0.11,-1.18662
2022-08-03,9.27,0.01,0.10799
2022-08-02,9.26,0.04,0.43384
2022-08-01,9.22,0.16,1.766
2022-07-31,9.06,-0.07,-0.7667
2022-07-28,9.13,0.12,1.33185
2022-07-27,9.01,0.05,0.55804
2022-07-26,8.96,0.0,0.0
2022-07-25,8.96,0.0,0.0
2022-07-24,8.96,0.01,0.11173
2022-07-21,8.95,0.02,0.22396
2022-07-20,8.93,0.02,0.22447
2022-07-19,8.91,0.03,0.33784
2022-07-18,8.88,0.03,0.33898
2022-07-17,8.85,0.01,0.11312
2022-07-14,8.84,0.04,0.45455
2022-07-13,8.8,0.0,0.0
2022-07-12,8.8,0.01,0.11377
2022-07-11,8.79,-0.02,-0.22701
2022-07-10,8.81,0.04,0.4561
2022-07-07,8.77,0.04,0.45819
2022-07-06,8.73,0.02,0.22962
2022-07-05,8.71,0.0,0.0
2022-07-04,8.71,0.0,0.0
2022-06-30,8.71,0.02,0.23015
2022-06-29,8.69,-0.03,-0.34404
2022-06-28,8.72,0.02,0.22989
2022-06-27,8.7,-0.01,-0.11481
2022-06-26,8.71,-0.01,-0.11468
2022-06-23,8.72,0.04,0.46083
2022-06-22,8.68,0.03,0.34682
2022-06-21,8.65,,
2022-06-20,8.62,0.08,0.93677
2022-06-16,8.54,0.0,0.0
2022-06-15,8.54,-0.1,-1.15741
2022-06-14,8.64,0.11,1.28957
2022-06-13,8.53,-0.03,-0.35047
2022-06-12,8.56,-0.24,-2.72727
2022-06-09,8.8,-0.12,-1.34529
2022-06-08,8.92,-0.06,-0.66815
2022-06-07,8.98,-0.04,-0.44346
2022-06-06,9.02,0.04,0.44543
2022-06-05,8.98,-0.04,-0.44346
2022-06-01,9.02,-0.01,-0.11074
2022-05-31,9.03,-0.11,-1.2035
2022-05-30,9.14,-0.04,-0.43573
2022-05-26,9.18,0.15,1.66113
2022-05-25,9.03,0.07,0.78125
2022-05-24,8.96,0.11,1.24294
2022-05-23,8.85,0.04,0.45403
2022-05-22,8.81,0.02,0.22753
2022-05-19,8.79,0.0,0.0
2022-05-18,8.79,0.04,0.45714
2022-05-17,8.75,0.01,0.11442
2022-05-16,8.74,-0.01,-0.11429
2022-05-15,8.75,0.07,0.80645
2022-05-12,8.68,0.04,0.46296
2022-05-11,8.64,0.03,0.34843
2022-05-10,8.61,0.0,0.0
2022-05-09,8.61,0.03,0.34965
2022-05-08,8.58,-0.1,-1.15207
2022-05-05,8.68,-0.1,-1.13895
2022-05-04,8.78,-0.08,-0.90293
2022-05-03,8.86,0.13,1.48912
2022-05-02,8.73,-0.21,-2.34899
2022-04-28,8.94,-0.04,-0.44543
2022-04-27,8.98,0.09,1.01237
2022-04-26,8.89,-0.08,-0.89186
2022-04-25,8.97,-0.03,-0.33333
2022-04-24,9.0,0.01,0.11123
2022-04-21,8.99,-0.04,-0.44297
2022-04-20,9.03,-0.05,-0.55066
2022-04-19,9.08,0.03,0.33149
2022-04-18,9.05,-0.02,-0.22051
2022-04-17,9.07,-0.02,-0.22002
2022-04-13,9.09,-0.03,-0.32895
2022-04-12,9.12,0.02,0.21978
2022-04-11,9.1,0.01,0.11001
2022-04-10,9.09,-0.08,-0.87241
2022-04-07,9.17,-0.04,-0.43431
2022-04-06,9.21,0.04,0.43621
2022-04-05,9.17,-0.16,-1.7149
2022-03-31,9.33,-0.08,-0.85016
2022-03-30,9.41,0.01,0.10638
2022-03-29,9.4,0.03,0.32017
2022-03-28,9.37,0.08,0.86114
2022-03-27,9.29,0.05,0.54113
2022-03-24,9.24,-0.05,-0.53821
2022-03-23,9.29,0.01,0.10776
2022-03-22,9.28,0.0,0.0
2022-03-21,9.28,-0.02,-0.21505
2022-03-20,9.3,-0.04,-0.42827
2022-03-17,9.34,0.03,0.32223
2022-03-16,9.31,0.08,0.86674
2022-03-15,9.23,0.06,0.65431
2022-03-14,9.17,0.06,0.65862
2022-03-13,9.11,-0.11,-1.19306
2022-03-10,9.22,-0.03,-0.32432
2022-03-09,9.25,-0.02,-0.21575
2022-03-08,9.27,0.03,0.32468
2022-03-07,9.24,0.0,0.0
2022-03-06,9.24,-0.07,-0.75188
2022-03-03,9.31,-0.04,-0.42781
2022-03-02,9.35,-0.01,-0.10684
2022-03-01,9.36,0.04,0.42918
2022-02-28,9.32,-0.07,-0.74547
2022-02-24,9.39,0.07,0.75107
2022-02-23,9.32,-0.02,-0.21413
2022-02-22,9.34,-0.02,-0.21368
2022-02-21,9.36,-0.04,-0.42553
2022-02-17,9.4,0.01,0.1065
2022-02-16,9.39,-0.02,-0.21254
2022-02-15,9.41,0.06,0.64171
2022-02-14,9.35,0.05,0.53763
2022-02-13,9.3,-0.05,-0.53476
2022-02-10,9.35,-0.08,-0.84836
2022-02-09,9.43,-0.04,-0.42239
2022-02-08,9.47,0.01,0.10571
2022-02-07,9.46,-0.04,-0.42105
2022-02-06,9.5,-0.19,-1.96078
2022-01-25,9.69,-0.04,-0.4111
2022-01-24,9.73,-0.02,-0.20513
2022-01-23,9.75,-0.02,-0.20471
2022-01-20,9.77,-0.02,-0.20429
2022-01-19,9.79,-0.03,-0.3055
2022-01-18,9.82,-0.02,-0.20325
2022-01-17,9.84,-0.05,-0.50556
2022-01-13,9.89,-0.01,-0.10101
2022-01-12,9.9,0.0,0.0
2022-01-11,9.9,-0.02,-0.20161
2022-01-10,9.92,0.03,0.30334
2022-01-09,9.89,-0.03,-0.30242
2022-01-06,9.92,-0.01,-0.1007
2022-01-05,9.93,0.02,0.20182
2022-01-04,9.91,-0.08,-0.8008
2022-01-03,9.99,-0.13,-1.28458
2022-01-02,10.12,0.0,0.0
2021-12-29,10.12,0.02,0.19802
2021-12-28,10.1,0.03,0.29791
2021-12-27,10.07,0.04,0.3988
2021-12-26,10.03,0.0,0.0
2021-12-22,10.03,0.01,0.0998
2021-12-21,10.02,0.04,0.4008
2021-12-20,9.98,0.04,0.40241
2021-12-19,9.94,-0.01,-0.1005
2021-12-16,9.95,-0.03,-0.3006
2021-12-15,9.98,0.04,0.40241
2021-12-14,9.94,0.03,0.30272
2021-12-13,9.91,-0.03,-0.30181
2021-12-12,9.94,0.0,0.0
2021-12-09,9.94,0.02,0.20161
2021-12-08,9.92,-0.01,-0.1007
2021-12-07,9.93,0.0,0.0
2021-12-06,9.93,0.04,0.40445
2021-12-05,9.89,0.05,0.50813
2021-12-02,9.84,-0.02,-0.20284
2021-12-01,9.86,0.03,0.30519
2021-11-30,9.83,-0.07,-0.70707
2021-11-29,9.9,-0.03,-0.30211
2021-11-28,9.93,0.04,0.40445
2021-11-25,9.89,-0.06,-0.60302
