tradeDate,nav,change,changePercent
2022-08-30,8.5281,-0.0478,-0.55738
2022-08-29,8.5759,-0.0071,-0.08272
2022-08-28,8.583,-0.0255,-0.29622
2022-08-25,8.6085,0.0334,0.3895
2022-08-24,8.5751,-0.0047,-0.05478
2022-08-23,8.5798,0.0128,0.14941
2022-08-22,8.567,-0.0337,-0.39183
2022-08-21,8.6007,-0.0204,-0.23663
2022-08-18,8.6211,-0.0061,-0.07071
2022-08-17,8.6272,-0.0055,-0.06371
2022-08-16,8.6327,-0.0263,-0.30373
2022-08-15,8.659,0.0,0.0
2022-08-14,8.659,0.0456,0.52941
2022-08-11,8.6134,-0.0006,-0.00697
2022-08-10,8.614,0.0358,0.41734
2022-08-09,8.5782,-0.0164,-0.19082
2022-08-08,8.5946,-0.0076,-0.08835
2022-08-07,8.6022,0.006,0.0698
2022-08-04,8.5962,-0.0293,-0.33969
2022-08-03,8.6255,0.0165,0.19166
2022-08-02,8.609,-0.0099,-0.11486
2022-08-01,8.6189,-0.0111,-0.12862
2022-07-31,8.63,0.0379,0.4411
2022-07-28,8.5921,0.0506,0.5924
2022-07-27,8.5415,0.0273,0.32064
2022-07-26,8.5142,-0.0079,-0.0927
2022-07-25,8.5221,0.0139,0.16337
2022-07-24,8.5082,0.0047,0.05527
2022-07-21,8.5035,0.0345,0.40737
2022-07-20,8.469,0.0304,0.36025
2022-07-19,8.4386,0.0462,0.5505
2022-07-18,8.3924,-0.0069,-0.08215
2022-07-17,8.3993,0.0157,0.18727
2022-07-14,8.3836,0.0033,0.03938
2022-07-13,8.3803,0.0137,0.16375
2022-07-12,8.3666,-0.0147,-0.17539
2022-07-11,8.3813,0.004,0.04775
2022-07-10,8.3773,0.0362,0.434
2022-07-07,8.3411,0.0015,0.01799
2022-07-06,8.3396,-0.0359,-0.42863
2022-07-05,8.3755,-0.0079,-0.09423
2022-07-04,8.3834,0.0183,0.21877
2022-07-03,8.3651,-0.0048,-0.05735
2022-06-30,8.3699,0.0251,0.30079
2022-06-29,8.3448,-0.0257,-0.30703
2022-06-28,8.3705,-0.0349,-0.41521
2022-06-27,8.4054,-0.0062,-0.07371
2022-06-26,8.4116,0.013,0.15479
2022-06-23,8.3986,-0.0074,-0.08803
2022-06-22,8.406,0.0097,0.11553
2022-06-21,8.3963,,
2022-06-20,8.395,0.0014,0.01668
2022-06-19,8.3936,,
2022-06-16,8.4149,0.0187,0.22272
2022-06-15,8.3962,-0.0471,-0.55784
2022-06-14,8.4433,-0.0183,-0.21627
2022-06-13,8.4616,-0.0782,-0.91571
2022-06-12,8.5398,-0.1,-1.15743
2022-06-09,8.6398,-0.0207,-0.23902
2022-06-08,8.6605,-0.0204,-0.235
2022-06-07,8.6809,-0.0129,-0.14838
2022-06-06,8.6938,-0.0141,-0.16192
2022-06-05,8.7079,-0.0167,-0.19141
2022-06-01,8.7246,-0.045,-0.51314
2022-05-31,8.7696,0.0134,0.15303
2022-05-30,8.7562,-0.0089,-0.10154
2022-05-29,8.7651,-0.0234,-0.26626
2022-05-26,8.7885,0.0262,0.29901
2022-05-25,8.7623,0.0899,1.03662
2022-05-24,8.6724,0.0671,0.77975
2022-05-23,8.6053,0.0058,0.06745
2022-05-22,8.5995,-0.0279,-0.32339
2022-05-19,8.6274,0.0141,0.1637
2022-05-18,8.6133,-0.0607,-0.69979
2022-05-17,8.674,-0.0013,-0.01499
2022-05-16,8.6753,-0.04,-0.45896
2022-05-15,8.7153,0.0097,0.11142
2022-05-12,8.7056,-0.0218,-0.24979
2022-05-11,8.7274,0.0378,0.435
2022-05-10,8.6896,0.0056,0.06449
2022-05-09,8.684,-0.0148,-0.17014
2022-05-08,8.6988,-0.0424,-0.48506
2022-05-05,8.7412,-0.0604,-0.68624
2022-05-04,8.8016,0.0378,0.43132
2022-05-03,8.7638,0.0128,0.14627
2022-05-02,8.751,-0.0533,-0.60539
2022-04-28,8.8043,-0.0332,-0.37567
2022-04-27,8.8375,0.0385,0.43755
2022-04-26,8.799,-0.0205,-0.23244
2022-04-25,8.8195,0.0303,0.34474
2022-04-24,8.7892,-0.0052,-0.05913
2022-04-21,8.7944,0.0043,0.04892
2022-04-20,8.7901,0.0267,0.30468
2022-04-19,8.7634,0.0322,0.36879
2022-04-18,8.7312,-0.0083,-0.09497
2022-04-17,8.7395,-0.0018,-0.02059
2022-04-14,8.7413,-0.0087,-0.09943
2022-04-13,8.75,-0.0092,-0.10503
2022-04-12,8.7592,0.0171,0.19561
2022-04-11,8.7421,0.0077,0.08816
2022-04-10,8.7344,-0.0617,-0.70145
2022-04-07,8.7961,-0.015,-0.17024
2022-04-06,8.8111,-0.0225,-0.25471
2022-04-05,8.8336,-0.0363,-0.40925
2022-03-31,8.8699,0.0155,0.17505
