tradeDate,nav,change,changePercent
2022-08-30,9.066,-0.015,-0.16518
2022-08-29,9.081,-0.0006,-0.00661
2022-08-28,9.0816,-0.0234,-0.257
2022-08-25,9.105,0.0189,0.20801
2022-08-24,9.0861,0.0344,0.38004
2022-08-23,9.0517,0.0049,0.05416
2022-08-22,9.0468,0.0094,0.10401
2022-08-21,9.0374,-0.0329,-0.36272
2022-08-18,9.0703,-0.0276,-0.30337
2022-08-17,9.0979,-0.0024,-0.02637
2022-08-16,9.1003,-0.0268,-0.29363
2022-08-15,9.1271,-0.0102,-0.11163
2022-08-14,9.1373,0.0223,0.24465
2022-08-11,9.115,0.0044,0.0483
2022-08-10,9.1106,0.0562,0.62069
2022-08-09,9.0544,0.013,0.14378
2022-08-08,9.0414,-0.0072,-0.07957
2022-08-07,9.0486,0.0068,0.07521
2022-08-04,9.0418,-0.003,-0.03317
2022-08-03,9.0448,0.0206,0.22828
2022-08-02,9.0242,-0.0227,-0.25091
2022-08-01,9.0469,-0.0042,-0.0464
2022-07-31,9.0511,0.0141,0.15603
2022-07-28,9.037,0.044,0.48927
2022-07-27,8.993,0.0457,0.51077
2022-07-26,8.9473,-0.0016,-0.01788
2022-07-25,8.9489,0.0194,0.21726
2022-07-24,8.9295,0.0379,0.42624
2022-07-21,8.8916,0.0417,0.47119
2022-07-20,8.8499,0.0467,0.53049
2022-07-19,8.8032,0.0207,0.2357
2022-07-18,8.7825,-0.0326,-0.36982
2022-07-17,8.8151,0.0078,0.08856
2022-07-14,8.8073,-0.0125,-0.14173
2022-07-13,8.8198,-0.0282,-0.31872
2022-07-12,8.848,-0.0151,-0.17037
2022-07-11,8.8631,-0.0639,-0.71581
2022-07-10,8.927,-0.0252,-0.2815
2022-07-07,8.9522,-0.0147,-0.16394
2022-07-06,8.9669,-0.0389,-0.43194
2022-07-05,9.0058,-0.0282,-0.31215
2022-07-04,9.034,-0.02,-0.2209
2022-07-03,9.054,0.0318,0.35246
2022-06-29,9.0222,0.0045,0.0499
2022-06-28,9.0177,-0.0337,-0.37232
2022-06-27,9.0514,-0.0269,-0.29631
2022-06-26,9.0783,0.0079,0.0871
2022-06-23,9.0704,-0.0179,-0.19696
2022-06-22,9.0883,-0.0108,-0.11869
2022-06-21,9.0991,,
2022-06-20,9.0991,-0.0059,-0.0648
2022-06-19,9.105,0.0058,0.06374
