tradeDate,nav,change,changePercent
2022-08-31,31.9356,-0.595,-1.82905
2022-08-30,32.5306,-0.3028,-0.92223
2022-08-29,32.8334,0.1352,0.41348
2022-08-28,32.6982,-0.165,-0.50208
2022-08-25,32.8632,0.0194,0.05907
2022-08-24,32.8438,0.4134,1.27473
2022-08-23,32.4304,-0.1101,-0.33835
2022-08-22,32.5405,0.1091,0.3364
2022-08-21,32.4314,-0.1898,-0.58183
2022-08-18,32.6212,-0.5588,-1.68415
2022-08-17,33.18,0.0742,0.22413
2022-08-16,33.1058,-0.361,-1.07868
2022-08-15,33.4668,-0.1416,-0.42132
2022-08-14,33.6084,0.1406,0.42011
2022-08-11,33.4678,0.4042,1.22249
2022-08-10,33.0636,-0.4425,-1.32066
2022-08-09,33.5061,0.1289,0.38619
2022-08-08,33.3772,-0.1938,-0.57728
2022-08-07,33.571,0.3746,1.12844
2022-08-04,33.1964,-0.6043,-1.78783
2022-08-03,33.8007,0.0602,0.17842
2022-08-02,33.7405,0.118,0.35096
2022-08-01,33.6225,-0.3738,-1.09953
2022-07-31,33.9963,0.2579,0.76441
2022-07-28,33.7384,0.4093,1.22806
2022-07-27,33.3291,-0.0098,-0.0294
2022-07-26,33.3389,0.2314,0.69894
2022-07-25,33.1075,0.0586,0.17731
2022-07-24,33.0489,-0.4369,-1.30473
2022-07-21,33.4858,0.3603,1.08768
2022-07-20,33.1255,0.5025,1.54032
2022-07-19,32.623,0.1174,0.36117
2022-07-18,32.5056,-0.1732,-0.53001
2022-07-17,32.6788,-0.1202,-0.36647
2022-07-14,32.799,0.2966,0.91255
2022-07-13,32.5024,,
2022-07-12,32.6914,0.2472,0.76192
2022-07-11,32.4442,0.1703,0.52767
2022-07-10,32.2739,0.4011,1.25844
2022-07-07,31.8728,-0.1213,-0.37913
2022-07-06,31.9941,-0.0299,-0.09337
2022-07-05,32.024,-0.1835,-0.56974
2022-07-04,32.2075,0.3126,0.98009
2022-06-30,31.8949,0.0606,0.19036
2022-06-29,31.8343,0.2859,0.90623
2022-06-28,31.5484,0.3874,1.24322
2022-06-27,31.161,-0.1174,-0.37534
2022-06-26,31.2784,-0.3661,-1.15692
2022-06-23,31.6445,-0.1325,-0.41697
2022-06-22,31.777,0.1759,0.55663
2022-06-21,31.6011,0.4394,1.41006
2022-06-20,31.1617,-0.3311,-1.05135
2022-06-16,31.4928,0.0681,0.21671
2022-06-15,31.4247,-0.052,-0.1652
2022-06-14,31.4767,0.4171,1.3429
2022-06-13,31.0596,-0.2632,-0.84028
2022-06-12,31.3228,-0.9535,-2.95418
2022-06-09,32.2763,-0.4189,-1.28123
2022-06-08,32.6952,-0.149,-0.45366
2022-06-07,32.8442,-0.2742,-0.82794
2022-06-06,33.1184,0.3889,1.18822
2022-06-05,32.7295,-0.4898,-1.47444
2022-06-01,33.2193,0.0842,0.25411
2022-05-31,33.1351,0.1888,0.57305
2022-05-30,32.9463,-0.5344,-1.59614
2022-05-26,33.4807,-0.0681,-0.20299
2022-05-25,33.5488,0.2022,0.60636
2022-05-24,33.3466,0.3789,1.14931
2022-05-23,32.9677,0.5286,1.62951
2022-05-22,32.4391,-0.261,-0.79816
2022-05-19,32.7001,0.1851,0.56928
2022-05-18,32.515,0.1132,0.34936
2022-05-17,32.4018,0.2677,0.83307
2022-05-16,32.1341,-0.4321,-1.32684
2022-05-15,32.5662,0.0034,0.01044
2022-05-12,32.5628,-0.5741,-1.73251
2022-05-11,33.1369,0.273,0.8307
2022-05-10,32.8639,0.4195,1.29298
2022-05-09,32.4444,0.3353,1.04425
2022-05-08,32.1091,-0.0172,-0.05354
2022-05-05,32.1263,-0.0479,-0.14888
2022-05-04,32.1742,-0.6693,-2.03785
2022-05-03,32.8435,0.0553,0.16866
2022-05-02,32.7882,-0.1051,-0.31952
2022-04-28,32.8933,-0.2749,-0.82881
2022-04-27,33.1682,-0.0091,-0.02743
2022-04-26,33.1773,-0.1849,-0.55422
2022-04-25,33.3622,0.0735,0.2208
2022-04-24,33.2887,0.4051,1.23192
