tradeDate,nav,change,changePercent
2022-08-30,10.3605,0.0203,0.19632
2022-08-29,10.3402,-0.0178,-0.17185
2022-08-28,10.358,-0.0223,-0.21483
2022-08-25,10.3803,0.0441,0.42666
2022-08-24,10.3362,0.0199,0.1929
2022-08-23,10.3163,0.0049,0.04752
2022-08-22,10.3114,0.0063,0.06113
2022-08-21,10.3051,0.0082,0.07964
2022-08-18,10.2969,0.0251,0.24436
2022-08-17,10.2718,-0.0007,-0.00681
2022-08-16,10.2725,-0.0007,-0.00681
2022-08-15,10.2732,0.0449,0.43898
2022-08-14,10.2283,0.0201,0.1969
2022-08-11,10.2082,0.0293,0.28785
2022-08-10,10.1789,-0.0164,-0.16086
2022-08-09,10.1953,-0.0088,-0.08624
2022-08-08,10.2041,-0.0241,-0.23562
2022-08-07,10.2282,-0.0285,-0.27787
2022-08-04,10.2567,0.0258,0.25218
2022-08-03,10.2309,-0.005,-0.04885
2022-08-02,10.2359,-0.0078,-0.07614
2022-08-01,10.2437,-0.0095,-0.09265
2022-07-31,10.2532,-0.0058,-0.05654
2022-07-28,10.259,0.0715,0.70184
2022-07-27,10.1875,0.0167,0.1642
2022-07-26,10.1708,0.0081,0.0797
2022-07-25,10.1627,0.034,0.33568
2022-07-24,10.1287,0.0157,0.15525
2022-07-21,10.113,0.0244,0.24186
2022-07-20,10.0886,0.0368,0.3661
2022-07-19,10.0518,0.0004,0.00398
2022-07-18,10.0514,-0.0389,-0.38552
2022-07-17,10.0903,-0.0091,-0.0901
2022-07-14,10.0994,0.0064,0.06341
2022-07-13,10.093,-0.0075,-0.07425
2022-07-12,10.1005,-0.0345,-0.3404
2022-07-11,10.135,-0.0376,-0.36962
2022-07-10,10.1726,-0.0511,-0.49982
2022-07-07,10.2237,0.024,0.2353
2022-07-06,10.1997,-0.0001,-0.00098
2022-07-05,10.1998,-0.0252,-0.24645
2022-07-04,10.225,-0.0339,-0.33044
2022-07-03,10.2589,-0.0621,-0.60169
2022-06-30,10.321,0.0767,0.74871
2022-06-29,10.2443,0.0061,0.05958
2022-06-28,10.2382,-0.0168,-0.16382
2022-06-27,10.255,0.0115,0.11227
2022-06-26,10.2435,-0.0223,-0.21723
2022-06-23,10.2658,-0.0116,-0.11287
2022-06-22,10.2774,-0.0239,-0.23201
2022-06-21,10.3013,,
2022-06-20,10.3081,-0.0309,-0.29887
2022-06-19,10.339,-0.0155,-0.14969
2022-06-16,10.3545,0.0177,0.17123
2022-06-15,10.3368,-0.0195,-0.18829
2022-06-14,10.3563,0.0028,0.02704
2022-06-13,10.3535,-0.0238,-0.22935
2022-06-12,10.3773,-0.1012,-0.96579
2022-06-09,10.4785,-0.0121,-0.11534
2022-06-08,10.4906,-0.0093,-0.08857
2022-06-07,10.4999,0.0,0.0
2022-06-06,10.4999,-0.0042,-0.03998
2022-06-05,10.5041,-0.0116,-0.11031
2022-06-01,10.5157,-0.0038,-0.03612
2022-05-31,10.5195,-0.0012,-0.01141
2022-05-30,10.5207,0.0046,0.04374
2022-05-29,10.5161,-0.0124,-0.11778
2022-05-26,10.5285,0.0045,0.04276
2022-05-25,10.524,0.0188,0.17896
2022-05-24,10.5052,0.0134,0.12772
2022-05-23,10.4918,0.0053,0.05054
2022-05-22,10.4865,-0.0076,-0.07242
2022-05-19,10.4941,0.0309,0.29532
2022-05-18,10.4632,0.0023,0.02199
2022-05-17,10.4609,-0.0263,-0.25078
2022-05-16,10.4872,-0.0062,-0.05908
2022-05-15,10.4934,-0.0202,-0.19213
2022-05-12,10.5136,0.0072,0.06853
2022-05-11,10.5064,-0.0224,-0.21275
2022-05-10,10.5288,-0.017,-0.1612
2022-05-09,10.5458,-0.0176,-0.16661
2022-05-08,10.5634,-0.0286,-0.27002
2022-05-05,10.592,0.01,0.0945
2022-05-04,10.582,0.0012,0.01134
2022-05-03,10.5808,-0.0092,-0.08687
2022-05-02,10.59,-0.0235,-0.22142
2022-04-28,10.6135,0.0386,0.36502
2022-04-27,10.5749,0.0212,0.20088
2022-04-26,10.5537,0.0052,0.0493
2022-04-25,10.5485,-0.0017,-0.01611
2022-04-24,10.5502,-0.0212,-0.20054
2022-04-21,10.5714,0.0115,0.1089
2022-04-20,10.5599,-0.0177,-0.16733
2022-04-19,10.5776,-0.0051,-0.04819
2022-04-18,10.5827,-0.0106,-0.10006
2022-04-13,10.5933,0.0182,0.1721
2022-04-12,10.5751,0.009,0.08518
2022-04-11,10.5661,-0.0309,-0.29159
2022-04-10,10.597,-0.0703,-0.65902
2022-04-07,10.6673,0.0104,0.09759
2022-04-06,10.6569,0.0125,0.11743
2022-04-05,10.6444,0.061,0.57637
2022-03-31,10.5834,0.0348,0.3299
2022-03-30,10.5486,0.0364,0.34626
2022-03-29,10.5122,0.0665,0.63663
2022-03-28,10.4457,0.0502,0.4829
