tradeDate,nav,change,changePercent
2022-08-30,8.9155,-0.0077,-0.08629
2022-08-29,8.9232,0.0043,0.04821
2022-08-28,8.9189,-0.0099,-0.11088
2022-08-25,8.9288,-0.0038,-0.04254
2022-08-24,8.9326,0.0011,0.01232
2022-08-23,8.9315,0.0054,0.0605
2022-08-22,8.9261,-0.0162,-0.18116
2022-08-21,8.9423,-0.0048,-0.05365
2022-08-18,8.9471,-0.0049,-0.05474
2022-08-17,8.952,-0.0108,-0.1205
2022-08-16,8.9628,-0.0176,-0.19598
2022-08-15,8.9804,0.007,0.07801
2022-08-14,8.9734,0.0058,0.06468
2022-08-11,8.9676,-0.0099,-0.11028
2022-08-10,8.9775,0.0255,0.28485
2022-08-09,8.952,0.0027,0.03017
2022-08-08,8.9493,0.0102,0.11411
2022-08-07,8.9391,-0.0057,-0.06372
2022-08-04,8.9448,0.0094,0.1052
2022-08-03,8.9354,0.0057,0.06383
2022-08-02,8.9297,-0.0225,-0.25133
2022-08-01,8.9522,0.0227,0.25421
2022-07-31,8.9295,0.0054,0.06051
2022-07-28,8.9241,0.0369,0.4152
2022-07-27,8.8872,0.0105,0.11829
2022-07-26,8.8767,-0.0049,-0.05517
2022-07-25,8.8816,0.0021,0.02365
2022-07-24,8.8795,0.0257,0.29027
2022-07-21,8.8538,0.0354,0.40143
2022-07-20,8.8184,-0.0132,-0.14946
2022-07-19,8.8316,-0.0044,-0.0498
2022-07-18,8.836,-0.0047,-0.05316
2022-07-17,8.8407,-0.0007,-0.00792
2022-07-14,8.8414,0.0073,0.08263
2022-07-13,8.8341,-0.0408,-0.45972
2022-07-12,8.8749,-0.0095,-0.10693
2022-07-11,8.8844,0.0095,0.10704
2022-07-10,8.8749,-0.005,-0.05631
2022-07-07,8.8799,-0.0018,-0.02027
2022-07-06,8.8817,-0.022,-0.24709
2022-07-05,8.9037,0.0001,0.00112
2022-07-04,8.9036,0.0036,0.04045
2022-06-30,8.9,0.0019,0.02135
2022-06-29,8.8981,0.0033,0.0371
2022-06-28,8.8948,0.0006,0.00675
2022-06-27,8.8942,-0.0093,-0.10445
2022-06-26,8.9035,-0.0123,-0.13796
2022-06-23,8.9158,-0.0069,-0.07733
2022-06-22,8.9227,0.0113,0.1268
2022-06-21,8.9114,,
2022-06-20,8.9058,-0.0066,-0.07405
2022-06-16,8.9124,0.0002,0.00224
2022-06-15,8.9122,-0.0017,-0.01907
2022-06-14,8.9139,-0.0237,-0.26517
2022-06-13,8.9376,-0.0298,-0.33231
2022-06-12,8.9674,-0.0573,-0.63492
2022-06-09,9.0247,-0.0078,-0.08635
2022-06-08,9.0325,-0.0026,-0.02878
2022-06-07,9.0351,0.0019,0.02103
2022-06-06,9.0332,-0.0075,-0.08296
2022-06-05,9.0407,0.0101,0.11184
2022-06-01,9.0306,-0.0075,-0.08298
2022-05-31,9.0381,-0.0063,-0.06966
2022-05-30,9.0444,0.0033,0.0365
2022-05-26,9.0411,0.0073,0.08081
2022-05-25,9.0338,0.0234,0.2597
2022-05-24,9.0104,0.0103,0.11444
2022-05-23,9.0001,0.0018,0.02
2022-05-22,8.9983,-0.0054,-0.05998
2022-05-19,9.0037,-0.0019,-0.0211
2022-05-18,9.0056,0.0055,0.06111
2022-05-17,9.0001,-0.0075,-0.08326
2022-05-16,9.0076,-0.0053,-0.0588
2022-05-15,9.0129,0.0063,0.06995
2022-05-12,9.0066,-0.0139,-0.15409
2022-05-11,9.0205,0.0055,0.06101
2022-05-10,9.015,0.012,0.13329
2022-05-09,9.003,-0.0105,-0.11649
2022-05-08,9.0135,-0.0126,-0.1396
2022-05-05,9.0261,-0.0146,-0.16149
2022-05-04,9.0407,0.005,0.05534
2022-05-03,9.0357,-0.0016,-0.0177
2022-05-02,9.0373,-0.0396,-0.43627
2022-04-28,9.0769,-0.0126,-0.13862
2022-04-27,9.0895,0.001,0.011
2022-04-26,9.0885,-0.0116,-0.12747
2022-04-25,9.1001,-0.0078,-0.08564
2022-04-24,9.1079,0.0074,0.08131
2022-04-21,9.1005,-0.0219,-0.24007
2022-04-20,9.1224,-0.0096,-0.10512
2022-04-19,9.132,-0.0188,-0.20545
2022-04-18,9.1508,-0.0062,-0.06771
2022-04-17,9.157,-0.0153,-0.16681
2022-04-13,9.1723,0.0203,0.22181
2022-04-12,9.152,0.0089,0.09734
2022-04-11,9.1431,-0.0202,-0.22044
2022-04-10,9.1633,-0.0169,-0.18409
2022-04-07,9.1802,-0.0148,-0.16096
2022-04-06,9.195,0.0126,0.13722
2022-04-05,9.1824,-0.0084,-0.0914
2022-03-31,9.1908,-0.0239,-0.25937
2022-03-30,9.2147,0.0102,0.11082
2022-03-29,9.2045,0.0281,0.30622
2022-03-28,9.1764,0.0032,0.03488
2022-03-27,9.1732,-0.0329,-0.35737
2022-03-24,9.2061,0.0028,0.03042
2022-03-23,9.2033,-0.0013,-0.01412
2022-03-22,9.2046,-0.0001,-0.00109
2022-03-21,9.2047,-0.022,-0.23844
2022-03-20,9.2267,0.0054,0.05856
2022-03-17,9.2213,0.0169,0.18361
2022-03-16,9.2044,0.0192,0.20903
2022-03-15,9.1852,-0.0142,-0.15436
2022-03-14,9.1994,-0.0158,-0.17146
2022-03-13,9.2152,-0.03,-0.32449
2022-03-10,9.2452,-0.0098,-0.10589
2022-03-09,9.255,-0.0088,-0.09499
2022-03-08,9.2638,-0.0251,-0.27021
2022-03-07,9.2889,-0.0369,-0.39568
2022-03-06,9.3258,-0.52,-5.28144
2022-03-03,9.8458,-0.0026,-0.0264
2022-03-02,9.8484,-0.0305,-0.30874
2022-03-01,9.8789,-0.0074,-0.07485
2022-02-28,9.8863,0.0137,0.13877
2022-02-24,9.8726,-0.0781,-0.78487
2022-02-23,9.9507,-0.0172,-0.17255
2022-02-22,9.9679,-0.023,-0.23021
2022-02-21,9.9909,0.0054,0.05408
2022-02-17,9.9855,-0.0004,-0.00401
2022-02-16,9.9859,-0.0008,-0.00801
2022-02-15,9.9867,-0.0153,-0.15297
2022-02-14,10.002,-0.023,-0.22943
2022-02-13,10.025,-0.0131,-0.1305
2022-02-10,10.0381,-0.0345,-0.34251
2022-02-09,10.0726,0.0039,0.03873
2022-02-08,10.0687,0.0097,0.09643
