tradeDate,nav,change,changePercent
2022-08-30,9.3172,-0.0026,-0.0279
2022-08-29,9.3198,-0.0127,-0.13608
2022-08-28,9.3325,-0.0166,-0.17756
2022-08-25,9.3491,0.0439,0.47178
2022-08-24,9.3052,0.023,0.24779
2022-08-23,9.2822,0.0116,0.12513
2022-08-22,9.2706,0.0049,0.05288
2022-08-21,9.2657,0.0089,0.09615
2022-08-18,9.2568,0.0127,0.13738
2022-08-17,9.2441,-0.0059,-0.06378
2022-08-16,9.25,-0.0163,-0.17591
2022-08-15,9.2663,0.0427,0.46294
2022-08-14,9.2236,0.0306,0.33286
2022-08-11,9.193,0.0096,0.10454
2022-08-10,9.1834,-0.0038,-0.04136
2022-08-09,9.1872,0.0001,0.00109
2022-08-08,9.1871,-0.0244,-0.26489
2022-08-07,9.2115,-0.0062,-0.06726
2022-08-04,9.2177,0.0053,0.05753
2022-08-03,9.2124,-0.0049,-0.05316
2022-08-02,9.2173,-0.0208,-0.22515
2022-08-01,9.2381,-0.0177,-0.19123
2022-07-31,9.2558,0.0173,0.18726
2022-07-28,9.2385,0.0621,0.67674
2022-07-27,9.1764,0.0171,0.1867
2022-07-26,9.1593,-0.004,-0.04365
2022-07-25,9.1633,0.029,0.31748
2022-07-24,9.1343,-0.0025,-0.02736
2022-07-21,9.1368,0.0455,0.50048
2022-07-20,9.0913,0.0115,0.12665
2022-07-19,9.0798,-0.0024,-0.02643
2022-07-18,9.0822,-0.0315,-0.34563
2022-07-17,9.1137,-0.0107,-0.11727
2022-07-14,9.1244,0.0051,0.05593
2022-07-13,9.1193,,
2022-07-12,9.1452,-0.0285,-0.31067
2022-07-11,9.1737,-0.0383,-0.41576
2022-07-10,9.212,-0.0231,-0.25013
2022-07-07,9.2351,-0.0202,-0.21825
2022-07-06,9.2553,-0.0146,-0.1575
2022-07-05,9.2699,-0.0279,-0.30007
2022-07-04,9.2978,-0.0348,-0.37289
2022-07-03,9.3326,-0.0008,-0.00857
2022-06-30,9.3334,0.012,0.12874
2022-06-29,9.3214,0.0005,0.00536
2022-06-28,9.3209,-0.0197,-0.21091
2022-06-27,9.3406,0.01,0.10717
