tradeDate,nav,change,changePercent
2022-08-30,8.7868,-0.0588,-0.66474
2022-08-29,8.8456,-0.0282,-0.31779
2022-08-28,8.8738,0.0104,0.11734
2022-08-25,8.8634,-0.0002,-0.00226
2022-08-24,8.8636,0.0057,0.06435
2022-08-23,8.8579,0.0278,0.31483
2022-08-22,8.8301,0.0135,0.15312
2022-08-21,8.8166,-0.042,-0.47412
2022-08-18,8.8586,-0.0717,-0.80288
2022-08-17,8.9303,0.0129,0.14466
2022-08-16,8.9174,-0.0735,-0.81749
2022-08-15,8.9909,-0.016,-0.17764
2022-08-14,9.0069,-0.014,-0.1552
2022-08-11,9.0209,0.0113,0.12542
2022-08-10,9.0096,-0.026,-0.28775
2022-08-09,9.0356,0.0619,0.68979
2022-08-08,8.9737,-0.047,-0.52102
2022-08-07,9.0207,0.0719,0.80346
2022-08-04,8.9488,-0.0781,-0.86519
2022-08-03,9.0269,0.0292,0.32453
2022-08-02,8.9977,0.0546,0.61053
2022-08-01,8.9431,-0.0465,-0.51726
2022-07-31,8.9896,0.1173,1.32209
2022-07-28,8.8723,0.01,0.11284
2022-07-27,8.8623,0.1155,1.32048
2022-07-26,8.7468,0.0028,0.03202
2022-07-25,8.744,0.0002,0.00229
2022-07-24,8.7438,0.0356,0.40881
2022-07-21,8.7082,0.1029,1.19577
2022-07-20,8.6053,0.0421,0.49164
2022-07-19,8.5632,0.0658,0.77435
2022-07-18,8.4974,0.0154,0.18156
2022-07-17,8.482,0.0014,0.01651
2022-07-14,8.4806,0.0248,0.29329
2022-07-13,8.4558,-0.0385,-0.45325
2022-07-12,8.4943,-0.0232,-0.27238
2022-07-11,8.5175,-0.0075,-0.08798
2022-07-10,8.525,0.016,0.18804
2022-07-07,8.509,-0.0159,-0.18651
2022-07-06,8.5249,-0.0072,-0.08439
2022-07-05,8.5321,0.008,0.09385
2022-07-04,8.5241,-0.0003,-0.00352
2022-07-03,8.5244,-0.0048,-0.05628
2022-06-30,8.5292,0.126,1.49943
2022-06-29,8.4032,0.0154,0.1836
2022-06-28,8.3878,0.0063,0.07517
2022-06-27,8.3815,-0.0202,-0.24043
