tradeDate,nav,change,changePercent
2022-08-31,10.81,-0.08,-0.73462
2022-08-30,10.89,-0.5,-4.38982
2022-08-29,11.39,-0.04,-0.34996
2022-08-28,11.43,0.15,1.32979
2022-08-25,11.28,-0.09,-0.79156
2022-08-24,11.37,-0.2,-1.72861
2022-08-23,11.57,-0.38,-3.17992
2022-08-22,11.95,0.16,1.35708
2022-08-21,11.79,0.04,0.34043
2022-08-18,11.75,-0.32,-2.6512
2022-08-17,12.07,0.32,2.7234
2022-08-16,11.75,0.14,1.20586
2022-08-15,11.61,0.05,0.43253
2022-08-14,11.56,0.16,1.40351
2022-08-11,11.4,-0.17,-1.46932
2022-08-10,11.57,-0.01,-0.08636
2022-08-09,11.58,-0.13,-1.11016
2022-08-08,11.71,0.07,0.60137
2022-08-07,11.64,0.09,0.77922
2022-08-04,11.55,-0.01,-0.08651
2022-08-03,11.56,-0.03,-0.25884
2022-08-02,11.59,-0.3,-2.52313
2022-08-01,11.89,-0.07,-0.58528
2022-07-31,11.96,0.19,1.61427
2022-07-28,11.77,0.03,0.25554
2022-07-27,11.74,0.0,0.0
2022-07-26,11.74,0.21,1.82134
2022-07-25,11.53,0.13,1.14035
2022-07-24,11.4,-0.16,-1.38408
2022-07-21,11.56,-0.03,-0.25884
2022-07-20,11.59,-0.16,-1.3617
2022-07-19,11.75,0.02,0.1705
2022-07-18,11.73,-0.16,-1.34567
2022-07-17,11.89,0.11,0.93379
2022-07-14,11.78,0.03,0.25532
2022-07-13,11.75,0.36,3.16067
2022-07-12,11.39,0.18,1.60571
2022-07-11,11.21,-0.33,-2.85962
2022-07-10,11.54,-0.17,-1.45175
2022-07-07,11.71,-0.32,-2.66002
2022-07-06,12.03,0.33,2.82051
2022-07-05,11.7,-0.05,-0.42553
2022-07-04,11.75,-0.07,-0.59222
2022-07-03,11.82,0.25,2.16076
2022-06-30,11.57,-0.02,-0.17256
2022-06-29,11.59,0.2,1.75593
2022-06-28,11.39,-0.48,-4.04381
2022-06-27,11.87,0.08,0.67854
2022-06-26,11.79,0.08,0.68318
2022-06-23,11.71,0.12,1.03538
2022-06-22,11.59,0.42,3.76007
2022-06-21,11.17,0.0,0.0
2022-06-20,11.17,-0.09,-0.79929
2022-06-19,11.26,0.13,1.16801
2022-06-16,11.13,0.28,2.58065
2022-06-15,10.85,-0.01,-0.09208
2022-06-14,10.86,-0.08,-0.73126
2022-06-13,10.94,-0.01,-0.09132
2022-06-12,10.95,-0.07,-0.63521
2022-06-09,11.02,0.29,2.7027
2022-06-08,10.73,-0.23,-2.09854
2022-06-07,10.96,0.14,1.2939
2022-06-06,10.82,-0.05,-0.45998
2022-06-05,10.87,0.33,3.13093
2022-06-01,10.54,0.18,1.73745
2022-05-31,10.36,0.0,0.0
2022-05-30,10.36,0.12,1.17187
2022-05-29,10.24,0.19,1.89055
2022-05-26,10.05,-0.01,-0.0994
2022-05-25,10.06,-0.09,-0.8867
2022-05-24,10.15,0.02,0.19743
2022-05-23,10.13,-0.26,-2.50241
2022-05-22,10.39,-0.05,-0.47893
2022-05-19,10.44,0.19,1.85366
2022-05-18,10.25,0.06,0.58881
2022-05-17,10.19,-0.05,-0.48828
2022-05-16,10.24,0.22,2.19561
2022-05-15,10.02,-0.1,-0.98814
2022-05-12,10.12,0.11,1.0989
2022-05-11,10.01,-0.09,-0.89109
2022-05-10,10.1,0.16,1.60966
2022-05-09,9.94,0.18,1.84426
2022-05-08,9.76,-0.16,-1.6129
2022-05-05,9.92,-0.32,-3.125
2022-05-04,10.24,-0.09,-0.87125
2022-04-28,10.33,0.21,2.0751
2022-04-27,10.12,0.06,0.59642
2022-04-26,10.06,0.36,3.71134
2022-04-25,9.7,-0.05,-0.51282
2022-04-24,9.75,-0.49,-4.78516
2022-04-21,10.24,0.0,0.0
2022-04-20,10.24,-0.25,-2.38322
2022-04-19,10.49,-0.27,-2.50929
2022-04-18,10.76,-0.04,-0.37037
2022-04-17,10.8,0.03,0.27855
2022-04-14,10.77,-0.03,-0.27778
2022-04-13,10.8,0.03,0.27855
2022-04-12,10.77,-0.12,-1.10193
2022-04-11,10.89,0.15,1.39665
2022-04-10,10.74,-0.31,-2.80543
2022-04-07,11.05,0.03,0.27223
2022-04-06,11.02,-0.13,-1.16592
2022-04-05,11.15,-0.18,-1.5887
2022-03-31,11.33,0.05,0.44326
2022-03-30,11.28,-0.12,-1.05263
2022-03-29,11.4,0.24,2.15054
2022-03-28,11.16,0.02,0.17953
2022-03-27,11.14,-0.05,-0.44683
2022-03-24,11.19,-0.3,-2.61097
2022-03-23,11.49,-0.07,-0.60554
2022-03-22,11.56,-0.01,-0.08643
2022-03-21,11.57,-0.04,-0.34453
2022-03-20,11.61,0.1,0.86881
2022-03-17,11.51,-0.09,-0.77586
2022-03-16,11.6,0.13,1.13339
2022-03-15,11.47,0.58,5.32599
2022-03-14,10.89,-0.31,-2.76786
2022-03-13,11.2,-0.44,-3.78007
2022-03-10,11.64,-0.06,-0.51282
2022-03-09,11.7,0.18,1.5625
2022-03-08,11.52,0.04,0.34843
2022-03-07,11.48,-0.16,-1.37457
2022-03-06,11.64,-0.33,-2.75689
2022-03-03,11.97,-0.22,-1.80476
2022-03-02,12.19,-0.22,-1.77276
2022-03-01,12.41,-0.15,-1.19427
2022-02-28,12.56,0.08,0.64103
2022-02-24,12.48,0.13,1.05263
2022-02-23,12.35,-0.1,-0.80321
2022-02-22,12.45,0.25,2.04918
2022-02-21,12.2,-0.09,-0.7323
2022-02-20,12.29,-0.12,-0.96696
2022-02-17,12.41,-0.02,-0.1609
2022-02-16,12.43,0.1,0.81103
2022-02-15,12.33,0.07,0.57096
2022-02-14,12.26,0.25,2.0816
2022-02-13,12.01,-0.1,-0.82576
2022-02-10,12.11,-0.2,-1.6247
2022-02-09,12.31,-0.15,-1.20385
2022-02-08,12.46,0.1,0.80906
2022-02-07,12.36,-0.45,-3.51288
2022-02-06,12.81,0.11,0.86614
2022-01-27,12.7,-0.14,-1.09034
2022-01-26,12.84,-0.44,-3.31325
2022-01-25,13.28,0.16,1.21951
2022-01-24,13.12,-0.3,-2.23547
2022-01-23,13.42,0.14,1.05422
2022-01-20,13.28,-0.13,-0.96943
2022-01-19,13.41,0.01,0.07463
2022-01-18,13.4,-0.21,-1.54298
2022-01-17,13.61,0.07,0.51699
2022-01-16,13.54,0.22,1.65165
2022-01-13,13.32,0.22,1.67939
2022-01-12,13.1,-0.23,-1.72543
2022-01-11,13.33,0.29,2.22393
2022-01-10,13.04,-0.23,-1.73323
2022-01-09,13.27,0.04,0.30234
2022-01-06,13.23,-0.16,-1.19492
2022-01-05,13.39,-0.11,-0.81481
2022-01-04,13.5,-0.47,-3.36435
2022-01-03,13.97,-0.4,-2.78358
2021-12-29,14.37,0.12,0.84211
2021-12-28,14.25,-0.11,-0.76602
2021-12-27,14.36,0.12,0.8427
2021-12-26,14.24,-0.09,-0.62805
2021-12-23,14.33,-0.32,-2.1843
2021-12-22,14.65,0.16,1.10421
2021-12-21,14.49,0.14,0.97561
2021-12-20,14.35,0.17,1.19887
2021-12-19,14.18,-0.41,-2.81014
2021-12-16,14.59,-0.37,-2.47326
2021-12-15,14.96,0.03,0.20094
2021-12-14,14.93,-0.16,-1.0603
2021-12-13,15.09,-0.1,-0.65833
2021-12-12,15.19,0.03,0.19789
2021-12-09,15.16,0.13,0.86494
2021-12-08,15.03,0.05,0.33378
2021-12-07,14.98,0.37,2.53251
2021-12-06,14.61,-0.21,-1.417
2021-12-05,14.82,-0.32,-2.11361
2021-12-02,15.14,-0.01,-0.06601
2021-12-01,15.15,-0.06,-0.39448
2021-11-30,15.21,-0.19,-1.23377
2021-11-29,15.4,-0.08,-0.5168
2021-11-28,15.48,0.28,1.84211
2021-11-25,15.2,0.09,0.59563
2021-11-24,15.11,-0.1,-0.65746
2021-11-23,15.21,-0.23,-1.48964
2021-11-22,15.44,-0.16,-1.02564
2021-11-21,15.6,0.43,2.83454
2021-11-18,15.17,0.14,0.93147
2021-11-17,15.03,-0.09,-0.59524
2021-11-16,15.12,0.16,1.06952
2021-11-15,14.96,0.01,0.06689
2021-11-14,14.95,-0.3,-1.96721
2021-11-11,15.25,0.11,0.72655
2021-11-10,15.14,0.1,0.66489
2021-11-09,15.04,-0.17,-1.11769
2021-11-08,15.21,0.01,0.06579
2021-11-07,15.2,0.08,0.5291
2021-11-04,15.12,-0.21,-1.36986
2021-11-03,15.33,0.19,1.25495
2021-11-02,15.14,-0.2,-1.30378
2021-11-01,15.34,0.0,0.0
2021-10-31,15.34,-0.19,-1.22344
2021-10-28,15.53,0.26,1.70269
2021-10-27,15.27,-0.16,-1.03694
2021-10-26,15.43,0.06,0.39037
