tradeDate,nav,change,changePercent
2022-08-30,9.32,-0.05,-0.53362
2022-08-29,9.37,-0.11,-1.16034
2022-08-28,9.48,-0.1,-1.04384
2022-08-25,9.58,-0.28,-2.83976
2022-08-24,9.86,0.15,1.5448
2022-08-23,9.71,0.04,0.41365
2022-08-22,9.67,-0.11,-1.12474
2022-08-21,9.78,-0.22,-2.2
2022-08-18,10.0,-0.14,-1.38067
2022-08-17,10.14,-0.02,-0.19685
2022-08-16,10.16,-0.08,-0.78125
2022-08-15,10.24,-0.1,-0.96712
2022-08-14,10.34,0.06,0.58366
2022-08-11,10.28,0.18,1.78218
2022-08-10,10.1,-0.07,-0.6883
2022-08-09,10.17,0.19,1.90381
2022-08-08,9.98,-0.02,-0.2
2022-08-07,10.0,0.01,0.1001
2022-08-04,9.99,-0.02,-0.1998
2022-08-03,10.01,0.04,0.4012
2022-08-02,9.97,0.12,1.21827
2022-08-01,9.85,-0.08,-0.80564
2022-07-31,9.93,-0.06,-0.6006
2022-07-28,9.99,0.05,0.50302
2022-07-27,9.94,0.3,3.11203
2022-07-26,9.64,0.12,1.2605
2022-07-25,9.52,-0.03,-0.31414
2022-07-24,9.55,-0.03,-0.31315
2022-07-21,9.58,0.0,0.0
2022-07-20,9.58,0.11,1.16156
2022-07-19,9.47,0.0,0.0
2022-07-18,9.47,0.26,2.82302
2022-07-17,9.21,-0.16,-1.70758
2022-07-14,9.37,0.15,1.6269
2022-07-13,9.22,-0.05,-0.53937
2022-07-12,9.27,0.0,0.0
2022-07-11,9.27,-0.11,-1.17271
2022-07-10,9.38,-0.06,-0.63559
2022-07-07,9.44,-0.03,-0.31679
2022-07-06,9.47,0.07,0.74468
2022-07-05,9.4,0.04,0.42735
2022-07-04,9.36,0.01,0.10695
2022-06-30,9.35,0.09,0.97192
2022-06-29,9.26,-0.04,-0.43011
2022-06-28,9.3,-0.07,-0.74707
2022-06-27,9.37,-0.18,-1.88482
2022-06-26,9.55,-0.07,-0.72765
2022-06-23,9.62,0.23,2.44941
2022-06-22,9.39,0.16,1.73348
2022-06-21,9.23,,
2022-06-20,9.13,0.16,1.78372
2022-06-16,8.97,0.04,0.44793
2022-06-15,8.93,-0.31,-3.35498
2022-06-14,9.24,0.2,2.21239
2022-06-13,9.04,-0.05,-0.55006
2022-06-12,9.09,-0.4,-4.21496
2022-06-09,9.49,-0.26,-2.66667
2022-06-08,9.75,-0.17,-1.71371
2022-06-07,9.92,-0.17,-1.68484
2022-06-06,10.09,0.08,0.7992
2022-06-05,10.01,-0.17,-1.66994
2022-06-01,10.18,0.2,2.00401
2022-05-31,9.98,-0.06,-0.59761
2022-05-30,10.04,-0.11,-1.08374
2022-05-26,10.15,0.27,2.73279
2022-05-25,9.88,0.06,0.611
2022-05-24,9.82,0.05,0.51177
2022-05-23,9.77,0.03,0.30801
2022-05-22,9.74,0.13,1.35276
2022-05-19,9.61,0.09,0.94538
2022-05-18,9.52,0.0,0.0
2022-05-17,9.52,-0.31,-3.15361
2022-05-16,9.83,0.09,0.92402
2022-05-15,9.74,-0.1,-1.01626
2022-05-12,9.84,0.31,3.25289
2022-05-11,9.53,-0.01,-0.10482
2022-05-10,9.54,-0.05,-0.52138
2022-05-09,9.59,-0.04,-0.41537
2022-05-08,9.63,-0.45,-4.46429
