tradeDate,nav,change,changePercent
2022-08-31,8.8832,-0.0305,-0.34217
2022-08-30,8.9137,-0.0143,-0.16017
2022-08-29,8.928,0.0194,0.21777
2022-08-28,8.9086,-0.0122,-0.13676
2022-08-25,8.9208,-0.0087,-0.09743
2022-08-24,8.9295,0.0195,0.21886
2022-08-23,8.91,0.0109,0.12248
2022-08-22,8.8991,0.0064,0.07197
2022-08-21,8.8927,-0.0373,-0.41769
2022-08-18,8.93,-0.019,-0.21231
2022-08-17,8.949,-0.0065,-0.07258
2022-08-16,8.9555,-0.0347,-0.38598
2022-08-15,8.9902,0.0135,0.15039
2022-08-14,8.9767,0.0372,0.41613
2022-08-11,8.9395,0.0324,0.36375
2022-08-10,8.9071,0.0528,0.59632
2022-08-09,8.8543,-0.1383,-1.53793
2022-08-07,8.9926,-0.0032,-0.03557
2022-08-04,8.9958,0.0034,0.03781
2022-08-03,8.9924,0.0271,0.30228
2022-08-02,8.9653,0.0008,0.00892
2022-08-01,8.9645,-0.0116,-0.12923
2022-07-31,8.9761,0.0242,0.27033
2022-07-28,8.9519,0.0314,0.352
2022-07-27,8.9205,0.0406,0.45721
2022-07-26,8.8799,-0.0008,-0.00901
2022-07-25,8.8807,0.0106,0.1195
2022-07-24,8.8701,0.0246,0.27811
2022-07-21,8.8455,0.0407,0.46225
2022-07-20,8.8048,0.0323,0.3682
2022-07-19,8.7725,0.0291,0.33282
2022-07-18,8.7434,-0.0207,-0.23619
2022-07-17,8.7641,-0.0018,-0.02053
2022-07-14,8.7659,-0.0149,-0.16969
2022-07-13,8.7808,-0.0554,-0.62697
2022-07-12,8.8362,-0.0607,-0.68226
2022-07-11,8.8969,-0.074,-0.82489
2022-07-07,8.9709,0.0009,0.01003
2022-07-06,8.97,-0.0384,-0.42627
2022-07-05,9.0084,-0.023,-0.25467
2022-07-04,9.0314,-0.0519,-0.57138
2022-07-03,9.0833,-0.0031,-0.03412
2022-06-30,9.0864,0.0145,0.15983
2022-06-29,9.0719,-0.0344,-0.37776
2022-06-28,9.1063,-0.0466,-0.50913
2022-06-27,9.1529,-0.0189,-0.20607
2022-06-26,9.1718,-0.0097,-0.10565
2022-06-23,9.1815,-0.0213,-0.23145
2022-06-22,9.2028,-0.0078,-0.08469
2022-06-21,9.2106,-0.0118,-0.12795
2022-06-20,9.2224,-0.0139,-0.15049
2022-06-19,9.2363,0.0034,0.03682
2022-06-16,9.2329,-0.0064,-0.06927
