tradeDate,nav,change,changePercent
2022-03-13,12.6256,0.01,0.07927
2022-03-10,12.6156,0.0051,0.04044
2022-03-09,12.6105,-0.0245,-0.19391
2022-03-08,12.635,0.0,0.0
2022-03-07,12.635,-0.004,-0.03165
2022-03-06,12.639,-0.0004,-0.00316
2022-03-03,12.6394,0.0102,0.08077
2022-03-02,12.6292,-0.0581,-0.45794
2022-03-01,12.6873,-0.0365,-0.28686
2022-02-28,12.7238,-0.0558,-0.43663
2022-02-24,12.7796,-0.0169,-0.13207
2022-02-23,12.7965,-0.0628,-0.48836
2022-02-22,12.8593,0.0129,0.10042
2022-02-21,12.8464,0.0123,0.09584
2022-02-20,12.8341,-0.0254,-0.19752
2022-02-17,12.8595,0.0312,0.24321
2022-02-16,12.8283,-0.0876,-0.67823
2022-02-15,12.9159,0.0186,0.14422
2022-02-14,12.8973,0.0381,0.29629
2022-02-13,12.8592,-0.078,-0.60291
2022-02-10,12.9372,-0.0737,-0.56645
2022-02-09,13.0109,0.0137,0.10541
2022-02-08,12.9972,0.0602,0.46533
2022-02-07,12.937,-0.0658,-0.50604
2022-02-06,13.0028,-0.0555,-0.42502
2022-01-27,13.0583,-0.0796,-0.60588
2022-01-26,13.1379,-0.2101,-1.57402
2022-01-25,13.348,0.0722,0.54385
2022-01-24,13.2758,-0.0876,-0.65552
2022-01-23,13.3634,0.0534,0.4012
2022-01-20,13.31,0.0308,0.23194
2022-01-19,13.2792,0.0506,0.3825
2022-01-18,13.2286,0.1533,1.17244
2022-01-17,13.0753,-0.0368,-0.28066
2022-01-16,13.1121,0.0262,0.20022
2022-01-13,13.0859,-0.0801,-0.60839
2022-01-12,13.166,-0.1457,-1.09453
2022-01-11,13.3117,0.0105,0.07894
2022-01-10,13.3012,-0.0957,-0.71434
2022-01-09,13.3969,0.0222,0.16599
2022-01-06,13.3747,-0.0111,-0.08292
2022-01-05,13.3858,-0.1285,-0.95084
2022-01-04,13.5143,-0.0772,-0.568
2022-01-03,13.5915,-0.0884,-0.6462
2021-12-29,13.6799,0.0237,0.17355
2021-12-28,13.6562,-0.0516,-0.37643
2021-12-27,13.7078,0.0394,0.28826
2021-12-26,13.6684,-0.0086,-0.06288
2021-12-23,13.677,-0.0736,-0.53525
2021-12-22,13.7506,0.0402,0.29321
2021-12-21,13.7104,0.052,0.38072
2021-12-20,13.6584,0.035,0.25691
2021-12-19,13.6234,-0.0868,-0.63311
2021-12-16,13.7102,-0.0805,-0.58373
2021-12-15,13.7907,0.0442,0.32154
2021-12-14,13.7465,-0.0718,-0.5196
2021-12-13,13.8183,-0.069,-0.49686
2021-12-12,13.8873,0.0246,0.17745
2021-12-09,13.8627,0.0219,0.15823
2021-12-08,13.8408,0.001,0.00723
2021-12-07,13.8398,0.1839,1.34667
2021-12-06,13.6559,0.055,0.40439
2021-12-05,13.6009,-0.0273,-0.20032
2021-12-02,13.6282,-0.0081,-0.0594
2021-12-01,13.6363,-0.0274,-0.20053
2021-11-30,13.6637,-0.0778,-0.56617
2021-11-29,13.7415,0.0477,0.34833
