tradeDate,nav,change,changePercent
2022-08-30,10.17,-0.06,-0.58651
2022-08-29,10.23,-0.08,-0.77595
2022-08-25,10.31,-0.03,-0.29014
2022-08-24,10.34,0.06,0.58366
2022-08-23,10.28,-0.03,-0.29098
2022-08-22,10.31,0.0,0.0
2022-08-21,10.31,-0.07,-0.67437
2022-08-18,10.38,-0.07,-0.66986
2022-08-17,10.45,-0.01,-0.0956
2022-08-16,10.46,-0.08,-0.75901
2022-08-15,10.54,-0.03,-0.28382
2022-08-14,10.57,0.04,0.37987
2022-08-11,10.53,0.02,0.19029
2022-08-10,10.51,-0.02,-0.18993
2022-08-09,10.53,0.04,0.38132
2022-08-08,10.49,-0.02,-0.19029
2022-08-07,10.51,0.04,0.38204
2022-08-04,10.47,-0.08,-0.75829
2022-08-03,10.55,0.03,0.28517
2022-08-02,10.52,0.02,0.19048
2022-08-01,10.5,-0.05,-0.47393
2022-07-31,10.55,0.05,0.47619
2022-07-28,10.5,0.03,0.28653
2022-07-27,10.47,0.08,0.76997
2022-07-26,10.39,0.01,0.09634
2022-07-25,10.38,0.01,0.09643
2022-07-24,10.37,0.0,0.0
2022-07-21,10.37,0.08,0.77745
2022-07-20,10.29,0.06,0.58651
2022-07-19,10.23,0.04,0.39254
2022-07-18,10.19,-0.01,-0.09804
2022-07-17,10.2,-0.02,-0.19569
2022-07-14,10.22,0.03,0.29441
2022-07-13,10.19,-0.02,-0.19589
2022-07-12,10.21,0.0,0.0
2022-07-11,10.21,0.02,0.19627
2022-07-10,10.19,0.05,0.4931
2022-07-07,10.14,0.0,0.0
2022-07-06,10.14,0.0,0.0
2022-07-05,10.14,-0.01,-0.09852
2022-07-04,10.15,0.03,0.29644
2022-06-30,10.12,0.07,0.69652
2022-06-29,10.05,0.02,0.1994
2022-06-28,10.03,0.01,0.0998
2022-06-27,10.02,-0.04,-0.39761
2022-06-26,10.06,-0.04,-0.39604
2022-06-23,10.1,0.0,0.0
2022-06-22,10.1,0.07,0.69791
2022-06-21,10.03,,
2022-06-20,9.99,-0.03,-0.2994
2022-06-16,10.02,0.0,0.0
2022-06-15,10.02,-0.04,-0.39761
2022-06-14,10.06,0.09,0.90271
2022-06-13,9.97,-0.06,-0.59821
2022-06-12,10.03,-0.18,-1.76298
2022-06-09,10.21,-0.11,-1.06589
2022-06-08,10.32,-0.04,-0.3861
2022-06-07,10.36,-0.02,-0.19268
2022-06-06,10.38,0.02,0.19305
2022-06-05,10.36,-0.07,-0.67114
2022-05-31,10.43,-0.03,-0.28681
2022-05-30,10.46,-0.03,-0.28599
2022-05-26,10.49,0.03,0.28681
2022-05-25,10.46,0.04,0.38388
2022-05-24,10.42,0.04,0.38536
2022-05-23,10.38,0.05,0.48403
2022-05-22,10.33,-0.03,-0.28958
2022-05-19,10.36,0.02,0.19342
2022-05-18,10.34,0.0,0.0
2022-05-17,10.34,0.01,0.09681
2022-05-16,10.33,-0.04,-0.38573
2022-05-15,10.37,0.01,0.09653
2022-05-12,10.36,-0.03,-0.28874
2022-05-11,10.39,0.03,0.28958
2022-05-10,10.36,0.02,0.19342
2022-05-09,10.34,0.05,0.48591
2022-05-08,10.29,-0.01,-0.09709
2022-05-05,10.3,-0.07,-0.67502
2022-05-04,10.37,-0.04,-0.38425
2022-05-03,10.41,0.0,0.0
2022-05-02,10.41,-0.02,-0.19175
2022-04-28,10.43,-0.05,-0.4771
2022-04-27,10.48,-0.02,-0.19048
2022-04-26,10.5,-0.06,-0.56818
2022-04-25,10.56,0.02,0.18975
2022-04-24,10.54,0.04,0.38095
2022-04-21,10.5,-0.04,-0.37951
2022-04-20,10.54,-0.06,-0.56604
2022-04-19,10.6,0.04,0.37879
2022-04-18,10.56,-0.07,-0.65851
2022-04-13,10.63,-0.05,-0.46816
2022-04-12,10.68,0.01,0.09372
2022-04-11,10.67,0.03,0.28195
