tradeDate,nav,change,changePercent
2022-08-30,8.4396,-0.0087,-0.10298
2022-08-29,8.4483,-0.0161,-0.19021
2022-08-28,8.4644,-0.0236,-0.27804
2022-08-25,8.488,0.0221,0.26105
2022-08-24,8.4659,0.0385,0.45684
2022-08-23,8.4274,0.0096,0.11404
2022-08-22,8.4178,0.0103,0.12251
2022-08-21,8.4075,-0.0165,-0.19587
2022-08-18,8.424,-0.0104,-0.1233
2022-08-17,8.4344,-0.0041,-0.04859
2022-08-16,8.4385,-0.0144,-0.17036
2022-08-15,8.4529,0.0058,0.06866
2022-08-14,8.4471,0.0153,0.18146
2022-08-11,8.4318,0.0239,0.28426
2022-08-10,8.4079,0.0052,0.06188
2022-08-09,8.4027,0.0057,0.06788
2022-08-08,8.397,-0.0016,-0.01905
2022-08-07,8.3986,0.0035,0.04169
2022-08-04,8.3951,-0.0167,-0.19853
2022-08-03,8.4118,0.0103,0.1226
2022-08-02,8.4015,0.0087,0.10366
2022-08-01,8.3928,-0.0254,-0.30173
2022-07-31,8.4182,0.0128,0.15228
2022-07-28,8.4054,0.0214,0.25525
2022-07-27,8.384,0.0367,0.43966
2022-07-26,8.3473,0.0215,0.25823
2022-07-25,8.3258,0.0008,0.00961
2022-07-24,8.325,0.0135,0.16243
2022-07-21,8.3115,0.0301,0.36347
2022-07-20,8.2814,0.042,0.50975
2022-07-19,8.2394,-0.0038,-0.0461
2022-07-18,8.2432,-0.044,-0.53094
2022-07-17,8.2872,-0.0168,-0.20231
2022-07-14,8.304,-0.0066,-0.07942
2022-07-13,8.3106,-0.0186,-0.22331
2022-07-12,8.3292,-0.0286,-0.3422
2022-07-11,8.3578,-0.0339,-0.40397
2022-07-10,8.3917,-0.0021,-0.02502
2022-07-07,8.3938,-0.0164,-0.195
2022-07-06,8.4102,-0.0191,-0.22659
2022-07-05,8.4293,-0.0279,-0.3299
2022-07-04,8.4572,-0.012,-0.14169
2022-07-03,8.4692,-0.0077,-0.09084
2022-06-30,8.4769,0.0144,0.17016
2022-06-29,8.4625,-0.0001,-0.00118
2022-06-28,8.4626,-0.0126,-0.14867
2022-06-27,8.4752,-0.0072,-0.08488
2022-06-26,8.4824,-0.0046,-0.0542
2022-06-23,8.487,-0.0153,-0.17995
2022-06-22,8.5023,-0.0184,-0.21594
2022-06-21,8.5207,,
2022-06-20,8.5247,-0.0126,-0.14759
2022-06-19,8.5373,,
2022-06-16,8.5345,-0.0179,-0.2093
2022-06-15,8.5524,-0.0028,-0.03273
2022-06-14,8.5552,0.0245,0.2872
2022-06-13,8.5307,-0.0311,-0.36324
2022-06-12,8.5618,-0.0684,-0.79257
2022-06-09,8.6302,-0.033,-0.38092
2022-06-08,8.6632,-0.0072,-0.08304
2022-06-07,8.6704,0.0085,0.09813
2022-06-06,8.6619,0.007,0.08088
2022-06-05,8.6549,0.0064,0.074
2022-06-01,8.6485,0.0408,0.47399
2022-05-31,8.6077,-0.0334,-0.38652
2022-05-30,8.6411,-0.0152,-0.17559
2022-05-29,8.6563,-0.003,-0.03464
2022-05-26,8.6593,0.0047,0.05431
2022-05-25,8.6546,0.0074,0.08558
2022-05-24,8.6472,0.0096,0.11114
2022-05-23,8.6376,0.0198,0.22976
2022-05-22,8.6178,-0.0035,-0.0406
2022-05-19,8.6213,0.0146,0.16964
2022-05-18,8.6067,-0.0013,-0.0151
2022-05-17,8.608,-0.0019,-0.02207
2022-05-16,8.6099,-0.0298,-0.34492
2022-05-15,8.6397,0.0015,0.01736
2022-05-12,8.6382,-0.0108,-0.12487
2022-05-11,8.649,-0.0154,-0.17774
2022-05-10,8.6644,0.0059,0.06814
2022-05-09,8.6585,-0.0155,-0.17869
2022-05-08,8.674,0.0115,0.13276
2022-05-05,8.6625,-0.0217,-0.24988
2022-05-04,8.6842,-0.0225,-0.25842
2022-05-03,8.7067,0.0224,0.25794
2022-05-02,8.6843,-0.0112,-0.1288
2022-04-28,8.6955,-0.0063,-0.0724
2022-04-27,8.7018,0.0053,0.06094
2022-04-26,8.6965,-0.0128,-0.14697
2022-04-25,8.7093,0.016,0.18405
2022-04-24,8.6933,-0.0156,-0.17913
2022-04-21,8.7089,-0.0051,-0.05853
2022-04-20,8.714,-0.0183,-0.20957
2022-04-19,8.7323,0.0042,0.04812
2022-04-18,8.7281,-0.0197,-0.2252
2022-04-17,8.7478,0.0023,0.0263
2022-04-14,8.7455,-0.0108,-0.12334
2022-04-13,8.7563,-0.0035,-0.03996
2022-04-12,8.7598,0.0092,0.10514
2022-04-11,8.7506,-0.0121,-0.13809
2022-04-10,8.7627,-0.0301,-0.34233
2022-04-07,8.7928,-0.0174,-0.1975
2022-04-06,8.8102,0.0012,0.01362
2022-04-05,8.809,0.0558,0.63748
2022-03-31,8.7532,-0.0116,-0.13235
2022-03-30,8.7648,0.0232,0.2654
2022-03-29,8.7416,0.053,0.60999
2022-03-28,8.6886,0.0178,0.20529
2022-03-27,8.6708,-0.004,-0.04611
2022-03-24,8.6748,-0.0024,-0.02766
2022-03-23,8.6772,-0.0079,-0.09096
2022-03-22,8.6851,0.0163,0.18803
2022-03-21,8.6688,-0.0132,-0.15204
