tradeDate,nav,change,changePercent
2022-08-30,8.5637,-0.0091,-0.10615
2022-08-29,8.5728,-0.0003,-0.0035
2022-08-28,8.5731,-0.0251,-0.29192
2022-08-25,8.5982,0.0168,0.19577
2022-08-24,8.5814,0.0263,0.30742
2022-08-23,8.5551,-0.0042,-0.04907
2022-08-22,8.5593,0.002,0.02337
2022-08-21,8.5573,-0.0329,-0.38299
2022-08-18,8.5902,-0.0208,-0.24155
2022-08-17,8.611,0.0012,0.01394
2022-08-16,8.6098,-0.0225,-0.26065
2022-08-15,8.6323,0.0015,0.01738
2022-08-14,8.6308,0.026,0.30216
2022-08-11,8.6048,0.0073,0.08491
2022-08-10,8.5975,0.0522,0.61086
2022-08-09,8.5453,0.0128,0.15001
2022-08-08,8.5325,0.0014,0.01641
2022-08-07,8.5311,0.0021,0.02462
2022-08-04,8.529,-0.0106,-0.12413
2022-08-03,8.5396,0.0197,0.23122
2022-08-02,8.5199,-0.0229,-0.26806
2022-08-01,8.5428,0.0051,0.05974
2022-07-31,8.5377,-0.0245,-0.28614
2022-07-28,8.5622,0.0411,0.48233
2022-07-27,8.5211,0.0339,0.39943
2022-07-26,8.4872,0.0001,0.00118
2022-07-25,8.4871,0.001,0.01178
2022-07-24,8.4861,0.025,0.29547
2022-07-21,8.4611,0.052,0.61838
2022-07-20,8.4091,0.0306,0.36522
2022-07-19,8.3785,0.009,0.10753
2022-07-18,8.3695,-0.0064,-0.07641
2022-07-17,8.3759,-0.0034,-0.04058
2022-07-14,8.3793,0.0026,0.03104
2022-07-13,8.3767,-0.0295,-0.35093
2022-07-12,8.4062,,
2022-07-11,8.4209,-0.0139,-0.16479
2022-07-10,8.4348,0.0015,0.01779
2022-07-07,8.4333,-0.009,-0.10661
2022-07-06,8.4423,-0.027,-0.3188
2022-07-05,8.4693,-0.0138,-0.16268
2022-07-04,8.4831,-0.0083,-0.09775
2022-07-03,8.4914,-0.0305,-0.3579
2022-06-29,8.5219,0.0024,0.02817
2022-06-28,8.5195,-0.0097,-0.11373
2022-06-27,8.5292,-0.0135,-0.15803
2022-06-26,8.5427,0.0052,0.06091
2022-06-23,8.5375,-0.009,-0.10531
2022-06-22,8.5465,0.0133,0.15586
2022-06-21,8.5332,,
2022-06-20,8.5302,-0.012,-0.14048
2022-06-19,8.5422,0.0031,0.0363
2022-06-16,8.5391,0.0054,0.06328
2022-06-15,8.5337,0.0035,0.04103
2022-06-14,8.5302,0.0151,0.17733
2022-06-13,8.5151,-0.0275,-0.32192
2022-06-12,8.5426,-0.093,-1.07694
2022-06-09,8.6356,-0.0296,-0.3416
2022-06-08,8.6652,-0.0034,-0.03922
2022-06-07,8.6686,-0.0097,-0.11177
2022-06-06,8.6783,-0.0026,-0.02995
2022-06-05,8.6809,-0.0056,-0.06447
2022-06-01,8.6865,0.0013,0.01497
2022-05-31,8.6852,-0.0702,-0.80179
2022-05-30,8.7554,0.0035,0.03999
2022-05-29,8.7519,0.0094,0.10752
2022-05-26,8.7425,0.0239,0.27413
2022-05-25,8.7186,0.0285,0.32796
2022-05-24,8.6901,0.0273,0.31514
2022-05-23,8.6628,0.0154,0.17809
2022-05-22,8.6474,0.0132,0.15288
2022-05-19,8.6342,0.0134,0.15544
2022-05-18,8.6208,0.013,0.15103
2022-05-17,8.6078,-0.0105,-0.12183
2022-05-16,8.6183,-0.0121,-0.1402
2022-05-15,8.6304,-0.0053,-0.06137
2022-05-12,8.6357,-0.0047,-0.0544
2022-05-11,8.6404,-0.0072,-0.08326
2022-05-10,8.6476,0.006,0.06943
2022-05-09,8.6416,-0.0162,-0.18711
2022-05-05,8.6578,-0.0279,-0.32122
2022-05-04,8.6857,0.0,0.0
2022-05-03,8.6857,0.0113,0.13027
2022-05-02,8.6744,-0.0841,-0.96021
2022-04-28,8.7585,-0.014,-0.15959
2022-04-27,8.7725,-0.0135,-0.15365
2022-04-26,8.786,-0.011,-0.12504
2022-04-25,8.797,0.0084,0.09558
2022-04-24,8.7886,0.0044,0.05009
2022-04-21,8.7842,-0.0131,-0.14891
2022-04-20,8.7973,-0.0102,-0.11581
2022-04-19,8.8075,-0.0089,-0.10095
2022-04-18,8.8164,-0.0336,-0.37966
2022-04-13,8.85,-0.0009,-0.01017
2022-04-12,8.8509,0.0193,0.21853
2022-04-11,8.8316,-0.0029,-0.03283
2022-04-10,8.8345,-0.0271,-0.30581
2022-04-07,8.8616,-0.017,-0.19147
2022-04-06,8.8786,0.0084,0.0947
2022-04-05,8.8702,-0.0261,-0.29338
2022-03-31,8.8963,-0.07,-0.7807
2022-03-30,8.9663,0.0267,0.29867
2022-03-29,8.9396,0.0286,0.32095
2022-03-28,8.911,0.0335,0.37736
2022-03-27,8.8775,-0.0127,-0.14285
2022-03-24,8.8902,-0.0088,-0.09889
2022-03-23,8.899,-0.0015,-0.01685
2022-03-22,8.9005,0.014,0.15754
2022-03-21,8.8865,-0.0168,-0.18869
2022-03-20,8.9033,0.0208,0.23417
2022-03-17,8.8825,0.0077,0.08676
2022-03-16,8.8748,0.0284,0.32103
2022-03-15,8.8464,0.0208,0.23568
2022-03-14,8.8256,-0.0035,-0.03964
2022-03-13,8.8291,-0.0233,-0.26321
2022-03-10,8.8524,-0.0078,-0.08803
2022-03-09,8.8602,0.0023,0.02597
2022-03-08,8.8579,0.0002,0.00226
2022-03-07,8.8577,-0.0582,-0.65277
2022-03-06,8.9159,-0.057,-0.63525
2022-03-03,8.9729,-0.0691,-0.76421
2022-03-02,9.042,-0.0121,-0.13364
2022-03-01,9.0541,-0.0332,-0.36535
2022-02-28,9.0873,-0.0879,-0.95802
2022-02-24,9.1752,-0.0836,-0.90292
2022-02-23,9.2588,-0.0823,-0.88105
2022-02-22,9.3411,-0.0331,-0.3531
2022-02-21,9.3742,-0.0209,-0.22246
2022-02-20,9.3951,-0.0007,-0.00745
2022-02-17,9.3958,-0.0034,-0.03617
2022-02-16,9.3992,0.0074,0.07879
2022-02-15,9.3918,0.0039,0.04154
2022-02-14,9.3879,-0.0038,-0.04046
2022-02-13,9.3917,-0.0138,-0.14672
2022-02-10,9.4055,-0.0172,-0.18254
2022-02-09,9.4227,-0.0113,-0.11978
2022-02-08,9.434,0.0094,0.09974
2022-02-07,9.4246,-0.0044,-0.04666
2022-02-06,9.429,-0.0772,-0.8121
2022-01-27,9.5062,-0.0038,-0.03996
2022-01-26,9.51,-0.0079,-0.083
2022-01-25,9.5179,-0.0006,-0.0063
2022-01-24,9.5185,-0.0075,-0.07873
2022-01-23,9.526,-0.0039,-0.04092
2022-01-20,9.5299,0.0145,0.15238
2022-01-19,9.5154,0.0246,0.2592
2022-01-18,9.4908,0.0004,0.00421
2022-01-17,9.4904,-0.0576,-0.60327
2022-01-16,9.548,-0.0016,-0.01675
2022-01-13,9.5496,-0.0223,-0.23297
2022-01-12,9.5719,-0.0058,-0.06056
2022-01-11,9.5777,0.0038,0.03969
2022-01-10,9.5739,-0.0013,-0.01358
2022-01-09,9.5752,-0.014,-0.146
2022-01-06,9.5892,-0.0017,-0.01773
2022-01-05,9.5909,-0.0227,-0.23612
2022-01-04,9.6136,-0.0011,-0.01144
2022-01-03,9.6147,-0.0106,-0.11013
2022-01-02,9.6253,-0.051,-0.52706
2021-12-29,9.6763,0.0066,0.06825
2021-12-28,9.6697,0.0056,0.05795
2021-12-27,9.6641,0.0094,0.09736
2021-12-23,9.6547,0.0025,0.0259
2021-12-22,9.6522,0.0102,0.10579
2021-12-21,9.642,-0.0004,-0.00415
