tradeDate,nav,change,changePercent
2022-08-30,4.9622,-0.017,-0.34142
2022-08-29,4.9792,-0.0069,-0.13838
2022-08-28,4.9861,-0.0086,-0.17218
2022-08-25,4.9947,0.0056,0.11224
2022-08-24,4.9891,0.021,0.4227
2022-08-23,4.9681,-0.0111,-0.22293
2022-08-22,4.9792,0.0355,0.71809
2022-08-21,4.9437,-0.0247,-0.49714
2022-08-18,4.9684,-0.0304,-0.60815
2022-08-17,4.9988,-0.0334,-0.66373
2022-08-16,5.0322,-0.036,-0.71031
2022-08-15,5.0682,-0.0283,-0.55528
2022-08-14,5.0965,-0.0195,-0.38116
2022-08-11,5.116,0.0089,0.17427
2022-08-10,5.1071,0.0181,0.35567
2022-08-09,5.089,0.0337,0.66663
2022-08-08,5.0553,-0.011,-0.21712
2022-08-07,5.0663,0.0269,0.53379
2022-08-04,5.0394,-0.0404,-0.79531
2022-08-03,5.0798,0.0281,0.55625
2022-08-02,5.0517,0.0007,0.01386
2022-08-01,5.051,-0.013,-0.25671
2022-07-31,5.064,-0.0962,-1.86427
2022-07-28,5.1602,0.0575,1.12685
2022-07-27,5.1027,0.0477,0.94362
2022-07-26,5.055,0.0123,0.24392
2022-07-25,5.0427,0.0003,0.00595
2022-07-24,5.0424,0.0306,0.61056
2022-07-21,5.0118,-0.0173,-0.344
2022-07-20,5.0291,-0.0186,-0.36848
2022-07-19,5.0477,-0.0056,-0.11082
2022-07-18,5.0533,0.0316,0.62927
2022-07-17,5.0217,0.0492,0.98944
2022-07-14,4.9725,0.062,1.2626
2022-07-13,4.9105,-0.0664,-1.33416
2022-07-12,4.9769,0.0087,0.17511
2022-07-11,4.9682,-0.0411,-0.82047
2022-07-10,5.0093,-0.0708,-1.39367
2022-07-07,5.0801,-0.0054,-0.10618
2022-07-06,5.0855,0.0181,0.35719
2022-07-05,5.0674,-0.0404,-0.79095
2022-07-04,5.1078,-0.0362,-0.70373
2022-06-30,5.144,-0.1208,-2.29448
2022-06-29,5.2648,-0.0088,-0.16687
2022-06-28,5.2736,-0.0176,-0.33263
2022-06-27,5.2912,-0.0363,-0.68137
2022-06-26,5.3275,0.0067,0.12592
2022-06-23,5.3208,-0.0125,-0.23438
2022-06-22,5.3333,-0.0143,-0.26741
2022-06-21,5.3476,,
2022-06-20,5.3861,-0.0274,-0.50614
2022-06-16,5.4135,-0.0214,-0.39375
2022-06-15,5.4349,-0.0422,-0.77048
2022-06-14,5.4771,0.0157,0.28747
2022-06-13,5.4614,0.0006,0.01099
2022-06-12,5.4608,-0.0933,-1.67984
2022-06-09,5.5541,-0.0697,-1.23938
2022-06-08,5.6238,-0.0484,-0.85328
2022-06-07,5.6722,-0.0248,-0.43532
2022-06-06,5.697,-0.0367,-0.64008
2022-06-05,5.7337,-0.0163,-0.28348
2022-06-01,5.75,0.0314,0.54909
2022-05-31,5.7186,-0.1217,-2.0838
2022-05-30,5.8403,0.0501,0.86526
2022-05-26,5.7902,0.0179,0.3101
2022-05-25,5.7723,0.0299,0.52069
2022-05-24,5.7424,0.0215,0.37581
2022-05-23,5.7209,-0.0112,-0.19539
2022-05-22,5.7321,0.0252,0.44157
2022-05-19,5.7069,0.0526,0.93027
2022-05-18,5.6543,0.0164,0.29089
2022-05-17,5.6379,-0.0269,-0.47486
2022-05-16,5.6648,0.0406,0.72188
2022-05-15,5.6242,0.0042,0.07473
2022-05-12,5.62,0.0083,0.14791
2022-05-11,5.6117,-0.0298,-0.52823
2022-05-10,5.6415,-0.0068,-0.12039
2022-05-09,5.6483,0.0081,0.14361
2022-05-08,5.6402,-0.063,-1.10464
2022-05-05,5.7032,-0.0175,-0.30591
2022-05-04,5.7207,-0.0356,-0.61845
2022-05-03,5.7563,0.0057,0.09912
2022-05-02,5.7506,-0.1272,-2.16407
2022-04-28,5.8778,-0.0001,-0.0017
2022-04-27,5.8779,-0.0325,-0.54988
2022-04-26,5.9104,-0.0085,-0.14361
2022-04-25,5.9189,-0.006,-0.10127
2022-04-24,5.9249,-0.059,-0.98598
2022-04-21,5.9839,-0.0782,-1.28998
2022-04-20,6.0621,-0.017,-0.27965
2022-04-19,6.0791,0.0097,0.15982
2022-04-18,6.0694,-0.0151,-0.24817
2022-04-17,6.0845,0.009,0.14814
2022-04-13,6.0755,-0.0146,-0.23973
2022-04-12,6.0901,0.0031,0.05093
2022-04-11,6.087,0.0158,0.26025
2022-04-10,6.0712,-0.0127,-0.20875
2022-04-07,6.0839,-0.0205,-0.33582
2022-04-06,6.1044,-0.0178,-0.29075
2022-04-05,6.1222,-0.0086,-0.14028
2022-03-31,6.1308,-0.0801,-1.28967
2022-03-30,6.2109,0.0227,0.36683
2022-03-29,6.1882,-0.0001,-0.00162
2022-03-28,6.1883,0.0217,0.3519
2022-03-27,6.1666,0.0142,0.2308
2022-03-24,6.1524,0.0319,0.5212
2022-03-23,6.1205,0.0016,0.02615
2022-03-22,6.1189,-0.016,-0.2608
2022-03-21,6.1349,-0.0158,-0.25688
2022-03-20,6.1507,0.0442,0.72382
2022-03-17,6.1065,0.0006,0.00983
2022-03-16,6.1059,0.0004,0.00655
2022-03-15,6.1055,0.0601,0.99414
2022-03-14,6.0454,-0.054,-0.88533
2022-03-13,6.0994,-0.0084,-0.13753
2022-03-10,6.1078,-0.0058,-0.09487
2022-03-09,6.1136,-0.0003,-0.00491
2022-03-08,6.1139,0.0286,0.46999
2022-03-07,6.0853,0.0258,0.42578
2022-03-06,6.0595,-0.0712,-1.16137
2022-03-03,6.1307,-0.0889,-1.42935
2022-03-02,6.2196,-0.0003,-0.00482
2022-03-01,6.2199,0.0071,0.11428
2022-02-28,6.2128,-0.2346,-3.63868
2022-02-24,6.4474,0.0451,0.70443
2022-02-23,6.4023,-0.1014,-1.55911
2022-02-22,6.5037,-0.0051,-0.07836
2022-02-21,6.5088,-0.0133,-0.20392
2022-02-17,6.5221,-0.0178,-0.27218
2022-02-16,6.5399,-0.0557,-0.8445
2022-02-15,6.5956,0.0093,0.1412
2022-02-14,6.5863,0.0427,0.65255
2022-02-13,6.5436,-0.0022,-0.03361
2022-02-10,6.5458,-0.0203,-0.30916
2022-02-09,6.5661,0.0063,0.09604
2022-02-08,6.5598,0.0173,0.26442
2022-02-07,6.5425,-0.0131,-0.19983
2022-02-06,6.5556,-0.0698,-1.05352
2022-01-27,6.6254,0.0039,0.0589
2022-01-26,6.6215,-0.0043,-0.0649
2022-01-25,6.6258,0.0051,0.07703
2022-01-24,6.6207,0.0124,0.18764
2022-01-23,6.6083,-0.0149,-0.22497
2022-01-20,6.6232,0.0103,0.15576
2022-01-19,6.6129,0.015,0.22735
2022-01-18,6.5979,0.0346,0.52717
2022-01-17,6.5633,-0.0406,-0.61479
2022-01-13,6.6039,-0.0197,-0.29742
2022-01-12,6.6236,0.0025,0.03776
2022-01-11,6.6211,0.0031,0.04684
2022-01-10,6.618,0.0254,0.38528
2022-01-09,6.5926,-0.0068,-0.10304
2022-01-06,6.5994,0.0178,0.27045
2022-01-05,6.5816,-0.0063,-0.09563
2022-01-04,6.5879,0.0029,0.04404
2022-01-03,6.585,-0.1091,-1.62979
