tradeDate,nav,change,changePercent
2022-08-30,9.6117,0.0001,0.00104
2022-08-29,9.6116,0.0008,0.00832
2022-08-28,9.6108,-0.0289,-0.2998
2022-08-25,9.6397,0.0413,0.43028
2022-08-24,9.5984,0.0237,0.24753
2022-08-23,9.5747,0.0204,0.21352
2022-08-22,9.5543,0.0028,0.02931
2022-08-21,9.5515,0.0179,0.18776
2022-08-18,9.5336,0.0178,0.18706
2022-08-17,9.5158,-0.0003,-0.00315
2022-08-16,9.5161,-0.0271,-0.28397
2022-08-15,9.5432,0.0591,0.62315
2022-08-14,9.4841,0.0253,0.26748
2022-08-11,9.4588,0.0019,0.02009
2022-08-10,9.4569,0.003,0.03173
2022-08-09,9.4539,0.0036,0.03809
2022-08-08,9.4503,-0.01,-0.1057
2022-08-07,9.4603,0.0112,0.11853
2022-08-04,9.4491,-0.0034,-0.03597
2022-08-03,9.4525,-0.0158,-0.16687
2022-08-02,9.4683,-0.0197,-0.20763
2022-08-01,9.488,-0.0174,-0.18305
2022-07-31,9.5054,0.0151,0.15911
2022-07-28,9.4903,0.0505,0.53497
2022-07-27,9.4398,0.0176,0.18679
2022-07-26,9.4222,0.0006,0.00637
2022-07-25,9.4216,0.0261,0.27779
2022-07-24,9.3955,-0.0109,-0.11588
2022-07-21,9.4064,0.0589,0.63012
2022-07-20,9.3475,0.017,0.1822
2022-07-19,9.3305,-0.0007,-0.0075
2022-07-18,9.3312,-0.0334,-0.35666
2022-07-17,9.3646,0.0008,0.00854
2022-07-14,9.3638,0.0129,0.13795
2022-07-13,9.3509,-0.0041,-0.04383
2022-07-12,9.355,-0.0245,-0.26121
2022-07-11,9.3795,-0.0473,-0.50176
2022-07-10,9.4268,-0.0261,-0.27611
2022-07-07,9.4529,-0.0058,-0.06132
2022-07-06,9.4587,-0.0332,-0.34977
2022-07-05,9.4919,-0.0373,-0.39143
2022-07-04,9.5292,-0.0327,-0.34198
2022-07-03,9.5619,-0.0043,-0.04495
2022-06-30,9.5662,0.0063,0.0659
2022-06-29,9.5599,-0.005,-0.05227
2022-06-28,9.5649,-0.0241,-0.25133
2022-06-27,9.589,-0.0038,-0.03961
2022-06-26,9.5928,-0.0238,-0.24749
2022-06-23,9.6166,0.0071,0.07389
2022-06-22,9.6095,-0.0268,-0.27812
2022-06-21,9.6363,,
2022-06-20,9.6561,-0.0227,-0.23453
2022-06-19,9.6788,-0.0258,-0.26585
2022-06-16,9.7046,0.0054,0.05567
2022-06-15,9.6992,-0.0127,-0.13077
2022-06-14,9.7119,0.011,0.11339
2022-06-13,9.7009,-0.0318,-0.32673
2022-06-12,9.7327,-0.1045,-1.06229
2022-06-09,9.8372,-0.0295,-0.29899
2022-06-08,9.8667,-0.0193,-0.19523
2022-06-07,9.886,-0.0034,-0.03438
2022-06-06,9.8894,-0.0059,-0.05962
2022-06-05,9.8953,0.002,0.02022
2022-06-01,9.8933,-0.0018,-0.01819
2022-05-31,9.8951,-0.0147,-0.14834
2022-05-30,9.9098,-0.0033,-0.03329
2022-05-29,9.9131,-0.012,-0.12091
2022-05-26,9.9251,0.0039,0.03931
2022-05-25,9.9212,0.0154,0.15546
2022-05-24,9.9058,0.0102,0.10308
2022-05-23,9.8956,0.0085,0.08597
2022-05-22,9.8871,0.0033,0.03339
2022-05-19,9.8838,0.0216,0.21902
2022-05-18,9.8622,0.0138,0.14012
2022-05-17,9.8484,-0.0186,-0.18851
2022-05-16,9.867,-0.0238,-0.24063
2022-05-15,9.8908,-0.0028,-0.0283
2022-05-12,9.8936,0.0021,0.02123
2022-05-11,9.8915,-0.0244,-0.24607
2022-05-10,9.9159,-0.0105,-0.10578
2022-05-09,9.9264,-0.0111,-0.1117
2022-05-08,9.9375,-0.0217,-0.21789
2022-05-05,9.9592,-0.0124,-0.12435
2022-05-04,9.9716,0.0058,0.0582
2022-05-03,9.9658,-0.0051,-0.05115
2022-05-02,9.9709,-0.0073,-0.07316
2022-04-28,9.9782,0.0196,0.19681
2022-04-27,9.9586,0.0173,0.17402
2022-04-26,9.9413,0.0048,0.04831
2022-04-25,9.9365,0.0143,0.14412
2022-04-24,9.9222,-0.0224,-0.22525
2022-04-21,9.9446,-0.0117,-0.11751
2022-04-20,9.9563,-0.0196,-0.19647
2022-04-19,9.9759,-0.0067,-0.06712
2022-04-18,9.9826,-0.0219,-0.2189
2022-04-13,10.0045,0.0188,0.18827
2022-04-12,9.9857,0.004,0.04007
2022-04-11,9.9817,-0.0359,-0.35837
2022-04-10,10.0176,-0.0594,-0.58946
