tradeDate,nav,change,changePercent
2022-08-29,9.73,0.07,0.72464
2022-08-28,9.66,0.06,0.625
2022-08-25,9.6,0.02,0.20877
2022-08-24,9.58,-0.02,-0.20833
2022-08-23,9.6,0.02,0.20877
2022-08-22,9.58,0.03,0.31414
2022-08-21,9.55,0.03,0.31513
2022-08-18,9.52,-0.01,-0.10493
2022-08-17,9.53,-0.06,-0.62565
2022-08-16,9.59,0.07,0.73529
2022-08-11,9.52,0.0,0.0
2022-08-10,9.52,-0.05,-0.52247
2022-08-09,9.57,0.09,0.94937
2022-08-07,9.48,-0.03,-0.31546
2022-08-04,9.51,-0.06,-0.62696
2022-08-03,9.57,0.0,0.0
2022-08-02,9.57,-0.09,-0.93168
2022-08-01,9.66,0.07,0.72993
2022-07-31,9.59,0.09,0.94737
2022-07-28,9.5,0.03,0.31679
2022-07-27,9.47,0.05,0.53079
2022-07-26,9.42,0.01,0.10627
2022-07-25,9.41,-0.01,-0.10616
2022-07-24,9.42,0.0,0.0
2022-07-21,9.42,0.04,0.42644
2022-07-20,9.38,0.0,0.0
2022-07-19,9.38,-0.01,-0.1065
2022-07-18,9.39,0.03,0.32051
2022-07-17,9.36,-0.04,-0.42553
2022-07-14,9.4,0.0,0.0
2022-07-13,9.4,-0.02,-0.21231
2022-07-12,9.42,-0.02,-0.21186
2022-07-11,9.44,0.06,0.63966
2022-07-10,9.38,-0.04,-0.42463
2022-07-07,9.42,-0.03,-0.31746
2022-07-06,9.45,-0.02,-0.21119
2022-07-05,9.47,0.07,0.74468
2022-07-04,9.4,-0.02,-0.21231
2022-07-03,9.42,-0.01,-0.10604
2022-06-30,9.43,0.0,0.0
2022-06-29,9.43,0.04,0.42599
2022-06-28,9.39,0.03,0.32051
2022-06-27,9.36,-0.08,-0.84746
2022-06-26,9.44,-0.06,-0.63158
2022-06-23,9.5,-0.02,-0.21008
2022-06-22,9.52,0.0,0.0
2022-06-21,9.52,,
2022-06-20,9.49,-0.03,-0.31513
2022-06-19,9.52,0.03,0.31612
2022-06-16,9.49,-0.03,-0.31513
2022-06-15,9.52,0.02,0.21053
2022-06-14,9.5,0.0,0.0
2022-06-13,9.5,0.03,0.31679
2022-06-12,9.47,0.03,0.3178
2022-06-09,9.44,-0.04,-0.42194
2022-06-08,9.48,0.0,0.0
2022-06-07,9.48,0.01,0.1056
2022-06-06,9.47,0.04,0.42418
2022-06-05,9.43,-0.06,-0.63224
2022-06-01,9.49,0.02,0.21119
2022-05-31,9.47,0.07,0.74468
2022-05-30,9.4,-0.02,-0.21231
2022-05-29,9.42,-0.06,-0.63291
2022-05-26,9.48,-0.07,-0.73298
2022-05-25,9.55,-0.03,-0.31315
2022-05-24,9.58,-0.02,-0.20833
2022-05-23,9.6,0.04,0.41841
2022-05-22,9.56,0.01,0.10471
2022-05-19,9.55,-0.1,-1.03627
