tradeDate,nav,change,changePercent
2022-08-30,9.0978,-0.0348,-0.38105
2022-08-29,9.1326,0.0203,0.22278
2022-08-28,9.1123,0.0392,0.43205
2022-08-25,9.0731,0.0181,0.19989
2022-08-24,9.055,-0.0155,-0.17088
2022-08-23,9.0705,0.0222,0.24535
2022-08-22,9.0483,0.0335,0.37161
2022-08-21,9.0148,0.0057,0.06327
2022-08-18,9.0091,-0.0012,-0.01332
2022-08-17,9.0103,0.004,0.04441
2022-08-16,9.0063,-0.0171,-0.18951
2022-08-15,9.0234,0.011,0.12205
2022-08-14,9.0124,0.0217,0.24136
2022-08-11,8.9907,0.0344,0.38409
2022-08-10,8.9563,0.0052,0.05809
2022-08-09,8.9511,0.0101,0.11296
2022-08-08,8.941,-0.0202,-0.22542
2022-08-07,8.9612,0.0414,0.46414
2022-08-04,8.9198,-0.0435,-0.48531
2022-08-03,8.9633,0.0163,0.18218
2022-08-02,8.947,0.0104,0.11638
2022-08-01,8.9366,-0.0106,-0.11847
2022-07-31,8.9472,0.0328,0.36794
2022-07-28,8.9144,0.0396,0.44621
2022-07-27,8.8748,0.0273,0.30856
2022-07-26,8.8475,0.0181,0.205
2022-07-25,8.8294,0.0094,0.10658
2022-07-24,8.82,0.0193,0.2193
2022-07-21,8.8007,0.0249,0.28373
2022-07-20,8.7758,0.0261,0.2983
2022-07-19,8.7497,0.0039,0.04459
2022-07-18,8.7458,-0.0257,-0.29299
2022-07-17,8.7715,-0.0123,-0.14003
2022-07-14,8.7838,0.0169,0.19277
2022-07-13,8.7669,-0.0027,-0.03079
2022-07-12,8.7696,-0.0223,-0.25364
2022-07-11,8.7919,0.0026,0.02958
2022-07-10,8.7893,0.0065,0.07401
2022-07-07,8.7828,-0.0064,-0.07282
2022-07-06,8.7892,-0.0022,-0.02502
2022-07-05,8.7914,-0.0092,-0.10454
2022-07-04,8.8006,-0.0107,-0.12143
2022-06-30,8.8113,0.0186,0.21154
2022-06-29,8.7927,0.0012,0.01365
2022-06-28,8.7915,-0.0006,-0.00682
2022-06-27,8.7921,-0.0058,-0.06592
2022-06-26,8.7979,-0.0378,-0.42781
