tradeDate,nav,change,changePercent
2022-08-30,10.2135,0.0073,0.07153
2022-08-29,10.2062,-0.0055,-0.05386
2022-08-28,10.2117,-0.0116,-0.11347
2022-08-25,10.2233,0.0068,0.06656
2022-08-24,10.2165,0.0107,0.10484
2022-08-23,10.2058,0.007,0.06864
2022-08-22,10.1988,0.0128,0.12566
2022-08-21,10.186,-0.0091,-0.08926
2022-08-18,10.1951,0.0028,0.02747
2022-08-17,10.1923,0.0006,0.00589
2022-08-16,10.1917,-0.0164,-0.16066
2022-08-15,10.2081,0.0227,0.22287
2022-08-14,10.1854,0.0222,0.21844
2022-08-11,10.1632,0.0118,0.11624
2022-08-10,10.1514,0.0227,0.22412
2022-08-09,10.1287,0.0166,0.16416
2022-08-08,10.1121,-0.0137,-0.1353
2022-08-07,10.1258,0.0156,0.1543
2022-08-04,10.1102,-0.0115,-0.11362
2022-08-03,10.1217,0.019,0.18807
2022-08-02,10.1027,0.0119,0.11793
2022-08-01,10.0908,-0.0159,-0.15732
2022-07-31,10.1067,0.0151,0.14963
2022-07-28,10.0916,0.0196,0.1946
2022-07-27,10.072,0.0332,0.33072
2022-07-26,10.0388,0.0027,0.0269
2022-07-25,10.0361,0.0095,0.09475
2022-07-24,10.0266,0.0163,0.16283
2022-07-21,10.0103,0.0119,0.11902
2022-07-20,9.9984,0.0347,0.34826
2022-07-19,9.9637,0.0264,0.26567
2022-07-18,9.9373,-0.0251,-0.25195
2022-07-17,9.9624,-0.0011,-0.01104
2022-07-14,9.9635,0.0055,0.05523
2022-07-13,9.958,-0.0065,-0.06523
2022-07-12,9.9645,-0.0295,-0.29518
2022-07-11,9.994,-0.0409,-0.40758
2022-07-10,10.0349,-0.0083,-0.08264
2022-07-07,10.0432,0.0108,0.10765
2022-07-06,10.0324,-0.0019,-0.01894
2022-07-05,10.0343,-0.0225,-0.22373
2022-07-04,10.0568,-0.0115,-0.11422
2022-07-03,10.0683,-0.0081,-0.08039
2022-06-30,10.0764,0.0154,0.15307
2022-06-29,10.061,-0.0085,-0.08441
2022-06-28,10.0695,-0.0261,-0.25853
2022-06-27,10.0956,-0.0102,-0.10093
2022-06-26,10.1058,0.0078,0.07724
2022-06-23,10.098,-0.0079,-0.07817
2022-06-22,10.1059,-0.0013,-0.01286
2022-06-21,10.1072,,
2022-06-20,10.0982,0.0098,0.09714
2022-06-19,10.0884,,
2022-06-16,10.0937,-0.0099,-0.09798
2022-06-15,10.1036,-0.0163,-0.16107
2022-06-14,10.1199,0.0319,0.31622
2022-06-13,10.088,-0.0088,-0.08716
2022-06-12,10.0968,-0.0676,-0.66507
2022-06-09,10.1644,-0.0262,-0.2571
2022-06-08,10.1906,-0.0182,-0.17828
2022-06-07,10.2088,-0.0002,-0.00196
2022-06-06,10.209,-0.0061,-0.05972
2022-06-05,10.2151,-0.0082,-0.08021
2022-06-01,10.2233,0.0018,0.01761
2022-05-31,10.2215,-0.0076,-0.0743
2022-05-30,10.2291,0.0135,0.13215
2022-05-29,10.2156,-0.0083,-0.08118
2022-05-26,10.2239,0.009,0.08811
2022-05-25,10.2149,0.0256,0.25124
2022-05-24,10.1893,0.0113,0.11102
2022-05-23,10.178,0.0094,0.09244
2022-05-22,10.1686,0.0068,0.06692
2022-05-19,10.1618,0.0083,0.08175
2022-05-18,10.1535,-0.0074,-0.07283
2022-05-17,10.1609,0.0025,0.02461
2022-05-16,10.1584,-0.0187,-0.18375
2022-05-15,10.1771,0.0176,0.17324
2022-05-12,10.1595,-0.0035,-0.03444
2022-05-11,10.163,-0.0203,-0.19935
2022-05-10,10.1833,-0.0092,-0.09026
2022-05-09,10.1925,-0.0183,-0.17922
2022-05-08,10.2108,0.0031,0.03037
2022-05-05,10.2077,-0.0058,-0.05679
2022-05-04,10.2135,-0.022,-0.21494
2022-05-03,10.2355,0.0151,0.14774
2022-05-02,10.2204,-0.0074,-0.07235
2022-04-28,10.2278,-0.0018,-0.0176
2022-04-27,10.2296,0.0072,0.07043
2022-04-26,10.2224,-0.0002,-0.00196
2022-04-25,10.2226,0.0139,0.13616
2022-04-24,10.2087,-0.0019,-0.01861
2022-04-21,10.2106,0.0032,0.03135
2022-04-20,10.2074,0.0008,0.00784
2022-04-19,10.2066,0.011,0.10789
2022-04-18,10.1956,-0.0103,-0.10092
2022-04-17,10.2059,0.0089,0.08728
2022-04-14,10.197,-0.0037,-0.03627
2022-04-13,10.2007,0.0084,0.08242
2022-04-12,10.1923,-0.0086,-0.08431
2022-04-11,10.2009,-0.01,-0.09793
2022-04-10,10.2109,-0.0297,-0.29002
2022-04-07,10.2406,-0.0212,-0.20659
2022-04-06,10.2618,-0.0101,-0.09833
2022-04-05,10.2719,0.0324,0.31642
2022-03-31,10.2395,-0.0035,-0.03417
2022-03-30,10.243,0.0078,0.07621
2022-03-29,10.2352,0.0188,0.18402
2022-03-28,10.2164,0.0455,0.44735
2022-03-27,10.1709,0.0185,0.18222
2022-03-24,10.1524,-0.015,-0.14753
2022-03-23,10.1674,-0.0152,-0.14927
2022-03-22,10.1826,0.0068,0.06683
2022-03-21,10.1758,-0.0084,-0.08248
2022-03-20,10.1842,-0.007,-0.06869
2022-03-17,10.1912,0.0091,0.08937
2022-03-16,10.1821,0.056,0.55303
2022-03-15,10.1261,0.0623,0.61905
2022-03-14,10.0638,-0.0064,-0.06355
2022-03-13,10.0702,-0.0172,-0.17051
2022-03-10,10.0874,-0.0111,-0.10992
2022-03-09,10.0985,-0.0015,-0.01485
2022-03-08,10.1,0.025,0.24814
2022-03-07,10.075,-0.0241,-0.23864
2022-03-06,10.0991,-0.1201,-1.17524
2022-03-03,10.2192,-0.0534,-0.51983
2022-03-02,10.2726,0.0017,0.01655
2022-03-01,10.2709,-0.0182,-0.17689
2022-02-28,10.2891,-0.2092,-1.9927
2022-02-24,10.4983,0.026,0.24827
2022-02-23,10.4723,-0.1729,-1.62421
2022-02-22,10.6452,-0.0494,-0.46192
2022-02-21,10.6946,-0.0267,-0.24904
2022-02-20,10.7213,-0.0085,-0.07922
2022-02-17,10.7298,0.0018,0.01678
2022-02-16,10.728,-0.0231,-0.21486
2022-02-15,10.7511,0.0113,0.10522
2022-02-14,10.7398,-0.0001,-0.00093
2022-02-13,10.7399,-0.0408,-0.37845
2022-02-10,10.7807,0.0236,0.21939
2022-02-09,10.7571,-0.0206,-0.19114
2022-02-08,10.7777,0.0051,0.04734
2022-02-07,10.7726,-0.0088,-0.08162
2022-02-06,10.7814,0.0125,0.11607
2022-01-27,10.7689,0.0153,0.14228
2022-01-26,10.7536,0.0112,0.10426
2022-01-25,10.7424,-0.0151,-0.14037
2022-01-24,10.7575,-0.0067,-0.06224
2022-01-23,10.7642,-0.0101,-0.09374
2022-01-21,10.7743,0.0026,0.02414
2022-01-20,10.7717,0.0067,0.06224
2022-01-19,10.765,0.0121,0.11253
2022-01-18,10.7529,0.0382,0.35652
2022-01-17,10.7147,-0.0382,-0.35525
2022-01-16,10.7529,-0.0073,-0.06784
2022-01-13,10.7602,-0.0335,-0.31037
2022-01-12,10.7937,-0.0255,-0.23569
2022-01-11,10.8192,-0.0047,-0.04342
2022-01-10,10.8239,-0.0112,-0.10337
2022-01-09,10.8351,-0.0109,-0.1005
2022-01-06,10.846,0.0049,0.0452
2022-01-05,10.8411,-0.021,-0.19333
2022-01-04,10.8621,-0.0183,-0.16819
2022-01-03,10.8804,-0.0008,-0.00735
2022-01-02,10.8812,-0.006,-0.05511
2021-12-29,10.8872,0.0011,0.0101
2021-12-28,10.8861,0.0029,0.02665
2021-12-27,10.8832,0.0056,0.05148
2021-12-26,10.8776,0.0174,0.16022
2021-12-23,10.8602,0.0004,0.00368
2021-12-22,10.8598,0.01,0.09217
2021-12-21,10.8498,0.0061,0.05625
