tradeDate,nav,change,changePercent
2022-08-30,8.5338,-0.0008,-0.00937
2022-08-29,8.5346,-0.01,-0.11703
2022-08-28,8.5446,-0.0002,-0.00234
2022-08-25,8.5448,0.008,0.09371
2022-08-24,8.5368,0.0202,0.23718
2022-08-23,8.5166,0.0123,0.14463
2022-08-22,8.5043,0.0028,0.03294
2022-08-21,8.5015,-0.0272,-0.31892
2022-08-18,8.5287,-0.0261,-0.30509
2022-08-17,8.5548,-0.0223,-0.25999
2022-08-16,8.5771,-0.0369,-0.42837
2022-08-15,8.614,0.0012,0.01393
2022-08-14,8.6128,-0.0167,-0.19352
2022-08-11,8.6295,0.0116,0.1346
2022-08-10,8.6179,0.0475,0.55423
2022-08-09,8.5704,0.0385,0.45125
2022-08-08,8.5319,0.0511,0.60254
2022-08-07,8.4808,-0.0149,-0.17538
2022-08-04,8.4957,0.0004,0.00471
2022-08-03,8.4953,0.0289,0.34135
2022-08-02,8.4664,0.0102,0.12062
2022-08-01,8.4562,-0.0131,-0.15468
2022-07-31,8.4693,0.054,0.64169
2022-07-28,8.4153,0.0122,0.14518
2022-07-27,8.4031,0.0421,0.50353
2022-07-26,8.361,0.0362,0.43485
2022-07-25,8.3248,-0.0118,-0.14154
2022-07-24,8.3366,0.0101,0.1213
2022-07-21,8.3265,0.0618,0.74776
2022-07-20,8.2647,0.009,0.10902
2022-07-19,8.2557,0.0122,0.148
2022-07-18,8.2435,-0.0017,-0.02062
2022-07-17,8.2452,-0.1519,-1.80896
2022-07-14,8.3971,0.002,0.02382
2022-07-13,8.3951,-0.0621,-0.73429
2022-07-12,8.4572,0.0057,0.06744
2022-07-11,8.4515,-0.0137,-0.16184
2022-07-10,8.4652,-0.0226,-0.26626
2022-07-07,8.4878,-0.0144,-0.16937
2022-07-06,8.5022,0.0087,0.10243
2022-07-05,8.4935,-0.0478,-0.55963
2022-07-04,8.5413,0.0001,0.00117
2022-06-30,8.5412,-0.0124,-0.14497
2022-06-29,8.5536,-0.0054,-0.06309
2022-06-28,8.559,-0.0443,-0.51492
2022-06-27,8.6033,-0.0271,-0.31401
2022-06-26,8.6304,0.0035,0.04057
2022-06-23,8.6269,0.0116,0.13464
2022-06-22,8.6153,-0.003,-0.03481
2022-06-21,8.6183,,
2022-06-20,8.6208,0.0095,0.11032
2022-06-16,8.6113,-0.0085,-0.09861
2022-06-15,8.6198,-0.0306,-0.35374
2022-06-14,8.6504,0.0365,0.42373
2022-06-13,8.6139,-0.0206,-0.23858
2022-06-12,8.6345,-0.1025,-1.17317
2022-06-09,8.737,-0.0635,-0.72155
2022-06-08,8.8005,-0.028,-0.31715
2022-06-07,8.8285,0.0035,0.03966
2022-06-06,8.825,-0.0093,-0.10527
2022-06-05,8.8343,0.006,0.06796
2022-06-01,8.8283,0.0063,0.07141
2022-05-31,8.822,-0.0048,-0.05438
2022-05-30,8.8268,-0.0147,-0.16626
2022-05-26,8.8415,0.0224,0.25399
2022-05-25,8.8191,0.022,0.25008
2022-05-24,8.7971,0.0015,0.01705
2022-05-23,8.7956,0.0152,0.17311
2022-05-22,8.7804,0.037,0.42318
2022-05-19,8.7434,0.0099,0.11336
2022-05-18,8.7335,-0.0095,-0.10866
2022-05-17,8.743,0.0132,0.15121
2022-05-16,8.7298,-0.0137,-0.15669
2022-05-15,8.7435,0.0124,0.14202
2022-05-12,8.7311,-0.0103,-0.11783
