tradeDate,nav,change,changePercent
2022-08-31,9.07,-0.02,-0.22002
2022-08-30,9.09,-0.06,-0.65574
2022-08-29,9.15,-0.03,-0.3268
2022-08-28,9.18,0.0,0.0
2022-08-25,9.18,-0.04,-0.43384
2022-08-24,9.22,0.06,0.65502
2022-08-23,9.16,0.05,0.54885
2022-08-22,9.11,-0.09,-0.97826
2022-08-21,9.2,-0.06,-0.64795
2022-08-18,9.26,-0.02,-0.21552
2022-08-17,9.28,0.0,0.0
2022-08-16,9.28,-0.05,-0.53591
2022-08-15,9.33,-0.01,-0.10707
2022-08-14,9.34,0.0,0.0
2022-08-11,9.34,0.04,0.43011
2022-08-10,9.3,0.0,0.0
2022-08-09,9.3,0.04,0.43197
2022-08-08,9.26,-0.05,-0.53706
2022-08-07,9.31,0.02,0.21529
2022-08-04,9.29,-0.11,-1.17021
2022-08-03,9.4,0.01,0.1065
2022-08-02,9.39,0.05,0.53533
2022-08-01,9.34,0.1,1.08225
2022-07-31,9.24,0.03,0.32573
2022-07-28,9.21,0.08,0.87623
2022-07-27,9.13,0.05,0.55066
2022-07-26,9.08,0.02,0.22075
2022-07-25,9.06,-0.01,-0.11025
2022-07-24,9.07,0.02,0.22099
2022-07-21,9.05,0.04,0.44395
2022-07-20,9.01,0.01,0.11111
2022-07-19,9.0,0.03,0.33445
2022-07-18,8.97,0.03,0.33557
2022-07-17,8.94,0.0,0.0
2022-07-14,8.94,0.05,0.56243
2022-07-13,8.89,0.0,0.0
2022-07-12,8.89,-0.02,-0.22447
2022-07-11,8.91,0.0,0.0
2022-07-10,8.91,0.02,0.22497
2022-07-07,8.89,0.0,0.0
2022-07-06,8.89,0.04,0.45198
2022-07-05,8.85,0.01,0.11312
2022-07-04,8.84,-0.05,-0.56243
2022-06-30,8.89,0.07,0.79365
2022-06-29,8.82,-0.03,-0.33898
2022-06-28,8.85,0.0,0.0
2022-06-27,8.85,0.01,0.11312
2022-06-26,8.84,-0.01,-0.11299
2022-06-23,8.85,0.04,0.45403
2022-06-22,8.81,0.0,0.0
2022-06-21,8.81,0.02,0.22753
2022-06-20,8.79,0.07,0.80275
2022-06-16,8.72,-0.04,-0.45662
2022-06-15,8.76,-0.12,-1.35135
2022-06-14,8.88,0.1,1.13895
2022-06-13,8.78,-0.04,-0.45351
2022-06-12,8.82,-0.19,-2.10877
2022-06-09,9.01,-0.11,-1.20614
2022-06-08,9.12,-0.06,-0.65359
2022-06-07,9.18,-0.05,-0.54171
2022-06-06,9.23,0.03,0.32609
2022-06-05,9.2,-0.01,-0.10858
2022-06-01,9.21,0.01,0.1087
2022-05-31,9.2,0.01,0.10881
2022-05-30,9.19,-0.04,-0.43337
2022-05-26,9.23,0.09,0.98468
2022-05-25,9.14,0.06,0.66079
2022-05-24,9.08,0.08,0.88889
2022-05-23,9.0,0.03,0.33445
2022-05-22,8.97,0.01,0.11161
2022-05-19,8.96,-0.03,-0.3337
2022-05-18,8.99,0.02,0.22297
2022-05-17,8.97,0.0,0.0
2022-05-16,8.97,-0.03,-0.33333
2022-05-15,9.0,0.02,0.22272
2022-05-12,8.98,0.04,0.44743
2022-05-11,8.94,-0.02,-0.22321
2022-05-10,8.96,0.01,0.11173
2022-05-09,8.95,-0.01,-0.11161
2022-05-08,8.96,-0.13,-1.43014
2022-05-05,9.09,-0.05,-0.54705
2022-05-04,9.14,-0.07,-0.76004
2022-05-03,9.21,0.09,0.98684
2022-05-02,9.12,-0.1,-1.0846
2022-04-28,9.22,-0.04,-0.43197
2022-04-27,9.26,0.09,0.98146
2022-04-26,9.17,-0.06,-0.65005
2022-04-25,9.23,-0.06,-0.64586
2022-04-24,9.29,0.01,0.10776
2022-04-21,9.28,-0.04,-0.42918
2022-04-20,9.32,-0.06,-0.63966
2022-04-19,9.38,0.02,0.21368
2022-04-18,9.36,0.01,0.10695
2022-04-17,9.35,0.0,0.0
2022-04-13,9.35,-0.02,-0.21345
2022-04-12,9.37,-0.02,-0.21299
2022-04-11,9.39,0.01,0.10661
2022-04-10,9.38,-0.08,-0.84567
2022-04-07,9.46,0.0,0.0
2022-04-06,9.46,0.02,0.21186
2022-04-05,9.44,-0.07,-0.73607
2022-03-31,9.51,0.04,0.42239
2022-03-30,9.47,-0.01,-0.10549
2022-03-29,9.48,0.0,0.0
2022-03-28,9.48,0.08,0.85106
2022-03-27,9.4,0.05,0.53476
2022-03-24,9.35,-0.03,-0.31983
2022-03-23,9.38,0.02,0.21368
2022-03-22,9.36,-0.01,-0.10672
2022-03-21,9.37,-0.02,-0.21299
2022-03-20,9.39,0.01,0.10661
2022-03-17,9.38,0.0,0.0
2022-03-16,9.38,0.05,0.53591
2022-03-15,9.33,0.08,0.86486
2022-03-14,9.25,0.05,0.54348
2022-03-13,9.2,-0.04,-0.4329
2022-03-10,9.24,-0.02,-0.21598
2022-03-09,9.26,-0.03,-0.32293
2022-03-08,9.29,0.06,0.65005
2022-03-07,9.23,0.0,0.0
2022-03-06,9.23,-0.07,-0.75269
2022-03-03,9.3,-0.02,-0.21459
2022-03-02,9.32,-0.01,-0.10718
2022-03-01,9.33,0.04,0.43057
2022-02-28,9.29,0.0,0.0
2022-02-24,9.29,0.06,0.65005
2022-02-23,9.23,0.04,0.43526
2022-02-22,9.19,-0.01,-0.1087
2022-02-21,9.2,-0.06,-0.64795
2022-02-17,9.26,0.0,0.0
2022-02-16,9.26,-0.01,-0.10787
2022-02-15,9.27,0.02,0.21622
2022-02-14,9.25,0.02,0.21668
2022-02-13,9.23,-0.03,-0.32397
2022-02-10,9.26,-0.11,-1.17396
2022-02-09,9.37,-0.06,-0.63627
2022-02-08,9.43,0.02,0.21254
2022-02-07,9.41,-0.04,-0.42328
2022-02-06,9.45,-0.13,-1.35699
2022-01-25,9.58,-0.03,-0.31217
2022-01-24,9.61,-0.02,-0.20768
2022-01-23,9.63,-0.04,-0.41365
2022-01-20,9.67,-0.01,-0.10331
2022-01-19,9.68,-0.01,-0.1032
2022-01-18,9.69,0.0,0.0
2022-01-17,9.69,-0.04,-0.4111
2022-01-13,9.73,-0.02,-0.20513
2022-01-12,9.75,0.02,0.20555
2022-01-11,9.73,-0.01,-0.10267
2022-01-10,9.74,0.03,0.30896
2022-01-09,9.71,-0.02,-0.20555
2022-01-06,9.73,-0.04,-0.40942
2022-01-05,9.77,0.04,0.4111
2022-01-04,9.73,-0.05,-0.51125
2022-01-03,9.78,-0.04,-0.40733
2022-01-02,9.82,-0.01,-0.10173
2021-12-29,9.83,0.01,0.10183
2021-12-28,9.82,0.04,0.409
2021-12-27,9.78,-0.01,-0.10215
2021-12-26,9.79,-0.02,-0.20387
2021-12-22,9.81,0.0,0.0
2021-12-21,9.81,0.03,0.30675
2021-12-20,9.78,0.03,0.30769
2021-12-19,9.75,-0.01,-0.10246
2021-12-16,9.76,-0.04,-0.40816
2021-12-15,9.8,0.04,0.40984
2021-12-14,9.76,0.03,0.30832
2021-12-13,9.73,-0.02,-0.20513
2021-12-12,9.75,0.02,0.20555
2021-12-09,9.73,-0.01,-0.10267
