tradeDate,nav,change,changePercent
2022-08-30,9.26,-0.02,-0.21552
2022-08-29,9.28,0.0,0.0
2022-08-28,9.28,-0.08,-0.8547
2022-08-25,9.36,-0.03,-0.31949
2022-08-24,9.39,0.09,0.96774
2022-08-23,9.3,-0.07,-0.74707
2022-08-22,9.37,-0.03,-0.31915
2022-08-21,9.4,-0.06,-0.63425
2022-08-18,9.46,-0.1,-1.04603
2022-08-17,9.56,-0.06,-0.6237
2022-08-16,9.62,-0.04,-0.41408
2022-08-15,9.66,-0.04,-0.41237
2022-08-14,9.7,-0.03,-0.30832
2022-08-11,9.73,-0.08,-0.81549
2022-08-10,9.81,0.06,0.61538
2022-08-09,9.75,0.08,0.8273
2022-08-08,9.67,0.01,0.10352
2022-08-07,9.66,0.0,0.0
2022-08-04,9.66,-0.06,-0.61728
2022-08-03,9.72,0.09,0.93458
2022-08-02,9.63,0.01,0.10395
2022-08-01,9.62,-0.16,-1.63599
2022-07-31,9.78,0.06,0.61728
2022-07-28,9.72,0.09,0.93458
2022-07-27,9.63,0.03,0.3125
2022-07-26,9.6,0.04,0.41841
2022-07-25,9.56,0.01,0.10471
2022-07-24,9.55,0.04,0.42061
2022-07-21,9.51,0.05,0.52854
2022-07-20,9.46,-0.05,-0.52576
2022-07-19,9.51,0.07,0.74153
2022-07-18,9.44,0.06,0.63966
2022-07-17,9.38,0.06,0.64378
2022-07-14,9.32,0.05,0.53937
2022-07-13,9.27,,
2022-07-12,9.38,0.01,0.10672
2022-07-11,9.37,0.03,0.3212
2022-07-10,9.34,-0.11,-1.16402
2022-07-07,9.45,0.07,0.74627
2022-07-06,9.38,0.04,0.42827
2022-07-05,9.34,0.09,0.97297
2022-07-04,9.25,-0.11,-1.17521
2022-07-03,9.36,0.07,0.7535
2022-06-30,9.29,-0.04,-0.42872
2022-06-29,9.33,-0.1,-1.06045
2022-06-28,9.43,-0.13,-1.35983
2022-06-27,9.56,0.06,0.63158
2022-06-26,9.5,0.05,0.5291
2022-06-23,9.45,0.14,1.50376
2022-06-22,9.31,0.07,0.75758
2022-06-21,9.24,,
2022-06-20,9.31,0.03,0.32328
2022-06-19,9.28,0.11,1.19956
2022-06-16,9.17,-0.11,-1.18534
2022-06-15,9.28,-0.01,-0.10764
2022-06-14,9.29,-0.01,-0.10753
2022-06-13,9.3,-0.31,-3.22581
2022-06-09,9.61,-0.17,-1.73824
2022-06-08,9.78,-0.13,-1.31181
2022-06-07,9.91,0.01,0.10101
2022-06-06,9.9,-0.09,-0.9009
2022-06-05,9.99,-0.06,-0.59701
2022-06-01,10.05,0.03,0.2994
2022-05-31,10.02,0.0,0.0
2022-05-30,10.02,-0.03,-0.29851
2022-05-29,10.05,0.09,0.90361
2022-05-26,9.96,0.1,1.0142
2022-05-25,9.86,-0.03,-0.30334
2022-05-24,9.89,-0.01,-0.10101
2022-05-23,9.9,-0.04,-0.40241
2022-05-22,9.94,0.04,0.40404
2022-05-19,9.9,0.0,0.0
2022-05-18,9.9,0.03,0.30395
2022-05-17,9.87,0.04,0.40692
2022-05-16,9.83,0.07,0.71721
2022-05-15,9.76,0.01,0.10256
2022-05-12,9.75,0.2,2.09424
2022-05-11,9.55,-0.17,-1.74897
2022-05-10,9.72,0.06,0.62112
2022-05-09,9.66,-0.09,-0.92308
2022-05-08,9.75,-0.19,-1.91147
2022-05-05,9.94,-0.18,-1.77866
2022-05-04,10.12,-0.03,-0.29557
2022-05-03,10.15,0.09,0.89463
2022-05-02,10.06,-0.14,-1.37255
2022-04-28,10.2,-0.03,-0.29326
2022-04-27,10.23,0.03,0.29412
2022-04-26,10.2,-0.02,-0.19569
2022-04-25,10.22,-0.13,-1.25604
2022-04-21,10.35,-0.13,-1.24046
2022-04-20,10.48,0.04,0.38314
2022-04-19,10.44,0.01,0.09588
2022-04-18,10.43,-0.04,-0.38204
2022-04-13,10.47,0.04,0.38351
2022-04-12,10.43,-0.02,-0.19139
2022-04-11,10.45,0.01,0.09579
2022-04-10,10.44,-0.06,-0.57143
2022-04-07,10.5,-0.02,-0.19011
2022-04-06,10.52,-0.02,-0.18975
2022-04-05,10.54,-0.01,-0.09479
2022-03-31,10.55,0.04,0.38059
2022-03-30,10.51,-0.04,-0.37915
2022-03-29,10.55,0.03,0.28517
2022-03-28,10.52,0.06,0.57361
2022-03-27,10.46,-0.04,-0.38095
2022-03-24,10.5,0.04,0.38241
2022-03-23,10.46,0.04,0.38388
2022-03-22,10.42,-0.02,-0.19157
2022-03-21,10.44,0.06,0.57803
2022-03-20,10.38,0.0,0.0
2022-03-17,10.38,0.07,0.67895
2022-03-16,10.31,0.19,1.87747
2022-03-15,10.12,0.13,1.3013
2022-03-14,9.99,-0.08,-0.79444
2022-03-13,10.07,-0.11,-1.08055
2022-03-10,10.18,-0.08,-0.77973
2022-03-09,10.26,0.16,1.58416
2022-03-08,10.1,0.1,1.0
2022-03-07,10.0,-0.03,-0.2991
2022-03-06,10.03,-0.1,-0.98717
2022-03-03,10.13,-0.01,-0.09862
2022-03-02,10.14,0.09,0.89552
2022-03-01,10.05,-0.06,-0.59347
2022-02-28,10.11,0.02,0.19822
2022-02-24,10.09,0.08,0.7992
2022-02-23,10.01,-0.2,-1.95886
2022-02-22,10.21,-0.02,-0.1955
2022-02-21,10.23,-0.08,-0.77595
2022-02-20,10.31,0.03,0.29183
2022-02-17,10.28,-0.05,-0.48403
2022-02-16,10.33,0.03,0.29126
2022-02-15,10.3,0.15,1.47783
2022-02-14,10.15,0.02,0.19743
2022-02-13,10.13,-0.06,-0.58881
2022-02-10,10.19,-0.11,-1.06796
2022-02-09,10.3,-0.01,-0.09699
2022-02-08,10.31,0.11,1.07843
2022-02-07,10.2,0.09,0.89021
2022-02-06,10.11,0.12,1.2012
2022-01-24,9.99,-0.13,-1.28458
2022-01-23,10.12,-0.03,-0.29557
2022-01-20,10.15,-0.09,-0.87891
2022-01-19,10.24,-0.02,-0.19493
2022-01-18,10.26,0.01,0.09756
2022-01-17,10.25,-0.01,-0.09747
2022-01-16,10.26,-0.06,-0.5814
2022-01-13,10.32,-0.09,-0.86455
2022-01-12,10.41,0.04,0.38573
2022-01-11,10.37,0.04,0.38722
2022-01-10,10.33,-0.03,-0.28958
2022-01-09,10.36,-0.06,-0.57582
2022-01-06,10.42,0.07,0.67633
2022-01-05,10.35,-0.2,-1.89573
2022-01-04,10.55,-0.05,-0.4717
2022-01-03,10.6,0.04,0.37879
2021-12-29,10.56,0.03,0.2849
2021-12-28,10.53,0.15,1.44509
2021-12-23,10.38,0.02,0.19305
2021-12-22,10.36,0.07,0.68027
2021-12-21,10.29,0.04,0.39024
2021-12-20,10.25,0.06,0.58881
2021-12-19,10.19,-0.07,-0.68226
2021-12-16,10.26,-0.06,-0.5814
2021-12-15,10.32,0.03,0.29155
2021-12-14,10.29,0.02,0.19474
2021-12-13,10.27,-0.05,-0.4845
2021-12-12,10.32,0.02,0.19417
2021-12-09,10.3,0.0,0.0
2021-12-08,10.3,-0.02,-0.1938
2021-12-07,10.32,0.06,0.5848
2021-12-06,10.26,0.11,1.08374
2021-12-05,10.15,0.05,0.49505
2021-12-02,10.1,-0.05,-0.49261
2021-12-01,10.15,-0.02,-0.19666
2021-11-30,10.17,-0.05,-0.48924
2021-11-29,10.22,-0.06,-0.58366
2021-11-28,10.28,-0.11,-1.05871
2021-11-25,10.39,-0.18,-1.70293
2021-11-24,10.57,0.06,0.57088
2021-11-23,10.51,0.01,0.09524
2021-11-22,10.5,0.09,0.86455
2021-11-21,10.41,-0.04,-0.38278
2021-11-18,10.45,-0.02,-0.19102
2021-11-17,10.47,0.04,0.38351
2021-11-16,10.43,-0.01,-0.09579
2021-11-15,10.44,-0.04,-0.38168
2021-11-14,10.48,0.01,0.09551
2021-11-11,10.47,0.01,0.0956
2021-11-10,10.46,-0.06,-0.57034
2021-11-09,10.52,-0.07,-0.661
2021-11-08,10.59,-0.07,-0.65666
2021-11-07,10.66,0.06,0.56604
2021-11-04,10.6,0.02,0.18904
2021-11-03,10.58,0.02,0.18939
2021-11-02,10.56,0.04,0.38023
2021-11-01,10.52,-0.08,-0.75472
2021-10-31,10.6,0.01,0.09443
2021-10-28,10.59,-0.12,-1.12045
2021-10-27,10.71,0.03,0.2809
2021-10-26,10.68,0.01,0.09372
2021-10-25,10.67,-0.01,-0.09363
2021-10-24,10.68,-0.01,-0.09355
2021-10-21,10.69,0.02,0.18744
2021-10-20,10.67,-0.01,-0.09363
2021-10-19,10.68,0.04,0.37594
2021-10-18,10.64,0.06,0.56711
2021-10-17,10.58,-0.04,-0.37665
2021-10-14,10.62,0.01,0.09425
2021-10-13,10.61,0.07,0.66414
2021-10-12,10.54,0.07,0.66858
2021-10-11,10.47,-0.02,-0.19066
2021-10-07,10.49,0.01,0.09542
2021-10-06,10.48,0.07,0.67243
2021-10-05,10.41,-0.04,-0.38278
2021-10-04,10.45,-0.01,-0.0956
2021-10-03,10.46,0.06,0.57692
2021-09-30,10.4,-0.04,-0.38314
2021-09-29,10.44,0.11,1.06486
2021-09-28,10.33,-0.05,-0.4817
2021-09-27,10.38,-0.07,-0.66986
2021-09-26,10.45,0.0,0.0
2021-09-23,10.45,-0.15,-1.41509
2021-09-22,10.6,0.16,1.53257
2021-09-21,10.44,0.01,0.09588
2021-09-16,10.43,0.01,0.09597
2021-09-15,10.42,-0.03,-0.28708
2021-09-14,10.45,0.01,0.09579
2021-09-13,10.44,-0.06,-0.57143
2021-09-12,10.5,-0.03,-0.2849
2021-09-09,10.53,0.01,0.09506
2021-09-08,10.52,-0.1,-0.94162
2021-09-07,10.62,-0.02,-0.18797
2021-09-06,10.64,-0.07,-0.65359
2021-09-05,10.71,-0.04,-0.37209
2021-09-02,10.75,0.08,0.74977
2021-09-01,10.67,0.09,0.85066
2021-08-31,10.58,0.08,0.7619
2021-08-30,10.5,0.01,0.09533
2021-08-29,10.49,0.05,0.47893
2021-08-26,10.44,0.07,0.67502
2021-08-25,10.37,-0.08,-0.76555
2021-08-24,10.45,0.02,0.19175
2021-08-23,10.43,0.07,0.67568
2021-08-22,10.36,0.05,0.48497
2021-08-19,10.31,0.03,0.29183
2021-08-18,10.28,-0.12,-1.15385
2021-08-17,10.4,0.08,0.77519
2021-08-16,10.32,-0.13,-1.24402
2021-08-15,10.45,0.01,0.09579
2021-08-12,10.44,0.01,0.09588
2021-08-11,10.43,-0.04,-0.38204
2021-08-10,10.47,0.06,0.57637
2021-08-09,10.41,0.0,0.0
2021-08-08,10.41,0.0,0.0
2021-08-05,10.41,-0.03,-0.28736
2021-08-04,10.44,0.0,0.0
2021-08-03,10.44,0.01,0.09588
2021-08-02,10.43,0.03,0.28846
2021-08-01,10.4,0.06,0.58027
2021-07-29,10.34,-0.01,-0.09662
2021-07-28,10.35,0.01,0.09671
2021-07-27,10.34,0.06,0.58366
2021-07-26,10.28,-0.02,-0.19417
2021-07-25,10.3,-0.06,-0.57915
2021-07-22,10.36,-0.01,-0.09643
2021-07-21,10.37,0.09,0.87549
2021-07-20,10.28,0.04,0.39062
2021-07-19,10.24,-0.05,-0.48591
2021-07-18,10.29,-0.12,-1.15274
2021-07-15,10.41,-0.01,-0.09597
2021-07-14,10.42,-0.03,-0.28708
2021-07-13,10.45,0.02,0.19175
2021-07-12,10.43,0.01,0.09597
2021-07-11,10.42,0.02,0.19231
2021-07-08,10.4,0.02,0.19268
2021-07-07,10.38,-0.09,-0.8596
2021-07-06,10.47,-0.03,-0.28571
2021-07-05,10.5,-0.03,-0.2849
2021-07-04,10.53,0.07,0.66922
2021-07-01,10.46,0.06,0.57692
2021-06-30,10.4,-0.03,-0.28763
2021-06-29,10.43,-0.05,-0.4771
2021-06-28,10.48,-0.07,-0.66351
2021-06-27,10.55,-0.03,-0.28355
2021-06-24,10.58,0.02,0.18939
2021-06-23,10.56,0.01,0.09479
2021-06-22,10.55,-0.02,-0.18921
2021-06-21,10.57,0.05,0.47529
2021-06-20,10.52,-0.02,-0.18975
