tradeDate,nav,change,changePercent
2022-08-30,8.0171,-0.0019,-0.02369
2022-08-29,8.019,-0.002,-0.02493
2022-08-28,8.021,-0.0145,-0.18045
2022-08-25,8.0355,0.0024,0.02988
2022-08-24,8.0331,0.0069,0.08597
2022-08-23,8.0262,0.0117,0.14599
2022-08-22,8.0145,-0.0149,-0.18557
2022-08-21,8.0294,-0.0065,-0.08089
2022-08-18,8.0359,-0.0024,-0.02986
2022-08-17,8.0383,-0.012,-0.14906
2022-08-16,8.0503,-0.0071,-0.08812
2022-08-15,8.0574,0.0023,0.02855
2022-08-14,8.0551,0.0182,0.22646
2022-08-11,8.0369,0.027,0.33708
2022-08-10,8.0099,0.0178,0.22272
2022-08-09,7.9921,0.0086,0.10772
2022-08-08,7.9835,0.0097,0.12165
2022-08-07,7.9738,0.0102,0.12808
2022-08-04,7.9636,-0.0011,-0.01381
2022-08-03,7.9647,0.0115,0.1446
2022-08-02,7.9532,-0.0158,-0.19827
2022-08-01,7.969,0.0085,0.10678
2022-07-31,7.9605,0.0194,0.2443
2022-07-28,7.9411,0.0374,0.4732
2022-07-27,7.9037,0.0136,0.17237
2022-07-26,7.8901,-0.0027,-0.03421
2022-07-25,7.8928,0.0063,0.07988
2022-07-24,7.8865,0.0193,0.24532
2022-07-21,7.8672,0.0224,0.28554
2022-07-20,7.8448,-0.0215,-0.27332
2022-07-19,7.8663,0.0015,0.01907
2022-07-18,7.8648,0.003,0.03816
2022-07-17,7.8618,0.0055,0.07001
2022-07-14,7.8563,-0.0045,-0.05725
2022-07-13,7.8608,-0.0333,-0.42183
2022-07-12,7.8941,-0.0169,-0.21363
2022-07-11,7.911,-0.0063,-0.07957
2022-07-10,7.9173,-0.0121,-0.1526
2022-07-07,7.9294,0.0082,0.10352
2022-07-06,7.9212,-0.0629,-0.78782
2022-07-05,7.9841,-0.0063,-0.07884
2022-07-04,7.9904,0.0099,0.12405
2022-07-03,7.9805,0.0025,0.03134
2022-06-30,7.978,-0.0145,-0.18142
2022-06-29,7.9925,-0.0027,-0.03377
2022-06-28,7.9952,-0.0151,-0.18851
2022-06-27,8.0103,0.0075,0.09372
2022-06-26,8.0028,-0.0026,-0.03248
2022-06-23,8.0054,-0.0025,-0.03122
2022-06-22,8.0079,-0.0086,-0.10728
2022-06-21,8.0165,,
2022-06-20,8.011,-0.0222,-0.27635
2022-06-19,8.0332,0.0024,0.02988
2022-06-16,8.0308,-0.0135,-0.16782
2022-06-15,8.0443,0.0059,0.0734
2022-06-14,8.0384,-0.0115,-0.14286
2022-06-13,8.0499,-0.0511,-0.63079
2022-06-12,8.101,-0.0605,-0.74129
2022-06-09,8.1615,-0.0079,-0.0967
2022-06-08,8.1694,-0.0256,-0.31239
2022-06-07,8.195,-0.0197,-0.23981
2022-06-06,8.2147,-0.0057,-0.06934
2022-06-05,8.2204,0.0077,0.09376
2022-06-01,8.2127,-0.0041,-0.0499
