tradeDate,nav,change,changePercent
2022-08-30,7.8777,-0.0119,-0.15083
2022-08-29,7.8896,0.0389,0.4955
2022-08-28,7.8507,0.0011,0.01401
2022-08-25,7.8496,0.0373,0.47745
2022-08-24,7.8123,0.0393,0.5056
2022-08-23,7.773,0.0289,0.37319
2022-08-22,7.7441,0.0255,0.33037
2022-08-21,7.7186,0.0045,0.05833
2022-08-18,7.7141,-0.0156,-0.20182
2022-08-17,7.7297,-0.0042,-0.05431
2022-08-16,7.7339,-0.0218,-0.28108
2022-08-15,7.7557,0.0661,0.8596
2022-08-14,7.6896,0.0431,0.56366
2022-08-11,7.6465,0.0211,0.27671
2022-08-10,7.6254,0.0466,0.61487
2022-08-09,7.5788,-0.0055,-0.07252
2022-08-07,7.5843,0.0072,0.09502
2022-08-04,7.5771,-0.0102,-0.13444
2022-08-03,7.5873,-0.014,-0.18418
2022-08-02,7.6013,-0.0346,-0.45312
2022-08-01,7.6359,0.005,0.06552
2022-07-31,7.6309,0.0258,0.33925
2022-07-28,7.6051,0.0298,0.39338
2022-07-27,7.5753,0.0118,0.15601
2022-07-26,7.5635,-0.0012,-0.01586
2022-07-25,7.5647,0.0366,0.48618
2022-07-24,7.5281,0.0448,0.59867
2022-07-21,7.4833,0.0248,0.33251
2022-07-20,7.4585,-0.0083,-0.11116
2022-07-19,7.4668,-0.0132,-0.17647
2022-07-18,7.48,-0.0161,-0.21478
2022-07-17,7.4961,-0.0126,-0.16781
2022-07-14,7.5087,-0.018,-0.23915
2022-07-13,7.5267,-0.0091,-0.12076
2022-07-12,7.5358,-0.0167,-0.22112
2022-07-11,7.5525,-0.0722,-0.94692
2022-07-07,7.6247,-0.0131,-0.17152
2022-07-06,7.6378,-0.0154,-0.20122
2022-07-05,7.6532,-0.0337,-0.43841
2022-07-04,7.6869,-0.0899,-1.156
2022-07-03,7.7768,0.0315,0.4067
2022-06-30,7.7453,-0.0297,-0.38199
2022-06-29,7.775,-0.0053,-0.06812
2022-06-28,7.7803,-0.0207,-0.26535
2022-06-27,7.801,0.0032,0.04104
2022-06-26,7.7978,-0.0036,-0.04615
2022-06-23,7.8014,-0.0307,-0.39198
2022-06-22,7.8321,-0.0615,-0.77911
2022-06-21,7.8936,,
2022-06-20,7.9361,-0.0097,-0.12208
2022-06-19,7.9458,0.0061,0.07683
2022-06-16,7.9397,-0.0178,-0.22369
2022-06-15,7.9575,0.0034,0.04275
2022-06-14,7.9541,-0.0035,-0.04398
2022-06-13,7.9576,-0.0568,-0.70872
2022-06-12,8.0144,-0.0629,-0.77873
2022-06-09,8.0773,-0.027,-0.33316
2022-06-08,8.1043,-0.0083,-0.10231
2022-06-07,8.1126,0.0152,0.18771
2022-06-06,8.0974,0.0053,0.0655
2022-06-05,8.0921,0.0183,0.22666
2022-06-01,8.0738,0.0088,0.10911
2022-05-31,8.065,0.0281,0.34964
2022-05-30,8.0369,0.0021,0.02614
2022-05-29,8.0348,-0.033,-0.40903
2022-05-26,8.0678,-0.0212,-0.26208
2022-05-25,8.089,0.0241,0.29883
2022-05-24,8.0649,0.0036,0.04466
