tradeDate,nav,change,changePercent
2022-08-30,0.3139,-0.0021,-0.66456
2022-08-29,0.316,-0.0016,-0.50378
2022-08-28,0.3176,-0.0019,-0.59468
2022-08-25,0.3195,-0.0044,-1.35844
2022-08-24,0.3239,0.0027,0.8406
2022-08-23,0.3212,0.0,0.0
2022-08-22,0.3212,-0.0003,-0.09331
2022-08-21,0.3215,-0.004,-1.22888
2022-08-18,0.3255,-0.003,-0.91324
2022-08-17,0.3285,0.0005,0.15244
2022-08-16,0.328,-0.0021,-0.63617
2022-08-15,0.3301,-0.0002,-0.06055
2022-08-14,0.3303,0.0008,0.24279
2022-08-11,0.3295,0.0031,0.94975
2022-08-10,0.3264,-0.0006,-0.18349
2022-08-09,0.327,0.0033,1.01946
2022-08-08,0.3237,-0.0008,-0.24653
2022-08-07,0.3245,0.0003,0.09254
2022-08-04,0.3242,-0.0015,-0.46055
2022-08-03,0.3257,0.0001,0.03071
2022-08-02,0.3256,0.0026,0.80495
2022-08-01,0.323,-0.0029,-0.88984
2022-07-31,0.3259,0.0003,0.09214
2022-07-28,0.3256,0.0026,0.80495
2022-07-27,0.323,0.0027,0.84296
2022-07-26,0.3203,0.0036,1.13672
2022-07-25,0.3167,-0.0019,-0.59636
2022-07-24,0.3186,-0.0004,-0.12539
2022-07-21,0.319,0.0001,0.03136
2022-07-20,0.3189,0.0025,0.79014
2022-07-19,0.3164,0.001,0.31706
2022-07-18,0.3154,0.0034,1.08974
2022-07-17,0.312,-0.0015,-0.47847
2022-07-14,0.3135,0.0031,0.99871
2022-07-13,0.3104,-0.0005,-0.16082
2022-07-12,0.3109,-0.0004,-0.12849
2022-07-11,0.3113,-0.0012,-0.384
2022-07-10,0.3125,-0.0009,-0.28717
2022-07-07,0.3134,-0.0001,-0.0319
2022-07-06,0.3135,0.0021,0.67437
2022-07-05,0.3114,0.0001,0.03212
2022-07-04,0.3113,-0.0006,-0.19237
2022-06-30,0.3119,0.0024,0.77544
2022-06-29,0.3095,-0.001,-0.32206
2022-06-28,0.3105,0.0,0.0
2022-06-27,0.3105,-0.0029,-0.92534
2022-06-26,0.3134,-0.0009,-0.28635
2022-06-23,0.3143,0.0034,1.0936
2022-06-22,0.3109,0.0016,0.5173
2022-06-21,0.3093,,
2022-06-20,0.3092,0.0028,0.91384
2022-06-16,0.3064,0.0001,0.03265
2022-06-15,0.3063,-0.0038,-1.22541
2022-06-14,0.3101,0.0036,1.17455
2022-06-13,0.3065,-0.0013,-0.42235
2022-06-12,0.3078,-0.0085,-2.68732
2022-06-09,0.3163,-0.0052,-1.61742
2022-06-08,0.3215,-0.0038,-1.16815
2022-06-07,0.3253,-0.0019,-0.58068
2022-06-06,0.3272,0.0018,0.55317
2022-06-05,0.3254,-0.0031,-0.94368
2022-06-01,0.3285,0.0013,0.39731
2022-05-31,0.3272,-0.0012,-0.36541
2022-05-30,0.3284,-0.0014,-0.4245
2022-05-26,0.3298,0.0039,1.19669
2022-05-25,0.3259,0.0034,1.05426
2022-05-24,0.3225,0.0023,0.7183
2022-05-23,0.3202,0.0003,0.09378
2022-05-22,0.3199,0.0021,0.66079
2022-05-19,0.3178,0.0006,0.18916
2022-05-18,0.3172,-0.0007,-0.2202
2022-05-17,0.3179,-0.005,-1.54847
2022-05-16,0.3229,0.0015,0.46671
2022-05-15,0.3214,-0.0003,-0.09325
2022-05-12,0.3217,0.0022,0.68858
2022-05-11,0.3195,-0.0004,-0.12504
2022-05-10,0.3199,-0.0014,-0.43573
2022-05-09,0.3213,0.001,0.31221
2022-05-08,0.3203,-0.0045,-1.38547
2022-05-05,0.3248,-0.0016,-0.4902
2022-05-04,0.3264,-0.0053,-1.59783
2022-05-03,0.3317,0.0034,1.03564
2022-05-02,0.3283,0.001,0.30553
2022-04-28,0.3273,-0.0059,-1.77071
2022-04-27,0.3332,0.003,0.90854
2022-04-26,0.3302,-0.0007,-0.21154
2022-04-25,0.3309,-0.0027,-0.80935
2022-04-24,0.3336,0.0009,0.27051
2022-04-21,0.3327,-0.0045,-1.33452
2022-04-20,0.3372,-0.0037,-1.08536
2022-04-19,0.3409,0.0013,0.3828
2022-04-18,0.3396,0.0006,0.17699
2022-04-17,0.339,-0.0005,-0.14728
2022-04-13,0.3395,-0.0025,-0.73099
2022-04-12,0.342,0.0017,0.49956
2022-04-11,0.3403,0.0,0.0
2022-04-10,0.3403,-0.004,-1.16178
2022-04-07,0.3443,-0.0009,-0.26072
2022-04-06,0.3452,0.0003,0.08698
2022-04-05,0.3449,-0.0052,-1.48529
2022-03-31,0.3501,0.0005,0.14302
2022-03-30,0.3496,-0.0021,-0.5971
2022-03-29,0.3517,-0.0002,-0.05683
2022-03-28,0.3519,0.0024,0.6867
2022-03-27,0.3495,0.0008,0.22942
2022-03-24,0.3487,0.0002,0.05739
2022-03-23,0.3485,0.0016,0.46123
2022-03-22,0.3469,-0.0007,-0.20138
2022-03-21,0.3476,0.0006,0.17291
2022-03-20,0.347,-0.0004,-0.11514
2022-03-17,0.3474,0.0016,0.4627
2022-03-16,0.3458,0.0033,0.9635
2022-03-15,0.3425,0.004,1.18168
2022-03-14,0.3385,0.0028,0.83408
2022-03-13,0.3357,-0.0029,-0.85647
2022-03-10,0.3386,-0.0022,-0.64554
2022-03-09,0.3408,-0.0013,-0.38001
2022-03-08,0.3421,0.0032,0.94423
2022-03-07,0.3389,-0.0018,-0.52832
2022-03-06,0.3407,-0.0054,-1.56024
2022-03-03,0.3461,-0.0013,-0.37421
2022-03-02,0.3474,-0.0007,-0.20109
2022-03-01,0.3481,0.0006,0.17266
2022-02-28,0.3475,-0.0012,-0.34414
2022-02-24,0.3487,0.0043,1.24855
2022-02-23,0.3444,0.001,0.29121
