tradeDate,nav,change,changePercent
2022-08-30,8.4273,-0.0131,-0.15521
2022-08-29,8.4404,0.0425,0.50608
2022-08-28,8.3979,0.0031,0.03693
2022-08-25,8.3948,0.0402,0.48117
2022-08-24,8.3546,0.0412,0.49559
2022-08-23,8.3134,0.0316,0.38156
2022-08-22,8.2818,0.0285,0.34532
2022-08-21,8.2533,0.0056,0.0679
2022-08-18,8.2477,-0.0163,-0.19724
2022-08-17,8.264,-0.0044,-0.05321
2022-08-16,8.2684,-0.0234,-0.28221
2022-08-15,8.2918,0.0706,0.85876
2022-08-14,8.2212,0.0464,0.5676
2022-08-11,8.1748,0.0229,0.28092
2022-08-10,8.1519,0.0492,0.60721
2022-08-09,8.1027,-0.0058,-0.07153
2022-08-07,8.1085,0.0082,0.10123
2022-08-04,8.1003,-0.0115,-0.14177
2022-08-03,8.1118,-0.0148,-0.18212
2022-08-02,8.1266,-0.0371,-0.45445
2022-08-01,8.1637,0.0056,0.06864
2022-07-31,8.1581,0.028,0.3444
2022-07-28,8.1301,0.032,0.39515
2022-07-27,8.0981,0.0126,0.15583
2022-07-26,8.0855,-0.0011,-0.0136
2022-07-25,8.0866,0.0392,0.48711
2022-07-24,8.0474,0.0478,0.59753
2022-07-21,7.9996,0.0268,0.33614
2022-07-20,7.9728,-0.0089,-0.11151
2022-07-19,7.9817,-0.0141,-0.17634
2022-07-18,7.9958,-0.0173,-0.2159
2022-07-17,8.0131,-0.0139,-0.17317
2022-07-14,8.027,-0.0186,-0.23118
2022-07-13,8.0456,-0.0093,-0.11546
2022-07-12,8.0549,-0.0183,-0.22668
2022-07-11,8.0732,-0.0761,-0.93382
2022-07-07,8.1493,-0.0141,-0.17272
2022-07-06,8.1634,-0.0166,-0.20293
2022-07-05,8.18,-0.0357,-0.43453
2022-07-04,8.2157,-0.0959,-1.15381
2022-07-03,8.3116,0.0336,0.4059
2022-06-30,8.278,-0.0316,-0.38028
2022-06-29,8.3096,-0.0053,-0.06374
2022-06-28,8.3149,-0.0218,-0.26149
2022-06-27,8.3367,0.0036,0.0432
2022-06-26,8.3331,-0.0047,-0.05637
2022-06-23,8.3378,-0.0332,-0.39661
2022-06-22,8.371,-0.0658,-0.77992
2022-06-21,8.4368,,
2022-06-20,8.4816,-0.0106,-0.12482
2022-06-19,8.4922,0.0067,0.07896
2022-06-16,8.4855,-0.0192,-0.22576
2022-06-15,8.5047,0.0037,0.04352
2022-06-14,8.501,-0.0035,-0.04115
2022-06-13,8.5045,-0.0609,-0.711
2022-06-12,8.5654,-0.0661,-0.7658
2022-06-09,8.6315,-0.0285,-0.3291
2022-06-08,8.66,-0.0087,-0.10036
2022-06-07,8.6687,0.0162,0.18723
2022-06-06,8.6525,0.0065,0.07518
2022-06-05,8.646,0.0198,0.22953
2022-06-01,8.6262,0.0103,0.11955
2022-05-31,8.6159,0.0315,0.36694
2022-05-30,8.5844,0.0016,0.01864
2022-05-29,8.5828,-0.0368,-0.42693
2022-05-26,8.6196,-0.0238,-0.27535
2022-05-25,8.6434,0.0254,0.29473
2022-05-24,8.618,0.0034,0.03947
2022-05-23,8.6146,-0.0176,-0.20389
2022-05-22,8.6322,0.0257,0.29861
2022-05-19,8.6065,-0.0165,-0.19135
2022-05-18,8.623,0.017,0.19754
2022-05-17,8.606,-0.0371,-0.42924
2022-05-16,8.6431,0.0238,0.27612
2022-05-12,8.6193,0.0008,0.00928
2022-05-11,8.6185,-0.0508,-0.58598
2022-05-10,8.6693,-0.0168,-0.19341
2022-05-09,8.6861,-0.0372,-0.42644
2022-05-08,8.7233,-0.0278,-0.31767
2022-05-05,8.7511,-0.0053,-0.06053
2022-05-04,8.7564,0.0363,0.41628
2022-05-03,8.7201,-0.0062,-0.07105
2022-04-28,8.7263,0.0046,0.05274
2022-04-27,8.7217,0.0377,0.43413
2022-04-26,8.684,0.0076,0.08759
2022-04-25,8.6764,-0.0202,-0.23227
2022-04-24,8.6966,-0.0236,-0.27064
2022-04-21,8.7202,-0.0261,-0.29841
2022-04-20,8.7463,-0.014,-0.15981
2022-04-19,8.7603,-0.0265,-0.30159
2022-04-18,8.7868,0.0116,0.13219
2022-04-17,8.7752,-0.0013,-0.01481
2022-04-13,8.7765,0.036,0.41188
2022-04-12,8.7405,0.0045,0.05151
2022-04-11,8.736,-0.0192,-0.2193
2022-04-10,8.7552,-0.0212,-0.24156
2022-04-07,8.7764,0.0174,0.19865
2022-04-06,8.759,0.0006,0.00685
2022-04-05,8.7584,0.0817,0.9416
2022-03-31,8.6767,0.0116,0.13387
2022-03-30,8.6651,0.0081,0.09357
2022-03-29,8.657,0.0048,0.05548
2022-03-28,8.6522,-0.014,-0.16155
2022-03-27,8.6662,0.0043,0.04964
2022-03-24,8.6619,0.0079,0.09129
2022-03-23,8.654,0.0167,0.19335
2022-03-22,8.6373,0.0234,0.27165
2022-03-21,8.6139,0.0233,0.27123
2022-03-20,8.5906,0.0393,0.45958
2022-03-17,8.5513,0.0407,0.47823
2022-03-16,8.5106,0.0941,1.11804
2022-03-15,8.4165,0.0195,0.23223
2022-03-14,8.397,-0.059,-0.69773
2022-03-13,8.456,-0.063,-0.73952
2022-03-10,8.519,-0.0521,-0.60786
2022-03-09,8.5711,-0.0077,-0.08976
2022-03-08,8.5788,-0.0231,-0.26855
2022-03-07,8.6019,-0.0862,-0.99216
2022-03-06,8.6881,-0.051,-0.58358
2022-03-03,8.7391,-0.0269,-0.30687
2022-03-02,8.766,0.0001,0.00114
2022-03-01,8.7659,0.0144,0.16454
2022-02-28,8.7515,-0.0338,-0.38473
2022-02-24,8.7853,-0.0094,-0.10688
2022-02-23,8.7947,-0.0283,-0.32075
2022-02-22,8.823,-0.0072,-0.08154
2022-02-21,8.8302,-0.0137,-0.15491
2022-02-20,8.8439,0.0112,0.1268
2022-02-17,8.8327,0.0088,0.09973
2022-02-16,8.8239,0.0169,0.19189
2022-02-15,8.807,0.0156,0.17745
2022-02-14,8.7914,0.0024,0.02731
2022-02-13,8.789,-0.0308,-0.34921
2022-02-10,8.8198,-0.0523,-0.58949
2022-02-09,8.8721,0.0032,0.03608
2022-02-08,8.8689,0.0266,0.30083
2022-02-07,8.8423,-0.0056,-0.06329
2022-02-06,8.8479,0.0048,0.05428
2022-01-27,8.8431,-0.0125,-0.14115
2022-01-26,8.8556,-0.0422,-0.47427
2022-01-25,8.8978,0.0296,0.33378
2022-01-24,8.8682,-0.0129,-0.14525
2022-01-23,8.8811,-0.0072,-0.08101
2022-01-20,8.8883,0.0128,0.14422
2022-01-19,8.8755,0.0092,0.10376
2022-01-18,8.8663,-0.006,-0.06763
2022-01-17,8.8723,-0.0438,-0.49125
2022-01-16,8.9161,-0.0255,-0.28518
2022-01-13,8.9416,-0.0604,-0.67096
2022-01-12,9.002,-0.0114,-0.12648
2022-01-11,9.0134,0.0072,0.07994
2022-01-10,9.0062,-0.0107,-0.11867
2022-01-09,9.0169,-0.0141,-0.15613
2022-01-06,9.031,-0.008,-0.08851
2022-01-05,9.039,-0.037,-0.40767
2022-01-04,9.076,-0.0143,-0.15731
2022-01-03,9.0903,-0.0122,-0.13403
2022-01-02,9.1025,-0.0029,-0.03185
2021-12-29,9.1054,0.0056,0.06154
2021-12-28,9.0998,-0.0099,-0.10868
2021-12-27,9.1097,-0.0014,-0.01537
2021-12-26,9.1111,0.0088,0.09668
2021-12-23,9.1023,-0.0068,-0.07465
2021-12-22,9.1091,0.0042,0.04613
2021-12-21,9.1049,0.0197,0.21684
2021-12-20,9.0852,-0.0047,-0.05171
2021-12-19,9.0899,-0.02,-0.21954
2021-12-16,9.1099,0.0009,0.00988
2021-12-15,9.109,0.013,0.14292
2021-12-14,9.096,-0.0069,-0.0758
2021-12-13,9.1029,-0.0066,-0.07245
2021-12-12,9.1095,0.0215,0.23658
2021-12-09,9.088,0.0031,0.03412
2021-12-08,9.0849,0.0184,0.20294
2021-12-07,9.0665,0.0198,0.21886
2021-12-06,9.0467,0.0175,0.19382
2021-12-05,9.0292,-0.0123,-0.13604
2021-12-02,9.0415,-0.002,-0.02212
2021-12-01,9.0435,-0.0015,-0.01658
2021-11-30,9.045,-0.0349,-0.38437
2021-11-29,9.0799,0.0103,0.11357
2021-11-28,9.0696,-0.0345,-0.37895
