tradeDate,nav,change,changePercent
2022-08-30,8.64,-0.04,-0.46083
2022-08-29,8.68,-0.13,-1.4756
2022-08-28,8.81,-0.05,-0.56433
2022-08-25,8.86,-0.16,-1.77384
2022-08-24,9.02,0.07,0.78212
2022-08-23,8.95,0.03,0.33632
2022-08-22,8.92,0.0,0.0
2022-08-21,8.92,-0.12,-1.32743
2022-08-18,9.04,-0.09,-0.98576
2022-08-17,9.13,0.02,0.21954
2022-08-16,9.11,-0.07,-0.76253
2022-08-15,9.18,-0.01,-0.10881
2022-08-14,9.19,0.02,0.2181
2022-08-11,9.17,0.09,0.99119
2022-08-10,9.08,0.0,0.0
2022-08-09,9.08,0.13,1.45251
2022-08-08,8.95,-0.06,-0.66593
2022-08-07,9.01,0.01,0.11111
2022-08-04,9.0,0.0,0.0
2022-08-03,9.0,0.01,0.11123
2022-08-02,8.99,0.07,0.78475
2022-08-01,8.92,0.01,0.11223
2022-07-31,8.91,0.0,0.0
2022-07-28,8.91,0.08,0.906
2022-07-27,8.83,0.02,0.22701
2022-07-26,8.81,0.15,1.7321
2022-07-25,8.66,-0.09,-1.02857
2022-07-24,8.75,0.0,0.0
2022-07-21,8.75,-0.03,-0.34169
2022-07-20,8.78,0.07,0.80367
2022-07-19,8.71,0.07,0.81019
2022-07-18,8.64,0.14,1.64706
2022-07-17,8.5,-0.01,-0.11751
2022-07-14,8.51,0.09,1.06888
2022-07-13,8.42,-0.03,-0.35503
2022-07-12,8.45,,
2022-07-11,8.46,-0.06,-0.70423
2022-07-10,8.52,-0.07,-0.8149
2022-07-07,8.59,0.02,0.23337
2022-07-06,8.57,0.1,1.18064
2022-07-05,8.47,0.01,0.1182
2022-07-04,8.46,0.03,0.35587
2022-06-30,8.43,0.05,0.59666
2022-06-29,8.38,-0.05,-0.59312
2022-06-28,8.43,-0.11,-1.28806
2022-06-27,8.54,-0.12,-1.38568
2022-06-26,8.66,-0.01,-0.11534
2022-06-23,8.67,0.15,1.76056
2022-06-22,8.52,0.05,0.59032
2022-06-21,8.47,,
2022-06-20,8.49,0.11,1.31265
2022-06-16,8.38,0.03,0.35928
2022-06-15,8.35,-0.2,-2.33918
2022-06-14,8.55,0.1,1.18343
2022-06-13,8.45,-0.04,-0.47114
2022-06-12,8.49,-0.28,-3.1927
2022-06-09,8.77,-0.18,-2.01117
2022-06-08,8.95,-0.12,-1.32304
2022-06-07,9.07,-0.06,-0.65717
2022-06-06,9.13,0.05,0.55066
